op,count,self_total_us,self_mean_us,input_shapes,module_path
aten::clone,342,4580.71,13.39,[],
aten::empty_strided,447,1416.26,3.17,[],
aten::copy_,722,50742.65,70.28,[],
aten::detach,422,677.76,1.61,[],
detach,418,560.62,1.34,[],
aten::empty,1031,2825.96,2.74,[],
aten::set_,741,3109.96,4.2,[],
aten::new_empty,260,1614.3,6.21,[],
aten::zeros_like,81,274.79,3.39,[],
aten::empty_like,169,646.35,3.82,[],
aten::zero_,85,42.7,0.5,[],
aten::add,186,3017.02,16.22,[],
aten::to,722,1228.68,1.7,[],
aten::_to_copy,108,520.0,4.81,[],
aten::rsqrt,81,257.41,3.18,[],
aten::mul,328,3998.32,12.19,[],
aten::reshape,100,387.21,3.87,[],
aten::view,126,666.84,5.29,[],
aten::sub,84,501.68,5.97,[],
aten::_has_compatible_shallow_copy_type,1050,286.04,0.27,[],
aten::max,3,73.15,24.38,[],
aten::fill_,18,52.39,2.91,[],
aten::item,17,36.54,2.15,[],
aten::_local_scalar_dense,17,16.55,0.97,[],
aten::lift_fresh,1,2.26,2.26,[],
aten::unsqueeze,9,43.83,4.87,[],
aten::as_strided,182,312.47,1.72,[],
aten::permute,1,6.59,6.59,[],
aten::flip,1,721.49,721.49,[],
aten::contiguous,85,267.14,3.14,[],
aten::div_,5,752.6,150.52,[],
torchvision::_cuda_version,3,10.48,3.49,[],
aten::conv2d,88,743.29,8.45,[],
aten::convolution,88,785.09,8.92,[],
aten::_convolution,88,1445.37,16.42,[],
aten::mkldnn_convolution,78,147995.02,1897.37,[],
aten::as_strided_,80,603.44,7.54,[],
aten::resize_,90,255.07,2.83,[],
aten::silu_,77,20031.47,260.15,[],
aten::chunk,9,57.57,6.4,[],
aten::split,9,63.83,7.09,[],
aten::narrow,75,409.18,5.46,[],
aten::slice,87,478.39,5.5,[],
aten::cat,27,6863.95,254.22,[],
aten::_nnpack_available,10,27.87,2.79,[],
aten::thnn_conv2d,10,68.66,6.87,[],
aten::_slow_conv2d_forward,10,5171.42,517.14,[],
aten::max_pool2d,3,27.28,9.09,[],
aten::max_pool2d_with_indices,3,2712.35,904.12,[],
aten::split_with_sizes,3,27.31,9.1,[],
aten::transpose,6,31.39,5.23,[],
aten::matmul,2,61.61,30.81,[],
aten::expand,11,35.97,3.27,[],
aten::_reshape_alias,4,3.83,0.96,[],
aten::bmm,2,1340.9,670.45,[],
aten::resolve_conj,13,6.54,0.5,[],
aten::select,51,186.46,3.66,[],
aten::_unsafe_view,3,8.09,2.7,[],
aten::softmax,2,26.02,13.01,[],
aten::_softmax,2,1215.97,607.99,[],
aten::upsample_nearest2d,2,573.25,286.63,[],
aten::ones,2,11.15,5.57,[],
aten::isfinite,1,22.96,22.96,[],
aten::eq,1,23.57,23.57,[],
aten::abs,4,44.28,11.07,[],
aten::ne,5,45.48,9.1,[],
aten::__and__,1,5.35,5.35,[],
aten::bitwise_and,1,6.39,6.39,[],
aten::masked_select,1,30.02,30.02,[],
aten::sum,1,32.35,32.35,[],
aten::min,1,8.45,8.45,[],
aten::unbind,4,17.43,4.36,[],
aten::ceil,3,10.41,3.47,[],
aten::is_nonzero,9,15.11,1.68,[],
aten::div,3,110.89,36.96,[],
aten::gt,4,54.59,13.65,[],
aten::lt,1,6.07,6.07,[],
aten::resolve_neg,1,0.26,0.26,[],
aten::new_full,9,122.63,13.63,[],
aten::arange,10,108.17,10.82,[],
aten::meshgrid,3,26.89,8.96,[],
aten::stack,3,16.63,5.54,[],
aten::sigmoid,1,789.18,789.18,[],
aten::amax,1,404.74,404.74,[],
aten::zeros,2,11.76,5.88,[],
aten::index,3,67.52,22.51,[],
aten::nonzero,2,81.0,40.5,[],
torchvision::nms,1,185.5,185.5,[],
aten::sort,1,33.3,33.3,[],
aten::new_zeros,2,9.85,4.93,[],
aten::sub_,4,21.74,5.44,[],
aten::clamp_,4,24.96,6.24,[],
aten::alias,1,2.15,2.15,[],
