path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,464,,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",9,14.6508,14.5994,0.6282
model.0.conv,c000f8a61b6a18d8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",True,432,33177600,tensor,"[[1, 3, 480, 640]]","[[1, 16, 240, 320]]",9,12.571,12.5286,0.5818
model.0.act,721d05975fd0a302,SiLU,"{""class"": ""SiLU""}",True,0,,tensor,"[[1, 16, 240, 320]]","[[1, 16, 240, 320]]",9,0.1225,0.1189,0.0085
model.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4672,,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",9,9.6767,9.0978,0.9493
model.1.conv,5598c54d1a5113dd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",True,4608,88473600,tensor,"[[1, 16, 240, 320]]","[[1, 32, 120, 160]]",9,8.5926,8.0407,0.9732
model.2,d3b9b58e896c9596,C2f,"{""class"": ""C2f""}",False,7360,,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",9,23.1485,22.9313,1.0337
model.2.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1088,,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",9,6.7962,6.647,0.4284
model.2.cv1.conv,a06d1c13113d6cb6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,1024,19660800,tensor,"[[1, 32, 120, 160]]","[[1, 32, 120, 160]]",9,5.7613,5.658,0.3947
model.2.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1600,,tensor,"[[1, 48, 120, 160]]","[[1, 32, 120, 160]]",9,7.5655,7.3311,0.5445
model.2.cv2.conv,f675ba4f090255dd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,1536,29491200,tensor,"[[1, 48, 120, 160]]","[[1, 32, 120, 160]]",9,6.4888,6.2637,0.4624
