op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,39.8,39.8,[]
aten::empty,forward,758,2885.8,3.81,[]
aten::uniform_,forward,1,9516.96,9516.96,[]
aten::conv2d,forward,88,726.57,8.26,[]
aten::convolution,forward,88,1186.77,13.49,[]
aten::_convolution,forward,88,1253.47,14.24,[]
aten::mkldnn_convolution,forward,88,155074.59,1762.21,[]
aten::as_strided_,forward,88,578.68,6.58,[]
aten::contiguous,forward,90,280.38,3.12,[]
aten::clone,forward,91,609.97,6.7,[]
aten::empty_like,forward,172,537.36,3.12,[]
aten::copy_,forward,94,63925.02,680.05,[]
aten::resize_,forward,88,219.33,2.49,[]
aten::batch_norm,forward,81,484.74,5.98,[]
aten::_batch_norm_impl_index,forward,81,1214.55,14.99,[]
aten::native_batch_norm,forward,81,21355.77,263.65,[]
aten::silu_,forward,77,24508.54,318.29,[]
aten::chunk,forward,9,57.57,6.4,[]
aten::split,forward,9,129.85,14.43,[]
aten::narrow,forward,64,303.58,4.74,[]
aten::slice,forward,64,424.54,6.63,[]
aten::as_strided,forward,90,225.34,2.5,[]
aten::add,forward,16,2165.65,135.35,[]
aten::cat,forward,21,9203.63,438.27,[]
aten::max_pool2d,forward,3,25.87,8.62,[]
aten::max_pool2d_with_indices,forward,3,3085.99,1028.66,[]
aten::split_with_sizes,forward,2,32.59,16.3,[]
aten::view,forward,10,102.92,10.29,[]
aten::mul,forward,2,89.59,44.8,[]
aten::to,forward,2,5.3,2.65,[]
aten::_to_copy,forward,2,18.13,9.07,[]
aten::empty_strided,forward,2,7.22,3.61,[]
aten::transpose,forward,3,40.13,13.38,[]
aten::matmul,forward,2,63.61,31.81,[]
aten::expand,forward,4,28.72,7.18,[]
aten::reshape,forward,5,36.11,7.22,[]
aten::_reshape_alias,forward,4,12.17,3.04,[]
aten::bmm,forward,2,2180.42,1090.21,[]
aten::resolve_conj,forward,12,3.76,0.31,[]
aten::select,forward,12,50.94,4.25,[]
aten::_unsafe_view,forward,3,14.89,4.96,[]
aten::softmax,forward,2,35.0,17.5,[]
aten::_softmax,forward,2,1920.44,960.22,[]
aten::upsample_nearest2d,forward,2,782.73,391.37,[]
aten::ones,forward,2,23.26,11.63,[]
aten::fill_,forward,2,6.74,3.37,[]
aten::unsqueeze,forward,1,10.26,10.26,[]
aten::sub,forward,2,80.26,40.13,[]
aten::div,forward,1,26.46,26.46,[]
aten::sigmoid,forward,1,757.21,757.21,[]
