op,mode,count,self_total_us,self_mean_us,input_shapes
aten::randint,prefill,1,25.15,25.15,[]
aten::empty,prefill,139,620.55,4.46,[]
aten::random_,prefill,1,18.89,18.89,[]
aten::view,prefill,201,2109.85,10.5,[]
aten::embedding,prefill,2,46.96,23.48,[]
aten::reshape,prefill,15,72.44,4.83,[]
aten::index_select,prefill,2,643.85,321.92,[]
aten::select,prefill,4,28.94,7.24,[]
aten::as_strided,prefill,234,507.29,2.17,[]
aten::arange,prefill,2,27.63,13.82,[]
aten::resize_,prefill,1,3.61,3.61,[]
aten::add,prefill,50,27374.79,547.5,[]
aten::unsqueeze,prefill,1,11.89,11.89,[]
aten::to,prefill,85,196.29,2.31,[]
aten::dropout,prefill,25,30.87,1.23,[]
aten::layer_norm,prefill,25,183.76,7.35,[]
aten::native_layer_norm,prefill,25,6517.0,260.68,[]
aten::addmm,prefill,48,387656.13,8076.17,[]
aten::expand,prefill,48,315.16,6.57,[]
aten::copy_,prefill,96,13625.37,141.93,[]
aten::resolve_conj,prefill,146,80.2,0.55,[]
aten::split,prefill,12,163.7,13.64,[]
aten::narrow,prefill,60,237.37,3.96,[]
aten::slice,prefill,60,269.63,4.49,[]
aten::transpose,prefill,121,697.18,5.76,[]
aten::lift_fresh,prefill,24,14.11,0.59,[]
aten::detach_,prefill,24,46.33,1.93,[]
detach_,prefill,24,30.97,1.29,[]
aten::cat,prefill,24,5171.0,215.46,[]
aten::scaled_dot_product_attention,prefill,12,164.55,13.71,[]
aten::_scaled_dot_product_flash_attention_for_cpu,prefill,12,21481.43,1790.12,[]
aten::empty_like,prefill,12,89.46,7.46,[]
aten::empty_strided,prefill,60,404.61,6.74,[]
aten::mul,prefill,48,37569.9,782.71,[]
aten::_to_copy,prefill,48,663.15,13.82,[]
aten::pow,prefill,12,5466.53,455.54,[]
aten::result_type,prefill,12,25.8,2.15,[]
aten::tanh,prefill,12,26994.71,2249.56,[]
aten::alias,prefill,1,7.48,7.48,[]
aten::linear,prefill,1,6.52,6.52,[]
aten::t,prefill,1,5.76,5.76,[]
aten::matmul,prefill,1,34.11,34.11,[]
aten::mm,prefill,1,141205.35,141205.35,[]
aten::_unsafe_view,prefill,1,10.83,10.83,[]
aten::randint,decode,1,35.39,35.39,[]
aten::empty,decode,139,411.76,2.96,[]
aten::random_,decode,1,26.46,26.46,[]
aten::view,decode,201,1451.28,7.22,[]
aten::embedding,decode,2,30.54,15.27,[]
aten::reshape,decode,15,58.0,3.87,[]
aten::index_select,decode,2,63.83,31.92,[]
aten::select,decode,4,20.93,5.23,[]
aten::as_strided,decode,234,323.09,1.38,[]
aten::arange,decode,2,29.98,14.99,[]
aten::resize_,decode,1,4.91,4.91,[]
aten::add,decode,50,933.96,18.68,[]
aten::unsqueeze,decode,1,12.96,12.96,[]
aten::to,decode,85,121.46,1.43,[]
aten::dropout,decode,25,29.35,1.17,[]
aten::layer_norm,decode,25,149.74,5.99,[]
aten::native_layer_norm,decode,25,707.98,28.32,[]
aten::addmm,decode,48,56662.48,1180.47,[]
aten::expand,decode,48,326.18,6.8,[]
aten::copy_,decode,96,824.19,8.59,[]
aten::resolve_conj,decode,146,54.44,0.37,[]
aten::split,decode,12,147.81,12.32,[]
aten::narrow,decode,60,200.01,3.33,[]
aten::slice,decode,60,229.32,3.82,[]
aten::transpose,decode,121,577.06,4.77,[]
aten::lift_fresh,decode,24,13.3,0.55,[]
aten::detach_,decode,24,44.48,1.85,[]
detach_,decode,24,27.91,1.16,[]
aten::cat,decode,24,498.57,20.77,[]
aten::scaled_dot_product_attention,decode,12,142.44,11.87,[]
aten::_scaled_dot_product_flash_attention_for_cpu,decode,12,2918.68,243.22,[]
aten::empty_like,decode,12,67.28,5.61,[]
aten::empty_strided,decode,60,218.46,3.64,[]
aten::mul,decode,48,745.48,15.53,[]
aten::_to_copy,decode,48,346.59,7.22,[]
aten::pow,decode,12,184.83,15.4,[]
aten::result_type,decode,12,13.1,1.09,[]
aten::tanh,decode,12,1946.23,162.19,[]
aten::alias,decode,1,7.68,7.68,[]
aten::linear,decode,1,7.24,7.24,[]
aten::t,decode,1,6.46,6.46,[]
aten::matmul,decode,1,37.37,37.37,[]
aten::mm,decode,1,83151.0,83151.0,[]
aten::_unsafe_view,decode,1,11.33,11.33,[]
