op,mode,count,self_total_us,self_mean_us,input_shapes
aten::randint,prefill,1,23.42,23.42,[]
aten::empty,prefill,34,72.61,2.14,[]
aten::random_,prefill,1,16.69,16.69,[]
aten::embedding,prefill,1,14.89,14.89,[]
aten::reshape,prefill,3,24.07,8.02,[]
aten::view,prefill,28,77.52,2.77,[]
aten::index_select,prefill,1,30.8,30.8,[]
aten::select,prefill,56,180.61,3.23,[]
aten::as_strided,prefill,89,116.94,1.31,[]
aten::mul,prefill,3,53.02,17.67,[]
aten::to,prefill,5,9.83,1.97,[]
aten::_to_copy,prefill,5,32.96,6.59,[]
aten::empty_strided,prefill,5,18.33,3.67,[]
aten::copy_,prefill,30,153.41,5.11,[]
aten::slice,prefill,1,13.33,13.33,[]
aten::add,prefill,5,52.09,10.42,[]
aten::layer_norm,prefill,4,23.15,5.79,[]
aten::native_layer_norm,prefill,4,122.13,30.53,[]
aten::transpose,prefill,21,114.33,5.44,[]
aten::linear,prefill,5,53.72,10.74,[]
aten::t,prefill,5,20.37,4.07,[]
aten::addmm,prefill,5,762.62,152.52,[]
aten::expand,prefill,5,18.65,3.73,[]
aten::resolve_conj,prefill,58,13.1,0.23,[]
aten::unflatten,prefill,2,10.48,5.24,[]
aten::unsqueeze,prefill,2,14.42,7.21,[]
aten::squeeze,prefill,2,14.35,7.18,[]
aten::contiguous,prefill,18,22.94,1.27,[]
aten::clone,prefill,20,68.7,3.44,[]
aten::empty_like,prefill,20,43.17,2.16,[]
aten::bmm,prefill,4,1651.72,412.93,[]
aten::softmax,prefill,2,16.91,8.45,[]
aten::_softmax,prefill,2,57.65,28.82,[]
aten::_unsafe_view,prefill,2,6.87,3.43,[]
aten::mean,prefill,2,26.59,13.3,[]
aten::sum,prefill,2,56.76,28.38,[]
aten::fill_,prefill,2,8.58,4.29,[]
aten::div_,prefill,2,36.37,18.18,[]
aten::randint,decode,1,20.61,20.61,[]
aten::empty,decode,14,25.35,1.81,[]
aten::random_,decode,1,13.8,13.8,[]
aten::embedding,decode,1,13.24,13.24,[]
aten::reshape,decode,3,9.13,3.04,[]
aten::view,decode,30,73.56,2.45,[]
aten::index_select,decode,1,17.57,17.57,[]
aten::select,decode,8,41.5,5.19,[]
aten::as_strided,decode,41,52.74,1.29,[]
aten::mul,decode,3,39.63,13.21,[]
aten::to,decode,5,9.18,1.84,[]
aten::_to_copy,decode,5,28.08,5.62,[]
aten::empty_strided,decode,5,12.85,2.57,[]
aten::copy_,decode,10,37.89,3.79,[]
aten::slice,decode,1,10.48,10.48,[]
aten::add,decode,5,31.13,6.23,[]
aten::layer_norm,decode,4,15.89,3.97,[]
aten::native_layer_norm,decode,4,57.83,14.46,[]
aten::transpose,decode,21,99.89,4.76,[]
aten::linear,decode,5,51.13,10.23,[]
aten::t,decode,5,15.5,3.1,[]
aten::addmm,decode,5,1551.67,310.33,[]
aten::expand,decode,5,16.48,3.3,[]
aten::resolve_conj,decode,18,4.74,0.26,[]
aten::unflatten,decode,2,10.24,5.12,[]
aten::unsqueeze,decode,2,12.83,6.42,[]
aten::squeeze,decode,2,13.54,6.77,[]
aten::bmm,decode,4,32.93,8.23,[]
aten::softmax,decode,2,9.98,4.99,[]
aten::_softmax,decode,2,21.61,10.81,[]
aten::mean,decode,2,24.48,12.24,[]
aten::sum,decode,2,31.37,15.69,[]
aten::fill_,decode,2,2.28,1.14,[]
aten::div_,decode,2,23.5,11.75,[]
