t_ms,phase,window_id,I_A,V_V,P_W
4.810942002222873,warmup,1,1.58061,0.9286194,1.467785109834
9.850993999862112,warmup,1,1.58061,0.9283507,1.467360399927
38.96709300170187,warmup,1,1.56275,0.9283507,1.450780056425
44.0887919976376,warmup,1,2.46468,0.9280821,2.287425390228
70.85474299674388,warmup,1,5.19726,0.9299625,4.8332569027500005
76.4405679947231,warmup,1,5.161539,0.9304997,4.802810491038301
80.60699800262228,warmup,1,3.94706,0.9286194,3.6653164889639998
85.21001599729061,warmup,1,4.15245,0.928888,3.8571609756000003
89.78853499866091,warmup,1,5.8938,0.9283507,5.47151335566
95.1330839889124,warmup,1,5.92952,0.9326486,5.530158526672
100.3639129921794,warmup,1,5.92952,0.9280821,5.503081373592
105.06313398946077,warmup,1,5.27763,0.9299625,4.9079979888750005
109.16495299898088,warmup,1,5.17047,0.9280821,4.798620655587
113.35010400216561,warmup,1,1.59847,0.928888,1.4847996013600002
127.63908199849539,warmup,1,1.59847,0.928888,1.4847996013600002
131.8217329971958,idle,2,1.58954,0.9283507,1.475650571678
135.5977209896082,idle,2,1.58954,0.9283507,1.475650571678
139.3467279995093,idle,2,1.58061,0.9286194,1.467785109834
143.09803099604324,idle,2,1.61633,0.9283507,1.500521086931
146.83616800175514,idle,2,1.58061,0.9286194,1.467785109834
150.58622999640647,idle,2,1.58954,0.9283507,1.475650571678
154.33766299975105,idle,2,1.59847,0.9283507,1.483940743429
158.086169991293,idle,2,1.59847,0.9283507,1.483940743429
161.81562100246083,idle,2,1.58061,0.9286194,1.467785109834
165.5721459974302,idle,2,1.59847,0.9283507,1.483940743429
169.31569000007585,idle,2,1.57168,0.9283507,1.459070228176
173.0734750017291,idle,2,1.58954,0.9286194,1.476077681076
176.80159299925435,idle,2,1.58061,0.9280821,1.4669358480810002
180.53584000153933,idle,2,1.56275,0.9286194,1.45119996735
184.2708659969503,idle,2,1.57168,0.9286194,1.459492538592
188.01518699910957,idle,2,1.57168,0.928888,1.4599146918400001
191.78356499469373,idle,2,1.57168,0.928888,1.4599146918400001
195.56034899142105,idle,2,1.56275,0.928888,1.4516197220000002
199.31009599531535,idle,2,1.58954,0.9283507,1.475650571678
203.0495289945975,idle,2,2.27715,0.9286194,2.1146056667099997
206.8041099992115,idle,2,1.58954,0.9283507,1.475650571678
210.5650239973329,idle,2,1.57168,0.9283507,1.459070228176
214.30275299644563,idle,2,1.58061,0.9283507,1.467360399927
218.03677899879403,idle,2,1.57168,0.9286194,1.459492538592
221.76978598872665,idle,2,1.57168,0.9283507,1.459070228176
225.52390399505384,idle,2,1.58061,0.9286194,1.467785109834
229.27035499014892,idle,2,1.57168,0.9283507,1.459070228176
233.03739899711218,idle,2,1.58954,0.9286194,1.476077681076
236.76509100187104,idle,2,1.58954,0.9283507,1.475650571678
240.5137640016619,idle,2,1.56275,0.9283507,1.450780056425
244.2584189993795,idle,2,1.58061,0.9286194,1.467785109834
248.02899999485817,idle,2,1.58954,0.9283507,1.475650571678
251.77506200270727,idle,2,1.57168,0.9283507,1.459070228176
255.5189949925989,idle,2,1.57168,0.9286194,1.459492538592
259.24546500027645,idle,2,1.56275,0.9286194,1.45119996735
262.98874999338295,idle,2,1.58954,0.9283507,1.475650571678
266.73301598930266,idle,2,1.59847,0.9286194,1.484370252318
270.4480410029646,idle,2,1.56275,0.9286194,1.45119996735
274.17475199035835,idle,2,1.57168,0.9280821,1.458648074928
277.9265739955008,idle,2,1.57168,0.9283507,1.459070228176
