t_ms,temp_C,arm_MHz,throttle_bits
0.3449609939707443,52.7,2400,327680
5066.022440994857,60.9,2400,327680
10122.344110990525,60.9,2400,327680
15181.817381992005,64.2,2400,327680
20244.27751399344,65.3,2400,327680
25309.349047995056,65.9,2400,327680
30374.07767199329,66.4,2400,327680
35429.77007999434,68.1,2400,327680
40485.956350996275,67.0,2400,327680
45550.29024599935,67.5,2400,327680
50605.99096000078,68.1,2400,327680
55657.990273000905,68.1,2400,327680
60710.01641899056,67.0,2400,327680
65772.40189599979,68.6,2400,327680
70820.47630999296,65.9,2400,327680
75871.20700300147,67.5,2400,327680
80923.8314779941,64.2,2400,327680
85971.71926900046,63.7,2400,327680
91038.84384599223,65.9,2400,327680
96097.30532199319,67.0,2400,327680
101162.09347799304,67.5,2400,327680
106218.07092399104,67.0,2400,327680
111276.71246598766,66.4,2400,327680
116325.0326809939,68.1,2400,327680
121387.12698499148,67.5,2400,327680
126443.87924199691,68.6,2400,327680
131498.04885699996,67.0,2400,327680
136554.54881399055,67.5,2400,327680
141614.1255889961,67.0,2400,327680
146663.44950300117,69.2,2400,327680
151717.39335299935,68.1,2400,327680
156778.68895400024,67.5,2400,327680
161833.1192629994,68.1,2400,327680
166889.98289698793,67.0,2400,327680
171960.88776898978,69.2,2400,327680
177017.73984899046,67.5,2400,327680
182077.91226699192,68.1,2400,327680
187127.88484699558,67.5,2400,327680
192181.11976599903,68.1,2400,327680
197246.28705199575,67.0,2400,327680
202305.8054669964,69.2,2400,327680
207355.42807998718,68.6,2400,327680
212410.66649899585,68.6,2400,327680
217477.8022669925,68.1,2400,327680
222540.8321540017,67.5,2400,327680
227591.0548749962,67.5,2400,327680
232646.06848299445,68.1,2400,327680
237693.14568499976,67.5,2400,327680
242743.28773099114,66.4,2400,327680
247802.0922279975,68.1,2400,327680
252856.86788299063,68.6,2400,327680
257910.18078799243,68.1,2400,327680
262961.7413909873,69.2,2400,327680
268025.99602600094,67.5,2400,327680
273077.09911299753,63.1,2400,327680
278125.27035200037,62.0,2400,327680
283274.3309840007,67.5,2400,327680
288334.15976399556,65.9,2400,327680
293393.95559999684,65.3,2400,327680
298447.90850199934,67.0,2400,327680
303507.98982099514,67.5,2400,327680
308564.82118599524,70.8,2400,327680
313622.66680499306,70.3,2400,327680
318673.54327699286,69.2,2400,327680
323737.07719099184,68.1,2400,327680
328786.3213859964,67.5,2400,327680
333846.48268499586,68.1,2400,327680
338913.2990289945,67.0,2400,327680
343963.0106219993,69.7,2400,327680
349016.312820997,67.5,2400,327680
354066.13171899517,68.6,2400,327680
359118.36006699014,69.2,2400,327680
364192.50549099525,69.2,2400,327680
369241.55868998787,68.6,2400,327680
374291.38418599905,67.0,2400,327680
379341.15591099544,68.1,2400,327680
384394.18287799344,68.1,2400,327680
389457.1898659924,67.5,2400,327680
394526.46310799173,67.5,2400,327680
399584.6075379959,66.4,2400,327680
404636.90028199926,69.2,2400,327680
409701.97869298863,68.6,2400,327680
414767.8665689891,71.4,2400,327680
419826.0300139955,69.7,2400,327680
424878.6240499903,69.7,2400,327680
429944.47941599356,70.3,2400,327680
434993.617479995,69.7,2400,327680
440040.2133509924,67.0,2400,327680
445098.3320499945,70.3,2400,327680
450161.18529599044,68.1,2400,327680
455221.3307029888,66.4,2400,327680
460276.96724999987,68.1,2400,327680
465334.89836398803,68.1,2400,327680
470396.27144399856,66.4,2400,327680
475448.7216069974,68.6,2400,327680
480500.30865799636,68.1,2400,327680
485566.07805499516,70.3,2400,327680
490630.1990879874,69.2,2400,327680
495690.69042099,68.1,2400,327680
500754.0666159912,67.5,2400,327680
505806.38600299426,68.1,2400,327680
510870.0154449907,68.6,2400,327680
515922.24711999006,69.2,2400,327680
520980.89616499783,68.6,2400,327680
526030.5400189973,68.6,2400,327680
531089.967160995,67.5,2400,327680
536150.2084589883,69.7,2400,327680
541209.4431139994,67.5,2400,327680
546264.4205209945,69.7,2400,327680
551317.3302009964,71.4,2400,327680
556378.4269799944,69.2,2400,327680
561434.9571429921,71.9,2400,327680
566488.5653649981,70.3,2400,327680
571541.8283089966,69.7,2400,327680
576594.1767029872,69.2,2400,327680
581649.4505349983,69.2,2400,327680
586702.2615509923,67.5,2400,327680
