op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,33.15,33.15,[]
aten::empty,forward,848,3419.18,4.03,[]
aten::uniform_,forward,1,9400.28,9400.28,[]
aten::conv2d,forward,100,821.5,8.22,[]
aten::convolution,forward,101,1429.23,14.15,[]
aten::_convolution,forward,101,17177.46,170.07,[]
aten::mkldnn_convolution,forward,98,217776.99,2222.21,[]
aten::as_strided_,forward,99,688.93,6.96,[]
aten::contiguous,forward,101,309.37,3.06,[]
aten::clone,forward,102,750.37,7.36,[]
aten::empty_like,forward,192,588.34,3.06,[]
aten::copy_,forward,106,96628.82,911.59,[]
aten::resize_,forward,101,263.81,2.61,[]
aten::batch_norm,forward,90,555.12,6.17,[]
aten::_batch_norm_impl_index,forward,90,1399.54,15.55,[]
aten::native_batch_norm,forward,90,27016.15,300.18,[]
aten::silu_,forward,86,33283.54,387.02,[]
aten::chunk,forward,9,53.78,5.98,[]
aten::split,forward,9,131.33,14.59,[]
aten::narrow,forward,69,355.81,5.16,[]
aten::slice,forward,69,505.78,7.33,[]
aten::as_strided,forward,95,242.98,2.56,[]
aten::add,forward,16,2617.19,163.57,[]
aten::cat,forward,23,15797.38,686.84,[]
aten::max_pool2d,forward,3,21.96,7.32,[]
aten::max_pool2d_with_indices,forward,3,2563.41,854.47,[]
aten::split_with_sizes,forward,2,32.89,16.44,[]
aten::view,forward,17,146.05,8.59,[]
aten::mul,forward,2,344.18,172.09,[]
aten::to,forward,2,5.85,2.93,[]
aten::_to_copy,forward,2,21.26,10.63,[]
aten::empty_strided,forward,2,7.72,3.86,[]
aten::transpose,forward,3,33.66,11.22,[]
aten::matmul,forward,2,54.0,27.0,[]
aten::expand,forward,4,25.26,6.31,[]
aten::reshape,forward,6,34.41,5.73,[]
aten::_reshape_alias,forward,4,10.71,2.68,[]
aten::bmm,forward,2,1325.73,662.87,[]
aten::resolve_conj,forward,12,3.04,0.25,[]
aten::select,forward,12,45.45,3.79,[]
aten::_unsafe_view,forward,3,14.11,4.7,[]
aten::softmax,forward,2,32.0,16.0,[]
aten::_softmax,forward,2,1762.21,881.1,[]
aten::upsample_nearest2d,forward,2,786.18,393.09,[]
aten::ones,forward,2,22.33,11.17,[]
aten::fill_,forward,2,5.83,2.92,[]
aten::_nnpack_available,forward,2,2.24,1.12,[]
aten::thnn_conv2d,forward,2,13.7,6.85,[]
aten::_slow_conv2d_forward,forward,2,900.6,450.3,[]
aten::detach,forward,1,2.5,2.5,[]
aten::unsqueeze,forward,1,10.02,10.02,[]
aten::sub,forward,2,95.96,47.98,[]
aten::div,forward,1,122.46,122.46,[]
aten::sigmoid,forward,1,1761.27,1761.27,[]
aten::conv_transpose2d,forward,1,9.15,9.15,[]
