config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
e9e80e79ce809963,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",multi,"[[1, 3, 640, 640]]",,44236800,11468800,3.032,180,16.5992,4.514789,2.982479,49.506723,64.8,63.7,2400027136,2400017408,340,False,,
a7c239d6fd6f7222,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([  6.6641,   0.4097,  -0.2455,   1.5957,  -0.7925,   1.0166,   1.6953,   1.4199,   1.6562,   5.8047,  -0.4468,   1.6592,   2.1133, -12.7109,  -0.1356,   1.9062])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 16, 320, 320]]",,,13107200,3.025,1410,2.1145,5.006783,3.474474,7.346799,63.1,65.9,2400023808,2400017408,388,False,,
4db31c995deacda7,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 16, 320, 320]]",,,13107200,3.025,1085,2.7473,5.614649,4.082339,11.215211,64.8,67.5,2400033792,2400023808,425,False,,
1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 32, 160, 160]]",,,6553600,3.022,2294,1.2987,5.393161,3.860852,5.013911,65.9,67.5,2400027136,2400030464,456,False,,
3e456fe6cbcdb92a,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 8, 160, 160]]",,,1638400,3.022,8767,0.3398,5.606313,4.074004,1.384478,67.0,67.5,2400023808,2400027136,500,False,,
b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 16, 160, 160]]",,,3276800,3.024,4910,0.607,6.123774,4.591465,2.787235,65.9,68.1,2400020480,2400023808,510,False,,
52a7efe60d82b70f,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 64, 160, 160]]",,,13107200,3.023,1091,2.7292,5.778631,4.246321,11.589065,68.1,68.1,2400020480,2400030464,423,False,,
6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 64, 80, 80]]",,,3276800,3.023,4982,0.5983,6.159206,4.626897,2.768367,67.0,70.3,2400033792,2400023808,517,False,,
31b67e23e5e6b3ec,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 16, 80, 80]]",,,819200,3.023,16601,0.1793,5.687808,4.155498,0.745261,67.5,68.6,2400020480,2400027136,446,False,,
00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 32, 80, 80]]",,,1638400,3.024,8495,0.3507,5.519741,3.987432,1.39854,67.0,69.7,2400023808,2400030464,510,False,,
09681dfeb8452f7b,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 128, 80, 80]]",,,6553600,3.023,2219,1.3428,5.203491,3.671181,4.929647,67.5,69.2,2400033792,2400027136,475,False,,
dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 128, 40, 40]]",,,1638400,3.023,8542,0.3488,5.570028,4.037718,1.408252,67.0,68.1,2400023808,2400030464,512,False,,
08d9785d759dac51,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 32, 40, 40]]",,,409600,3.026,17370,0.1713,5.186108,3.653798,0.625936,68.6,67.0,2400033792,2400020480,502,False,,
4ea83264d9ea3f5c,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 64, 40, 40]]",,,819200,3.022,15167,0.1963,5.397208,3.864899,0.758679,67.5,69.7,2400023808,2400030464,486,False,,
a44d02841d8ceadb,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 256, 20, 20]]",,,819200,3.025,15808,0.1884,5.552264,4.019955,0.75748,68.1,67.5,2400020480,2400027136,461,False,,
9dd2d8c74af91af8,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 64, 20, 20]]",,,204800,3.023,19211,0.1551,2.856489,1.324179,0.205318,68.6,61.5,2400020480,2400030464,712,False,,
0da1c08a8fae32e5,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 128, 20, 20]]",,,409600,3.024,17750,0.1678,5.206037,3.673727,0.616552,62.0,65.9,2400017408,2400017408,490,False,,
65418290bafe418a,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 80, 80, 80]]",,,4096000,3.023,3801,0.7833,5.778316,4.246007,3.325842,66.4,65.9,2400023808,2400027136,501,False,,
70499828149a886f,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 80, 40, 40]]",,,1024000,3.023,12004,0.2482,5.23534,3.703031,0.918948,67.5,67.5,2400033792,2400027136,501,False,,
4e53e2f3fa50e788,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 80, 20, 20]]",,,256000,3.023,17378,0.1714,2.860427,1.328117,0.22766,67.5,62.6,2400023808,2400023808,751,False,,
0bc24e1a5a995688,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 32, 20, 20]]",,,102400,3.023,32257,0.0923,2.786742,1.254433,0.115823,63.1,59.8,2400023808,2400033792,749,False,,
052d8e402cda395d,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",multi,"[[1, 16, 320, 320]]",,117964800,9830400,3.03,292,10.2181,4.671467,3.139157,32.076159,60.4,63.7,2400023808,2400023808,410,False,,
1ba7a32bca2e1178,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-1.4648e-02, -2.9590e-01,  2.0332e+00, -5.1666e-02,  2.9648e+00,  2.8848e+00, -6.9922e-01,  9.4971e-01,  2.3926e+00,  1.9111e+00, -4.7333e-02, -1.8335e-01,  3.5957e+00,  1.5625e+00, -5.0879e-01,  2.3516e+00,  2.3086e+00, -2.8320e-01,  6.3672e+00, -1.9031e-01,  1.8184e+00,  2.8438e+00, -6.0059e-01,  1.9082e+00,\n        -4.9243e-01,  5.2578e+00, -3.8452e-01,  3.6660e+00,  2.2988e+00,  5.1832e-04, -3.9331e-01, -3.5815e-01])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 32, 160, 160]]",,,6553600,3.028,2654,1.1216,5.212419,3.68011,4.127455,62.6,65.3,2400033792,2400020480,432,False,,
f98c3bd3e95e4191,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",multi,"[[1, 32, 160, 160]]",,26214400,6553600,3.027,408,7.313,4.346239,2.81393,20.578193,64.8,64.2,2400020480,2400020480,400,False,,
