t_ms,phase,window_id,I_A,V_V,P_W
4.588818992488086,warmup,1,1.56275,0.9286194,1.45119996735
9.651708998717368,warmup,1,1.58061,0.9283507,1.467360399927
34.77321499667596,warmup,1,1.57168,0.9280821,1.458648074928
39.916714988066815,warmup,1,2.679,0.9280821,2.4863319459
69.4257079885574,warmup,1,2.55398,0.928888,2.37236137424
74.68000399239827,warmup,1,3.97385,0.9286194,3.69019420269
78.89239999349229,warmup,1,6.95647,0.9291566,6.463650013202001
83.67829099006485,warmup,1,3.95599,0.928888,3.67467163912
90.66324098967016,warmup,1,2.44682,0.9291566,2.2734789520120002
98.69805398921017,warmup,1,5.73306,0.9272762,5.316130091172
103.37866899499204,warmup,1,5.99203,0.9299625,5.572363198875
108.23148599592969,warmup,1,8.52815,0.9299625,7.930859694375
113.5579669935396,warmup,1,5.24191,0.9286194,4.8677393190539995
118.46752399287652,warmup,1,5.02759,0.9294252,4.672768841268
125.28254999779165,warmup,1,2.8576,0.9294252,2.65592545152
131.29765499616042,warmup,1,3.82204,0.9286194,3.549220491576
137.4661479931092,warmup,1,4.33105,0.928888,4.023060372400001
145.48849799029995,warmup,1,2.66114,0.9291566,2.472615794524
150.40653699543327,warmup,1,4.08101,0.928888,3.7908012168800003
157.4485979945166,warmup,1,4.50072,0.9291566,4.181873692752
161.83230699971318,warmup,1,4.76862,0.9294252,4.432075597224
166.7805489996681,warmup,1,4.06315,0.9294252,3.77639400138
171.93523499008734,warmup,1,4.83113,0.9296938,4.491471607994
176.25448199396487,warmup,1,8.44778,0.9304997,7.8606567556660005
182.47588200028986,warmup,1,4.75969,0.9286194,4.419940471986
189.20268600049894,warmup,1,4.1078,0.9304997,3.8223066676600004
193.59861699922476,warmup,1,5.83129,0.9283507,5.413482153403
200.30440199479926,warmup,1,9.501519,0.9347976,8.8819971575544
204.6282419905765,warmup,1,2.679,0.9286194,2.4877713725999997
209.0993769961642,warmup,1,4.57216,0.9286194,4.245796475904
213.407234987244,warmup,1,4.0185,0.9299625,3.7370543062500006
217.66081599344034,warmup,1,3.99171,0.9296938,3.711068038398
221.82882299239282,warmup,1,5.24191,0.9302311,4.876187705401
226.00434799096547,warmup,1,3.59879,0.928888,3.3428728455200005
230.79222199157812,warmup,1,2.62542,0.9294252,2.440131508584
