t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
0.40405199979431927,53.2,2400,327680,0.1200394,0.112232,0.1805471,0.07905034,0.0,0.1864026,0.3718293,3.92027,0.0,0.0,0.0031746,0.0136752,3.655234,3.320241,1.804638,1.110622,0.6021972,1.102929,0.8018308,0.9286194,3.322341,3.311352,0.8017574,4.8441,4.85214,0.0
5080.0950349948835,59.8,2400,327680,0.1024727,0.05562801,0.1834748,0.0487965,0.0,0.2010416,0.3474311,7.89412,0.0,6.105e-05,0.0035409,0.0136752,3.585637,3.319313,1.803173,1.106592,0.6029298,1.107691,0.8010981,0.928888,3.317762,3.313183,0.8008783,4.89368,4.88832,0.0
10147.846451000078,60.4,2400,327680,0.1473654,0.05367615,0.1883545,0.2039694,0.0215688,0.1893304,0.3474311,4.15245,0.0,0.0,0.00323565,0.0133089,3.621828,3.318385,1.803661,1.107325,0.6065928,1.110622,0.8025633,0.928888,3.317762,3.312268,0.8008783,4.88832,4.87626,0.0
15211.564956989605,56.0,2400,327680,0.1073523,0.05465208,0.1737155,0.00585558,0.0,0.1864026,0.3493829,1.65205,0.0,0.0,0.0031746,0.0130647,3.690497,3.320241,1.804638,1.10586,0.6010983,1.102197,0.8025633,0.928888,3.318678,3.314099,0.8014645,4.9848,4.96738,0.0
20261.189690994797,60.4,2400,327680,0.1024727,0.05367615,0.1942101,0.2693567,0.0029412,0.1883545,0.4528315,4.83113,0.0,0.0,0.00311355,0.0131868,3.593061,3.316529,1.805126,1.106959,0.6040287,1.107325,0.8029296,0.928888,3.317762,3.313183,0.8011714,4.87224,4.83472,0.0
25322.83471201663,61.5,2400,327680,0.1044245,0.05660394,0.1903064,0.2400788,0.0004902,0.1883545,0.3962276,6.95647,0.0,0.0,0.0034188,0.0136752,3.638531,3.318385,1.805126,1.106959,0.6051276,1.104394,0.8007318,0.9283507,3.324172,3.310436,0.8008783,4.94058,4.93522,0.0
30375.449809012935,63.7,2400,327680,0.1229672,0.0585558,0.1854267,0.1493173,0.0117648,0.1844508,0.460639,4.71504,0.0,0.0,0.00335775,0.0128205,3.558727,3.324881,1.805126,1.109889,0.6003657,1.107691,0.8029296,0.9283507,3.317762,3.311352,0.8008783,4.71546,4.86688,0.0
35429.39622601261,63.7,2400,327680,0.1014967,0.09173742,0.2059212,0.09076149,0.0,0.1883545,0.404035,1.80386,0.0,6.105e-05,0.00335775,0.013431,3.651522,3.320241,1.80415,1.112087,0.6014646,1.107691,0.8010981,0.7223192,3.317762,3.313183,0.8005854,4.96872,4.9513,0.0
40486.20682299952,63.1,2400,327680,0.1307746,0.05270022,0.1961619,0.1424858,0.0274512,0.1942101,0.4567352,4.48286,0.0,0.0,0.0031746,0.013431,3.619044,3.310033,1.805615,1.106592,0.6032961,1.110622,0.8025633,0.9280821,3.317762,3.311352,0.8002922,4.7101,4.84544,0.0
45543.170768010896,64.2,2400,327680,0.1356543,0.0683151,0.1834748,0.1620044,0.02451,0.1873786,0.4538074,6.12598,0.0,6.105e-05,0.00286935,0.0130647,3.613476,3.318385,1.805126,1.10879,0.6029298,1.107691,0.8025633,0.9294252,3.317762,3.310436,0.8005854,4.8508,4.83472,0.0
50604.779637011234,65.3,2400,327680,0.1102801,0.05270022,0.1932341,0.1590766,0.009804,0.1903064,0.4401444,7.5012,0.0,6.105e-05,0.00299145,0.0136752,3.592133,3.320241,1.804638,1.109156,0.6036624,1.109156,0.8014644,0.9286194,3.317762,3.310436,0.8008783,4.80256,4.89904,0.0
55662.14813300758,65.9,2400,327680,0.1063764,0.1659081,0.1864026,0.0195186,0.0,0.1864026,0.3610941,3.56307,0.0,0.0,0.00286935,0.013431,3.583782,3.317457,1.805126,1.110622,0.6073254,1.104394,0.8014644,0.928888,3.317762,3.30952,0.8011714,4.80256,4.78514,0.0
60717.4908129964,66.4,2400,327680,0.2303195,0.05660394,0.1737155,0.03708534,0.0,0.1912823,0.3845164,7.0547,0.0,0.0,0.00311355,0.0131868,3.603268,3.318385,1.801708,1.112087,0.6076917,1.104394,0.8029296,0.9296938,3.316846,3.311352,0.8005854,4.80122,4.82802,0.0
65772.22956999321,67.5,2400,327680,0.1083282,0.05270022,0.1834748,0.03122976,0.0,0.1864026,0.363046,5.73306,0.0,0.0,0.00335775,0.0130647,3.632963,3.319313,1.804638,1.109523,0.6073254,1.108058,0.8032959,0.928888,3.318678,3.314099,0.8008783,4.80122,4.77978,0.0
70830.0945230003,68.1,2400,327680,0.09856894,0.111256,0.1873786,0.01366302,0.0,0.1883545,0.3552385,6.0724,6.105e-05,0.0,0.0032967,0.0131868,3.568934,3.318385,1.804638,1.109889,0.6021972,1.107691,0.8025633,0.9294252,3.317762,3.312268,0.8002922,4.82266,4.80122,0.0
75884.05885899556,68.6,2400,327680,0.1024727,0.06636324,0.1864026,0.07709848,0.0058824,0.1893304,0.3474311,3.34875,0.0,6.105e-05,0.00311355,0.0136752,3.564294,3.322097,1.804638,1.110255,0.6003657,1.102929,0.8205121,0.9296938,3.320509,3.313183,0.8008783,4.7838,4.80122,0.0
80939.83958699391,68.6,2400,327680,0.1102801,0.06050766,0.1776193,0.01659081,0.0,0.1873786,0.3601182,6.03668,0.0001221,6.105e-05,0.003663,0.0126984,3.582854,3.318385,1.805126,1.10879,0.600732,1.104394,0.8040285,0.9304997,3.318678,3.310436,0.8005854,4.80122,4.80122,0.0
85997.72213000688,67.0,2400,327680,0.1132079,0.05367615,0.1737155,0.01268709,0.0,0.1893304,0.3493829,6.09026,0.0,0.0,0.00311355,0.0125763,3.596773,3.320241,1.80415,1.108058,0.6076917,1.110622,0.7996329,0.9291566,3.318678,3.311352,0.8005854,4.8441,4.82668,0.0
91051.42376199365,65.9,2400,327680,0.1132079,0.05367615,0.1766433,0.0097593,0.0,0.1893304,0.3474311,5.92952,6.105e-05,0.0,0.0035409,0.0133089,3.598629,3.317457,1.803173,1.109889,0.6065928,1.109156,0.8025633,0.9294252,3.317762,3.314099,0.8005854,4.83472,4.82534,0.0
96104.05525501119,65.9,2400,327680,0.1219913,0.04977243,0.181523,0.0712429,0.0,0.1883545,0.3601182,6.06347,0.0,0.0002442,0.003663,0.0136752,3.581925,3.320241,1.803173,1.109889,0.6036624,1.107325,0.8025633,0.9280821,3.316846,3.311352,0.8002922,4.7838,4.79184,0.0
101157.53788800794,65.3,2400,327680,0.112232,0.05270022,0.1756674,0.0292779,0.0,0.1893304,0.3454792,3.16122,0.0,0.0,0.003663,0.0136752,3.646883,3.320241,1.803661,1.107325,0.6021972,1.107325,0.8025633,0.9286194,3.317762,3.310436,0.8005854,4.93656,4.94058,0.0
106209.15231399704,64.8,2400,327680,0.1054004,0.05562801,0.1903064,0.08295405,0.012255,0.1893304,0.446976,3.53628,0.0001221,6.105e-05,0.003663,0.0130647,3.63018,3.317457,1.805615,1.113918,0.6051276,1.107325,0.8025633,0.9299625,3.317762,3.312268,0.8005854,4.87224,4.81328,0.0
111268.59322801465,66.4,2400,327680,0.1356543,0.05562801,0.1903064,0.1424858,0.0,0.1893304,0.3445033,4.69718,0.0,0.0,0.0034188,0.0136752,3.623684,3.320241,1.805126,1.111354,0.6036624,1.10879,0.802197,0.9280821,3.317762,3.312268,0.8011714,4.86152,4.86152,0.0
116327.85456901183,67.0,2400,327680,0.1366302,0.05172429,0.1883545,0.1776193,0.0107844,0.1873786,0.4264814,4.2864,0.0001221,0.0,0.00311355,0.0130647,3.562438,3.319313,1.805126,1.107325,0.6032961,1.107691,0.8010981,0.9283507,3.315931,3.314099,0.8008783,4.93388,4.87358,0.0
121391.78420300595,67.5,2400,327680,0.3591422,0.05757987,0.1873786,0.1561488,0.0,0.1903064,0.4782057,5.55446,6.105e-05,0.0,0.003663,0.0136752,3.58471,3.319313,1.804638,1.107325,0.6065928,1.107325,0.8014644,0.9294252,3.317762,3.310436,0.8005854,4.81462,4.79452,0.0
126454.7296600067,67.5,2400,327680,0.1083282,0.05074836,0.1873786,0.01171116,0.0,0.1893304,0.4821094,4.34891,0.0,0.00018315,0.0034188,0.0131868,3.592133,3.322097,1.805126,1.10879,0.6018309,1.110622,0.8014644,0.928888,3.321425,3.311352,0.8011714,4.80256,4.80658,0.0
131508.37334201788,65.3,2400,327680,0.1073523,0.05270022,0.1727396,0.1239431,0.0,0.1893304,0.3454792,1.83065,0.0,0.0,0.00347985,0.0136752,3.655234,3.319313,1.804638,1.107325,0.6032961,1.107691,0.8043948,0.9283507,3.317762,3.311352,0.8002922,4.98346,4.97542,0.0
136571.5193329961,68.1,2400,327680,0.1151597,0.05562801,0.1805471,0.08002626,0.0,0.1893304,0.4274573,4.27747,0.0001221,6.105e-05,0.00311355,0.0131868,3.56151,3.318385,1.803173,1.111354,0.6003657,1.109156,0.8014644,0.9280821,3.317762,3.312268,0.8011714,4.8508,4.8776,0.0
141628.09685998945,67.5,2400,327680,0.124919,0.05757987,0.1844508,0.1473654,0.0,0.1903064,0.4118425,2.77723,0.0,0.0,0.0034188,0.0125763,3.603268,3.318385,1.806592,1.108424,0.6029298,1.110622,0.8010981,0.9296938,3.320509,3.310436,0.8008783,4.86822,4.78916,0.0
146684.32942501386,69.7,2400,327680,0.139558,0.06148359,0.1844508,0.1454136,0.0,0.1912823,0.5172429,6.72429,6.105e-05,0.0,0.0032967,0.0128205,3.574502,3.319313,1.803173,1.107691,0.6029298,1.107691,0.7996329,0.928888,3.316846,3.306773,0.8008783,4.80256,4.84544,0.0
151735.43140399852,67.5,2400,327680,0.1161357,0.09271335,0.2147046,0.08392998,0.0,0.1883545,0.5201707,6.32244,0.0,0.0,0.00335775,0.0136752,3.578214,3.318385,1.80415,1.10879,0.604395,1.107325,0.8018308,0.9304997,3.317762,3.310436,0.8002922,4.80926,4.80122,0.0
156796.44342898973,67.5,2400,327680,0.1171116,0.0585558,0.1805471,0.08392998,0.0,0.1893304,0.4255055,4.35784,0.0001221,0.0,0.0039072,0.0128205,3.585637,3.317457,1.803173,1.11172,0.6018309,1.107691,0.8029296,0.9302311,3.319594,3.311352,0.8005854,4.82802,4.824,0.0
