path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
0,42e23db398da4558,Conv,"{""class"": ""Conv""}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0,forward,False,464,,11468800,,52,50.4431,48.3425,13.1352
0.conv,e9e80e79ce809963,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.conv,forward,True,432,44236800,11468800,3.8571,52,37.7213,34.4994,10.8516
0.bn,8e7a544d158f0ff3,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.7383,  2.5508, -0.9956, -0.8149,  0.7407, -0.4895, -7.8516,  0.5698,  0.2932,  2.2266,  5.6797,  1.5967,  1.8916,  2.0273, -0.6157,  1.5381])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.bn,forward,True,32,,13107200,,52,4.7533,3.9242,3.532
0.act,4db31c995deacda7,SiLU,"{""class"": ""SiLU""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.act,forward,True,0,,13107200,,52,7.6103,7.9717,2.4158
0.act,1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}","[[1, 32, 160, 160]]","[""torch.float32""]","[[1, 32, 160, 160]]",0.act,forward,True,0,,6553600,,104,4.774,4.79,1.4679
0.act,3e456fe6cbcdb92a,SiLU,"{""class"": ""SiLU""}","[[1, 8, 160, 160]]","[""torch.float32""]","[[1, 8, 160, 160]]",0.act,forward,True,0,,1638400,,52,2.1758,2.2312,0.8179
0.act,b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}","[[1, 16, 160, 160]]","[""torch.float32""]","[[1, 16, 160, 160]]",0.act,forward,True,0,,3276800,,52,3.5589,3.4375,1.6095
0.act,52a7efe60d82b70f,SiLU,"{""class"": ""SiLU""}","[[1, 64, 160, 160]]","[""torch.float32""]","[[1, 64, 160, 160]]",0.act,forward,True,0,,13107200,,52,8.7266,8.009,4.4362
0.act,6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",0.act,forward,True,0,,3276800,,312,3.44,3.1554,2.2612
0.act,31b67e23e5e6b3ec,SiLU,"{""class"": ""SiLU""}","[[1, 16, 80, 80]]","[""torch.float32""]","[[1, 16, 80, 80]]",0.act,forward,True,0,,819200,,364,2.1517,1.9757,1.505
0.act,00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}","[[1, 32, 80, 80]]","[""torch.float32""]","[[1, 32, 80, 80]]",0.act,forward,True,0,,1638400,,156,2.5061,2.383,1.1204
0.act,09681dfeb8452f7b,SiLU,"{""class"": ""SiLU""}","[[1, 128, 80, 80]]","[""torch.float32""]","[[1, 128, 80, 80]]",0.act,forward,True,0,,6553600,,52,5.0223,4.9708,1.5112
0.act,dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 128, 40, 40]]",0.act,forward,True,0,,1638400,,468,2.62,2.5463,1.2384
0.act,4ea83264d9ea3f5c,SiLU,"{""class"": ""SiLU""}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",0.act,forward,True,0,,819200,,416,2.0362,1.9612,1.0064
0.act,a44d02841d8ceadb,SiLU,"{""class"": ""SiLU""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",0.act,forward,True,0,,819200,,468,2.092,1.9874,0.9241
0.act,0da1c08a8fae32e5,SiLU,"{""class"": ""SiLU""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",0.act,forward,True,0,,409600,,156,1.7897,1.7514,0.7134
0.act,08d9785d759dac51,SiLU,"{""class"": ""SiLU""}","[[1, 32, 40, 40]]","[""torch.float32""]","[[1, 32, 40, 40]]",0.act,forward,True,0,,409600,,624,1.9439,1.8276,0.8202
0.act,9dd2d8c74af91af8,SiLU,"{""class"": ""SiLU""}","[[1, 64, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",0.act,forward,True,0,,204800,,416,0.2197,0.145,0.3993
0.act,65418290bafe418a,SiLU,"{""class"": ""SiLU""}","[[1, 80, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",0.act,forward,True,0,,4096000,,156,3.948,3.6616,2.8082
0.act,70499828149a886f,SiLU,"{""class"": ""SiLU""}","[[1, 80, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",0.act,forward,True,0,,1024000,,156,2.1983,2.0892,0.9954
0.act,4e53e2f3fa50e788,SiLU,"{""class"": ""SiLU""}","[[1, 80, 20, 20]]","[""torch.float32""]","[[1, 80, 20, 20]]",0.act,forward,True,0,,256000,,156,0.2038,0.1742,0.1268
1,e2cf841038d442ab,Conv,"{""class"": ""Conv""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 32, 160, 160]]",1,forward,False,4672,,9830400,,52,41.1265,39.8948,10.2274
1.conv,052d8e402cda395d,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 32, 160, 160]]",1.conv,forward,True,4608,117964800,9830400,12.0,52,32.8599,32.5001,9.0207
1.bn,0de8ff3a6185f226,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.8408,  1.9473, -0.5293,  2.0039, -0.3127,  2.2637,  2.1621, -0.6636, -0.3728, -0.2510,  3.1523,  4.1641, -0.2463, -0.0598, -0.2278,  1.2559,  1.1055,  1.6045, -0.3103,  2.2539,  1.2168, -0.1086,  1.8496,  1.7871,  2.5312,  2.7051, -0.3076, -0.3928, -0.3357,  2.5605,  1.0752, -0.0576])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 32, 160, 160]]","[""torch.float32""]","[[1, 32, 160, 160]]",1.bn,forward,True,64,,6553600,,52,3.1994,2.9374,2.0987
