op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,90.59,90.59,[]
aten::empty,forward,1077,5775.3,5.36,[]
aten::uniform_,forward,1,9634.94,9634.94,[]
aten::conv2d,forward,120,1428.44,11.9,[]
aten::convolution,forward,120,2904.15,24.2,[]
aten::_convolution,forward,120,2667.16,22.23,[]
aten::mkldnn_convolution,forward,120,1166179.4,9718.16,[]
aten::as_strided_,forward,116,1281.88,11.05,[]
aten::contiguous,forward,134,616.92,4.6,[]
aten::clone,forward,158,2696.26,17.06,[]
aten::empty_like,forward,271,1134.52,4.19,[]
aten::copy_,forward,168,399697.06,2379.15,[]
aten::resize_,forward,120,524.78,4.37,[]
aten::batch_norm,forward,113,987.51,8.74,[]
aten::_batch_norm_impl_index,forward,113,2640.01,23.36,[]
aten::native_batch_norm,forward,113,196961.83,1743.03,[]
aten::silu_,forward,81,175835.07,2170.8,[]
aten::chunk,forward,4,50.72,12.68,[]
aten::split,forward,4,346.98,86.74,[]
aten::narrow,forward,42,389.16,9.27,[]
aten::slice,forward,42,482.25,11.48,[]
aten::as_strided,forward,453,1320.23,2.91,[]
aten::add,forward,36,56897.39,1580.48,[]
aten::cat,forward,20,68698.0,3434.9,[]
aten::flatten,forward,8,105.89,13.24,[]
aten::view,forward,32,330.74,10.34,[]
aten::transpose,forward,25,457.2,18.29,[]
aten::reshape,forward,60,781.76,13.03,[]
aten::_reshape_alias,forward,28,99.55,3.56,[]
aten::permute,forward,40,2626.22,65.66,[]
aten::split_with_sizes,forward,8,156.17,19.52,[]
aten::mul,forward,9,15294.36,1699.37,[]
aten::to,forward,9,29.07,3.23,[]
aten::_to_copy,forward,9,95.42,10.6,[]
aten::empty_strided,forward,9,51.43,5.71,[]
aten::matmul,forward,16,1160.94,72.56,[]
aten::expand,forward,32,307.55,9.61,[]
aten::_unsafe_view,forward,40,315.11,7.88,[]
aten::bmm,forward,16,304883.9,19055.24,[]
aten::resolve_conj,forward,256,143.8,0.56,[]
aten::select,forward,288,2165.91,7.52,[]
aten::softmax,forward,9,5196.73,577.41,[]
aten::_softmax,forward,9,59915.61,6657.29,[]
aten::upsample_nearest2d,forward,2,2671.64,1335.82,[]
aten::ones,forward,2,22.35,11.18,[]
aten::fill_,forward,2,13.67,6.83,[]
aten::unsqueeze,forward,1,11.89,11.89,[]
aten::sub,forward,2,95.26,47.63,[]
aten::div,forward,1,34.33,34.33,[]
aten::sigmoid,forward,1,3745.06,3745.06,[]
