config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
e9e80e79ce809963,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 3, 640, 640], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4915200}], 'kwargs': {}}",,"[""torch.float32""]",44236800,11468800,3.039,157,19.2062,4.392624,2.73239,52.478891,62.0,62.6,2400,2400,344,False,,
8e7a544d158f0ff3,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.7383,  2.5508, -0.9956, -0.8149,  0.7407, -0.4895, -7.8516,  0.5698,  0.2932,  2.2266,  5.6797,  1.5967,  1.8916,  2.0273, -0.6157,  1.5381])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}",,"[""torch.float32""]",,13107200,3.027,1518,1.9775,4.796455,3.136221,6.201787,63.7,64.8,2400,2400,441,False,,
4db31c995deacda7,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}",,"[""torch.float32""]",,13107200,3.023,1010,2.9704,5.59134,3.931107,11.676879,63.1,65.9,2400,2400,452,False,,
1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}",,"[""torch.float32""]",,6553600,3.024,2007,1.4953,5.352502,3.692268,5.521145,65.9,65.9,2400,2400,488,False,,
3e456fe6cbcdb92a,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 8, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}",,"[""torch.float32""]",,1638400,3.023,6463,0.4642,5.150053,3.489819,1.620017,65.3,67.0,2400,2400,550,False,,
b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}",,"[""torch.float32""]",,3276800,3.023,3901,0.7691,5.479567,3.819333,2.937535,65.3,66.4,2400,2400,519,False,,
52a7efe60d82b70f,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}",,"[""torch.float32""]",,13107200,3.024,1007,2.9804,5.460643,3.800409,11.326651,65.9,67.0,2400,2400,452,False,,
6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}",,"[""torch.float32""]",,3276800,3.023,4077,0.7359,5.640745,3.980512,2.929181,65.9,67.5,2400,2400,522,False,,
31b67e23e5e6b3ec,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}",,"[""torch.float32""]",,819200,3.023,11102,0.2702,4.932285,3.272051,0.884189,65.9,67.0,2400,2400,553,False,,
00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}",,"[""torch.float32""]",,1638400,3.024,6657,0.4507,5.267212,3.606979,1.625742,66.4,67.0,2400,2400,491,False,,
