t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
0.33055301173590124,49.9,2400,327680,0.09954486,0.05367615,0.1766433,0.02830197,0.0,0.1873786,0.3425514,2.62542,0.0,0.0,0.0031746,0.0141636,3.689569,3.319313,1.805615,1.107691,0.6051276,1.107691,0.8014644,0.9278135,3.319594,3.312268,0.8014645,4.90038,4.88162,0.0
5065.44261801173,54.9,2400,327680,0.0,0.05367615,0.1737155,0.00585558,0.0,0.1854267,0.3396236,1.61633,0.0,0.0,0.00311355,0.0133089,3.710912,3.320241,1.803661,1.11282,0.611721,1.110988,0.8051274,0.9280821,3.318678,3.311352,0.8005854,5.0116,5.00624,0.0
10118.653821002226,59.3,2400,327680,0.0,0.06929103,0.1873786,0.05172429,0.031863,0.1873786,0.3474311,3.96492,0.0,0.0,0.00299145,0.0131868,3.621828,3.319313,1.805126,1.106592,0.6014646,1.102929,0.8018308,0.9299625,3.316846,3.310436,0.8011714,4.90038,4.90574,0.0
15170.847588015022,63.1,2400,327680,0.1034486,0.05270022,0.1766433,0.06343545,0.0,0.1883545,0.3610941,5.08117,0.0,0.0,0.0035409,0.0131868,3.665442,3.317457,1.804638,1.110988,0.6014646,1.107691,0.8018308,0.9291566,3.315931,3.307689,0.8005854,4.83874,4.87894,0.0
20235.42746901512,62.6,2400,327680,0.09856894,0.05660394,0.1922582,0.2849716,0.0622554,0.1883545,0.4762538,5.21512,0.0,0.0,0.00311355,0.0131868,3.614404,3.319313,1.80415,1.10879,0.6018309,1.107325,0.8007318,0.9286194,3.317762,3.311352,0.8008783,4.86018,4.85482,0.0
25294.285491021583,65.9,2400,327680,0.01463895,0.05660394,0.1805471,0.1717637,0.0,0.1864026,0.5484726,6.71536,0.0,0.0,0.0032967,0.0136752,3.617188,3.320241,1.804638,1.109523,0.6051276,1.110622,0.8025633,0.9280821,3.319594,3.310436,0.8005854,4.82266,4.81864,0.0
30355.357899999944,65.3,2400,327680,0.00097593,0.05465208,0.1893304,0.1073523,0.0,0.1883545,0.4128184,3.58093,0.0,0.0,0.00360195,0.0130647,3.607908,3.318385,1.803661,1.115017,0.6051276,1.107325,0.8018308,0.9291566,3.318678,3.311352,0.8011714,4.79184,4.7905,0.0
35405.36421901197,67.5,2400,327680,0.00292779,0.05562801,0.1805471,0.03025383,0.0,0.1873786,0.3493829,7.13507,0.0,0.0,0.0031746,0.0131868,3.629252,3.317457,1.80415,1.107325,0.6014646,1.110622,0.8040285,0.9283507,3.317762,3.311352,0.8008783,4.80926,4.8441,0.0
40448.22982000187,65.3,2400,327680,0.00292779,0.05367615,0.1746915,0.08100219,0.0,0.1873786,0.3445033,5.36693,0.0,0.0,0.00299145,0.0131868,3.610692,3.319313,1.803661,1.110622,0.6069591,1.107325,0.8043948,0.9294252,3.315931,3.310436,0.8005854,4.8441,4.80658,0.0
45502.88663301035,67.0,2400,327680,0.0,0.05757987,0.1746915,0.01659081,0.0,0.1961619,0.3464552,5.78664,0.0,0.0,0.00335775,0.0128205,3.621828,3.319313,1.80415,1.114651,0.600732,1.108424,0.8025633,0.9291566,3.317762,3.310436,0.8005854,4.88162,4.84544,0.0
