path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
0,42e23db398da4558,Conv,"{""class"": ""Conv""}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0,forward,False,464,,11468800,,35,20.8174,20.7927,1.0069
0.conv,e9e80e79ce809963,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.conv,forward,True,432,44236800,11468800,3.8571,35,16.0773,15.9949,0.8358
0.bn,a2bead640a3bcb99,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([  1.7500,  -0.4363,   0.5703,   1.5762,  -4.7422,   1.3799, -11.1875,   3.8652,   1.3438,   1.4229,   1.7705,   1.6172,   1.5312,   2.5645,  -7.1250,   1.6768])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.bn,forward,True,32,,13107200,,35,2.0778,2.0285,0.177
0.act,4db31c995deacda7,SiLU,"{""class"": ""SiLU""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.act,forward,True,0,,13107200,,35,2.3782,2.1819,0.4567
0.act,1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}","[[1, 32, 160, 160]]","[""torch.float32""]","[[1, 32, 160, 160]]",0.act,forward,True,0,,6553600,,140,1.2336,1.014,0.4316
0.act,b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}","[[1, 16, 160, 160]]","[""torch.float32""]","[[1, 16, 160, 160]]",0.act,forward,True,0,,3276800,,70,0.6033,0.5135,0.2601
0.act,6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",0.act,forward,True,0,,3276800,,280,0.6431,0.5164,0.2948
0.act,00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}","[[1, 32, 80, 80]]","[""torch.float32""]","[[1, 32, 80, 80]]",0.act,forward,True,0,,1638400,,280,0.4138,0.2721,0.2632
0.act,dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 128, 40, 40]]",0.act,forward,True,0,,1638400,,245,0.4013,0.2697,0.2622
0.act,4ea83264d9ea3f5c,SiLU,"{""class"": ""SiLU""}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",0.act,forward,True,0,,819200,,385,0.2368,0.1461,0.2169
