op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,32.46,32.46,[]
aten::empty,forward,631,2980.87,4.72,[]
aten::uniform_,forward,1,9967.01,9967.01,[]
aten::conv2d,forward,76,698.06,9.19,[]
aten::convolution,forward,77,1093.1,14.2,[]
aten::_convolution,forward,77,19671.13,255.47,[]
aten::mkldnn_convolution,forward,74,211262.97,2854.9,[]
aten::as_strided_,forward,75,536.24,7.15,[]
aten::contiguous,forward,77,251.26,3.26,[]
aten::clone,forward,77,631.35,8.2,[]
aten::empty_like,forward,143,466.44,3.26,[]
aten::copy_,forward,80,77573.32,969.67,[]
aten::resize_,forward,77,210.44,2.73,[]
aten::batch_norm,forward,66,423.85,6.42,[]
aten::_batch_norm_impl_index,forward,66,1120.21,16.97,[]
aten::native_batch_norm,forward,66,23092.42,349.89,[]
aten::silu_,forward,66,27296.24,413.58,[]
aten::chunk,forward,9,63.66,7.07,[]
aten::split,forward,9,138.0,15.33,[]
aten::narrow,forward,67,402.73,6.01,[]
aten::slice,forward,67,485.74,7.25,[]
aten::as_strided,forward,70,203.03,2.9,[]
aten::add,forward,8,2131.61,266.45,[]
aten::cat,forward,19,13356.26,702.96,[]
aten::max_pool2d,forward,3,22.78,7.59,[]
aten::max_pool2d_with_indices,forward,3,2998.68,999.56,[]
aten::upsample_nearest2d,forward,2,688.61,344.3,[]
aten::ones,forward,2,20.87,10.43,[]
aten::fill_,forward,2,6.57,3.29,[]
aten::view,forward,15,127.02,8.47,[]
aten::_nnpack_available,forward,2,1.72,0.86,[]
aten::thnn_conv2d,forward,2,10.68,5.34,[]
aten::_slow_conv2d_forward,forward,2,377.81,188.91,[]
aten::detach,forward,1,2.37,2.37,[]
aten::reshape,forward,1,2.13,2.13,[]
aten::transpose,forward,1,8.72,8.72,[]
aten::softmax,forward,1,24.98,24.98,[]
aten::_softmax,forward,1,1529.02,1529.02,[]
aten::unsqueeze,forward,1,10.96,10.96,[]
aten::sub,forward,2,80.85,40.43,[]
aten::div,forward,1,26.68,26.68,[]
aten::to,forward,1,2.52,2.52,[]
aten::_to_copy,forward,1,10.18,10.18,[]
aten::empty_strided,forward,1,2.78,2.78,[]
aten::mul,forward,1,57.3,57.3,[]
aten::sigmoid,forward,1,1449.67,1449.67,[]
aten::conv_transpose2d,forward,1,9.59,9.59,[]
