config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
e9e80e79ce809963,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 3, 640, 640], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4915200}], 'kwargs': {}}",,"[""torch.float32""]",44236800,11468800,3.024,183,16.3993,4.601515,3.094091,50.740869,62.0,62.0,2400,2400,345,False,,
a2bead640a3bcb99,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([  1.7500,  -0.4363,   0.5703,   1.5762,  -4.7422,   1.3799, -11.1875,   3.8652,   1.3438,   1.4229,   1.7705,   1.6172,   1.5312,   2.5645,  -7.1250,   1.6768])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}",,"[""torch.float32""]",,13107200,3.022,3541,0.8474,5.852113,4.344689,3.681558,60.9,64.2,2400,2400,454,False,,
4db31c995deacda7,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}",,"[""torch.float32""]",,13107200,3.023,1147,2.6165,5.508321,4.000897,10.468283,63.7,66.4,2400,2400,423,False,,
1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}",,"[""torch.float32""]",,6553600,3.022,2261,1.3273,5.189875,3.682451,4.887555,64.2,65.3,2400,2400,455,False,,
b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}",,"[""torch.float32""]",,3276800,3.022,4918,0.61,6.062386,4.554962,2.778656,64.2,68.1,2400,2400,513,False,,
6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}",,"[""torch.float32""]",,3276800,3.022,4798,0.6253,5.983089,4.475665,2.798701,66.4,67.5,2400,2400,509,False,,
00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}",,"[""torch.float32""]",,1638400,3.022,8459,0.3547,5.451273,3.943849,1.398776,65.3,67.0,2400,2400,510,False,,
dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}",,"[""torch.float32""]",,1638400,3.022,9423,0.3184,5.868771,4.361347,1.388628,65.3,67.0,2400,2400,456,False,,
4ea83264d9ea3f5c,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}",,"[""torch.float32""]",,819200,3.022,15887,0.1888,5.598249,4.090825,0.772512,66.4,67.0,2400,2400,472,False,,
a44d02841d8ceadb,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 256, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}",,"[""torch.float32""]",,819200,3.022,15221,0.1971,5.342606,3.835182,0.75591,65.3,67.0,2400,2400,493,False,,
0da1c08a8fae32e5,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}",,"[""torch.float32""]",,409600,3.022,17242,0.174,5.182091,3.674667,0.639403,67.0,66.4,2400,2400,478,False,,
9dd2d8c74af91af8,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 102400}], 'kwargs': {}}",,"[""torch.float32""]",,204800,3.025,20924,0.1434,2.829283,1.321859,0.189528,65.3,61.5,2400,2400,757,False,,
65418290bafe418a,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 80, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 2048000}], 'kwargs': {}}",,"[""torch.float32""]",,4096000,3.025,3812,0.7871,5.747115,4.239691,3.336883,60.9,65.3,2400,2400,498,False,,
70499828149a886f,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 80, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 512000}], 'kwargs': {}}",,"[""torch.float32""]",,1024000,3.023,11865,0.2529,5.277224,3.7698,0.953324,65.3,65.3,2400,2400,522,False,,
4e53e2f3fa50e788,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 80, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 128000}], 'kwargs': {}}",,"[""torch.float32""]",,256000,3.023,17680,0.1697,2.814653,1.307229,0.221817,64.2,61.5,2400,2400,766,False,,
08d9785d759dac51,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}",,"[""torch.float32""]",,409600,3.023,17084,0.1756,5.077609,3.570185,0.626941,60.4,64.8,2400,2400,472,False,,
0bc24e1a5a995688,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 51200}], 'kwargs': {}}",,"[""torch.float32""]",,102400,3.023,33191,0.0904,2.771861,1.264437,0.114287,64.2,59.3,2400,2400,750,False,,
