t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
0.39714499143883586,50.5,2100,327680,0.09466522,0.05172429,0.1864026,0.265453,0.0044118,0.1854267,0.4128184,4.75969,0.0,0.0,0.0030525,0.013431,3.696993,3.317457,1.805615,1.108058,0.6032961,1.11172,0.802197,0.8888636,3.317762,3.310436,0.8011714,4.88832,4.92986,0.0
5072.038257989334,56.5,2400,327680,0.09564114,0.05367615,0.1824989,0.111256,0.0,0.1873786,0.3640219,6.03668,0.0,6.105e-05,0.003663,0.0130647,3.626468,3.317457,1.805126,1.10879,0.6014646,1.107691,0.8025633,0.9299625,3.317762,3.313183,0.8011714,4.84008,4.83472,0.0
10135.678788996302,54.3,2300,327680,0.09564114,0.05270022,0.1756674,0.00878337,0.0,0.2000657,0.3523108,1.59847,0.0,0.0,0.00360195,0.0141636,3.69792,3.320241,1.80415,1.110255,0.6073254,1.104761,0.8058601,0.9283507,3.317762,3.312268,0.8011714,4.99552,5.00088,0.0
15191.252105985768,59.3,2400,327680,0.1014967,0.05172429,0.1727396,0.01756674,0.0,0.1883545,0.3503589,3.34875,0.0,0.0,0.00311355,0.0131868,3.613476,3.317457,1.801708,1.115017,0.6003657,1.107691,0.8010981,0.928888,3.319594,3.310436,0.8011714,4.81596,4.80658,0.0
20247.68315599067,58.2,2400,327680,0.09466522,0.05367615,0.1727396,0.01659081,0.0004902,0.1990897,0.3640219,3.99171,0.0,0.0,0.00335775,0.0130647,3.635747,3.317457,1.803661,1.109523,0.6021972,1.107691,0.8025633,0.9280821,3.321425,3.315015,0.8005854,4.91914,4.90842,0.0
25303.56252400088,56.5,2400,327680,0.09271335,0.05562801,0.1776193,0.04001313,0.0,0.1873786,0.3513348,2.8576,0.0,0.0,0.0030525,0.0133089,3.673794,3.317457,1.80415,1.10586,0.6003657,1.104761,0.8025633,0.9286194,3.317762,3.312268,0.8014645,4.95264,4.94594,0.0
30363.475003978238,60.4,2300,327680,0.09661707,0.05270022,0.1756674,0.00683151,0.0,0.1873786,0.3405996,1.71456,0.0,6.105e-05,0.0031746,0.0135531,3.680289,3.319313,1.805126,1.112087,0.6032961,1.107691,0.8025633,0.9283507,3.318678,3.311352,0.8008783,4.98614,4.9781,0.0
35426.417271984974,62.0,2400,327680,0.1024727,0.05172429,0.1776193,0.0487965,0.0,0.1854267,0.3454792,5.51874,0.0,0.0,0.00311355,0.013431,3.619044,3.317457,1.80415,1.113552,0.6065928,1.107691,0.8032959,0.9291566,3.317762,3.310436,0.8005854,4.8441,4.8441,0.0
40484.71055898699,59.3,2400,327680,0.1024727,0.05270022,0.1737155,0.01171116,0.0,0.1990897,0.3445033,2.91118,0.0,6.105e-05,0.00311355,0.0133089,3.66637,3.319313,1.805126,1.113552,0.6036624,1.110988,0.8025633,0.928888,3.317762,3.311352,0.8008783,4.98614,4.98346,0.0
45626.71605698415,61.5,2400,327680,0.1044245,0.05172429,0.1785952,0.0195186,0.0,0.1981138,0.3445033,4.22389,0.0,0.0,0.00335775,0.013431,3.638531,3.317457,1.805615,1.107325,0.6051276,1.107691,0.802197,0.9307683,3.317762,3.311352,0.8008783,4.85348,4.81194,0.0
50683.723905996885,59.3,2400,327680,0.1083282,0.05367615,0.1805471,0.00780744,0.0,0.1864026,0.3445033,3.95599,0.0,6.105e-05,0.0034188,0.013431,3.651522,3.318385,1.805126,1.106592,0.6036624,1.104761,0.8025633,0.9278135,3.321425,3.313183,0.8014645,4.92316,4.9245,0.0
55751.87916198047,62.0,2400,327680,0.09466522,0.05367615,0.1834748,0.04977243,0.0,0.1971379,0.3601182,5.42051,0.0,0.0,0.0034188,0.0129426,3.619972,3.321169,1.803661,1.111354,0.6062265,1.107325,0.8040285,0.928888,3.316846,3.314099,0.8011714,4.85884,4.8441,0.0
60805.47270399984,58.2,2400,327680,0.09856894,0.04977243,0.1864026,0.0878337,0.0063726,0.1864026,0.3786608,4.2864,0.0,6.105e-05,0.0032967,0.0131868,3.619972,3.318385,1.80415,1.109523,0.604395,1.107325,0.8025633,0.9291566,3.315931,3.308605,0.8008783,4.75968,4.80122,0.0
65857.67010698328,61.5,2400,327680,0.09564114,0.05465208,0.1844508,0.03708534,0.0151962,0.1971379,0.376709,7.108279,0.0,0.0,0.00299145,0.0129426,3.617188,3.319313,1.801219,1.113918,0.6065928,1.110622,0.8029296,0.9291566,3.317762,3.310436,0.8011714,4.77978,4.8575,0.0
70915.87062599137,59.8,1600,327680,0.09368929,0.05367615,0.1707878,0.0097593,0.0,0.1864026,0.3396236,1.16983,0.0,0.0,0.0030525,0.0136752,3.689569,3.317457,1.804638,1.113552,0.6113547,1.107691,0.8036622,0.8182165,3.316846,3.312268,0.8005854,5.00624,4.99954,0.0
75986.92338899127,59.3,2400,327680,0.09856894,0.07026696,0.1824989,0.2332473,0.0078432,0.1864026,0.3610941,7.54585,0.0,0.0,0.00360195,0.0129426,3.601413,3.318385,1.803661,1.109523,0.6014646,1.110622,0.8010981,0.9304997,3.318678,3.313183,0.8008783,4.86554,4.88698,0.0
81038.05057398858,59.8,2400,327680,0.1005208,0.05757987,0.1903064,0.306442,0.0205884,0.1844508,0.4684464,3.75953,0.0,0.0,0.0032967,0.0131868,3.689569,3.318385,1.804638,1.110622,0.6029298,1.109156,0.802197,0.8633446,3.321425,3.311352,0.8005854,4.99686,4.9982,0.0
