path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
features,093051e290e2ba85,Sequential,"{""class"": ""Sequential""}","[[1, 3, 224, 224]]","[""torch.float32""]","[[1, 1280, 7, 7]]",features,forward,False,4007548,,852992,,15,117.9874,116.0244,5.4561
features.0,58fe9721f24b8f8d,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation"", ""out_channels"": 32}","[[1, 3, 224, 224]]","[""torch.float32""]","[[1, 32, 112, 112]]",features.0,forward,False,928,,2207744,,15,3.8681,3.7195,0.3552
features.0.0,4f8d8d64608b2282,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 3, 224, 224]]","[""torch.float32""]","[[1, 32, 112, 112]]",features.0.0,forward,True,864,10838016,2207744,4.9091,15,2.5321,2.3603,0.3915
features.0.1,c7220a84bfaa8483,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0.], requires_grad=True)"", ""class"": ""BatchNorm2d"", ""eps"": 1e-05}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 32, 112, 112]]",features.0.1,forward,True,64,,3211264,,15,0.606,0.5599,0.0851
features.0.2,05d1bacdc3c147ff,SiLU,"{""class"": ""SiLU""}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 32, 112, 112]]",features.0.2,forward,True,0,,3211264,,15,0.5084,0.508,0.0589
features.1,64481962325061c7,Sequential,"{""class"": ""Sequential""}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 16, 112, 112]]",features.1,forward,False,1448,,2408448,,15,8.4687,8.1952,0.7574
features.1.0,dbf9df28501a55fa,MBConv,"{""class"": ""MBConv"", ""out_channels"": 16}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 16, 112, 112]]",features.1.0,forward,False,1448,,2408448,,15,8.4364,8.1625,0.7567
features.1.0.block,64481962325061c7,Sequential,"{""class"": ""Sequential""}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 16, 112, 112]]",features.1.0.block,forward,False,1448,,2408448,,15,8.4035,8.1297,0.756
features.1.0.block.0,27ecdd1f6816ce0f,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation"", ""out_channels"": 32}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 32, 112, 112]]",features.1.0.block.0,forward,False,352,,3211264,,15,4.472,4.5283,0.3209
features.1.0.block.0.0,744fa8b62e80e73a,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 32, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 32, 112, 112]]",features.1.0.block.0.0,forward,True,288,3612672,3211264,1.125,15,3.438,3.5295,0.2964
features.1.0.block.0.1,c7220a84bfaa8483,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0.], requires_grad=True)"", ""class"": ""BatchNorm2d"", ""eps"": 1e-05}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 32, 112, 112]]",features.1.0.block.0.1,forward,True,64,,3211264,,15,0.3268,0.3051,0.0465
features.1.0.block.0.2,05d1bacdc3c147ff,SiLU,"{""class"": ""SiLU""}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 32, 112, 112]]",features.1.0.block.0.2,forward,True,0,,3211264,,15,0.5028,0.5027,0.0342
features.1.0.block.1,56bbf291c1ff315d,SqueezeExcitation,"{""class"": ""SqueezeExcitation""}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 32, 112, 112]]",features.1.0.block.1,forward,False,552,,3211264,,15,1.3768,1.6437,0.4071
features.1.0.block.1.avgpool,f6bf2d84746ba6db,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 32, 1, 1]]",features.1.0.block.1.avgpool,forward,True,0,,1605760,,15,0.3567,0.2433,0.2065
features.1.0.block.1.fc1,e3420e283c5066ac,Conv2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0.], requires_grad=True)"", ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 8, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 32, 1, 1]]","[""torch.float32""]","[[1, 8, 1, 1]]",features.1.0.block.1.fc1,forward,True,264,256,160,1.6,15,0.091,0.087,0.0111
features.1.0.block.1.fc2,0311649639e769f1,Conv2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0.], requires_grad=True)"", ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 8, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 8, 1, 1]]","[""torch.float32""]","[[1, 32, 1, 1]]",features.1.0.block.1.fc2,forward,True,288,256,160,1.6,15,0.0936,0.0685,0.0734
features.1.0.block.1.activation,316475918a723cf1,SiLU,"{""class"": ""SiLU""}","[[1, 8, 1, 1]]","[""torch.float32""]","[[1, 8, 1, 1]]",features.1.0.block.1.activation,forward,True,0,,64,,15,0.0225,0.018,0.0151
features.1.0.block.1.scale_activation,ae8d15f59a43e60a,Sigmoid,"{""class"": ""Sigmoid""}","[[1, 32, 1, 1]]","[""torch.float32""]","[[1, 32, 1, 1]]",features.1.0.block.1.scale_activation,forward,True,0,,256,,15,0.0317,0.0249,0.0157
features.1.0.block.2,d75b8b458e1f64a8,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation"", ""out_channels"": 16}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 16, 112, 112]]",features.1.0.block.2,forward,False,544,,2408448,,15,2.4013,2.1867,0.4852
features.1.0.block.2.0,16e9496a9d339e32,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 16, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 32, 112, 112]]","[""torch.float32""]","[[1, 16, 112, 112]]",features.1.0.block.2.0,forward,True,512,6422528,2408448,2.6667,15,2.1033,1.8752,0.4788
features.1.0.block.2.1,caab5d49ee296460,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""BatchNorm2d"", ""eps"": 1e-05}","[[1, 16, 112, 112]]","[""torch.float32""]","[[1, 16, 112, 112]]",features.1.0.block.2.1,forward,True,32,,1605632,,15,0.1656,0.1549,0.0255
