op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,37.42,37.42,[]
aten::empty,forward,458,1526.49,3.33,[]
aten::uniform_,forward,1,2079.89,2079.89,[]
aten::conv2d,forward,81,531.93,6.57,[]
aten::convolution,forward,81,953.04,11.77,[]
aten::_convolution,forward,81,1112.46,13.73,[]
aten::mkldnn_convolution,forward,41,55502.84,1353.73,[]
aten::as_strided_,forward,41,286.83,7.0,[]
aten::contiguous,forward,41,134.04,3.27,[]
aten::clone,forward,41,263.96,6.44,[]
aten::empty_like,forward,90,272.12,3.02,[]
aten::copy_,forward,91,13664.85,150.16,[]
aten::resize_,forward,81,250.22,3.09,[]
aten::batch_norm,forward,49,287.16,5.86,[]
aten::_batch_norm_impl_index,forward,49,774.57,15.81,[]
aten::native_batch_norm,forward,49,10172.8,207.61,[]
aten::silu_,forward,49,12497.06,255.04,[]
aten::adaptive_avg_pool2d,forward,17,104.22,6.13,[]
aten::mean,forward,17,316.05,18.59,[]
aten::sum,forward,17,1549.15,91.13,[]
aten::fill_,forward,17,72.61,4.27,[]
aten::div_,forward,17,348.79,20.52,[]
aten::to,forward,17,55.63,3.27,[]
aten::_to_copy,forward,17,161.49,9.5,[]
aten::empty_strided,forward,17,78.41,4.61,[]
aten::_nnpack_available,forward,40,36.13,0.9,[]
aten::thnn_conv2d,forward,40,242.46,6.06,[]
aten::_slow_conv2d_forward,forward,40,8088.53,202.21,[]
aten::view,forward,113,199.0,1.76,[]
aten::detach,forward,40,96.48,2.41,[]
aten::reshape,forward,32,69.37,2.17,[]
aten::sigmoid,forward,16,194.83,12.18,[]
aten::mul,forward,16,3350.82,209.43,[]
aten::add_,forward,9,301.53,33.5,[]
aten::flatten,forward,1,6.17,6.17,[]
aten::dropout_,forward,1,1.09,1.09,[]
aten::linear,forward,1,11.96,11.96,[]
aten::t,forward,1,6.93,6.93,[]
aten::transpose,forward,1,8.3,8.3,[]
aten::as_strided,forward,2,8.11,4.06,[]
aten::addmm,forward,1,3366.23,3366.23,[]
aten::expand,forward,1,4.72,4.72,[]
aten::resolve_conj,forward,2,0.95,0.47,[]
