config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
4f8d8d64608b2282,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 3, 224, 224], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 602112}], 'kwargs': {}}",,"[""torch.float32""]",10838016,2207744,0.629,209,2.8752,4.647909,3.780776,10.87065,54.3,54.9,2400,1900,85,False,,
c7220a84bfaa8483,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0.], requires_grad=True)"", ""class"": ""BatchNorm2d"", ""eps"": 1e-05}","{'args': [{'k': 'tensor', 'shape': [1, 32, 112, 112], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1605632}], 'kwargs': {}}",,"[""torch.float32""]",,3211264,0.626,2178,0.2758,5.399768,4.532635,1.249991,53.8,56.0,1900,2400,80,False,,
05d1bacdc3c147ff,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 112, 112], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1605632}], 'kwargs': {}}",,"[""torch.float32""]",,3211264,0.631,1024,0.5866,5.868323,5.00119,2.933478,54.9,56.5,1600,2100,99,False,,
744fa8b62e80e73a,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 32, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 112, 112], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1605632}], 'kwargs': {}}",,"[""torch.float32""]",3612672,3211264,0.628,205,2.9292,4.351779,3.484646,10.207243,57.1,56.5,2400,2300,85,False,,
f6bf2d84746ba6db,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 112, 112], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1605632}], 'kwargs': {}}",,"[""torch.float32""]",,1605760,0.626,6396,0.0939,4.724009,3.856876,0.362063,57.1,57.1,1600,2100,105,False,,
e3420e283c5066ac,Conv2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0.], requires_grad=True)"", ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 8, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 128}], 'kwargs': {}}",,"[""torch.float32""]",256,160,0.625,8595,0.0698,2.651472,1.784339,0.124571,57.1,54.3,1700,2400,138,False,,
0311649639e769f1,Conv2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0.], requires_grad=True)"", ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 8, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 8, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 32}], 'kwargs': {}}",,"[""torch.float32""]",256,160,0.624,8609,0.0697,2.623353,1.756221,0.122408,53.8,54.9,1700,2400,129,False,,
316475918a723cf1,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 8, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 32}], 'kwargs': {}}",,"[""torch.float32""]",,64,0.627,15417,0.0389,2.510945,1.643813,0.063975,54.3,53.2,2200,2300,130,False,,
ae8d15f59a43e60a,Sigmoid,"{""class"": ""Sigmoid""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 128}], 'kwargs': {}}",,"[""torch.float32""]",,256,0.655,15206,0.0395,2.49538,1.628247,0.064249,54.3,53.2,1600,1900,124,False,,
16e9496a9d339e32,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 16, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 112, 112], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1605632}], 'kwargs': {}}",,"[""torch.float32""]",6422528,2408448,0.628,334,1.8003,4.566964,3.699831,6.660914,54.3,56.0,2000,2300,88,False,,
caab5d49ee296460,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""BatchNorm2d"", ""eps"": 1e-05}","{'args': [{'k': 'tensor', 'shape': [1, 16, 112, 112], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 802816}], 'kwargs': {}}",,"[""torch.float32""]",,1605632,0.626,2790,0.2151,4.612896,3.745763,0.805667,54.9,57.1,1900,2400,103,False,,
2970aa1b42545dca,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [1, 1], ""out_channels"": 96, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 16, 112, 112], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 802816}], 'kwargs': {}}",,"[""torch.float32""]",19267584,5619712,0.635,70,8.7006,3.940822,3.073689,26.7429,55.4,56.5,2400,2400,76,False,,
d95d4890038f6fc3,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""BatchNorm2d"", ""eps"": 1e-05}","{'args': [{'k': 'tensor', 'shape': [1, 96, 112, 112], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4816896}], 'kwargs': {}}",,"[""torch.float32""]",,9633792,0.628,374,1.608,4.595602,3.72847,5.995279,56.0,57.1,2400,2400,80,False,,
a6365cb3dc70bae7,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 96, 112, 112], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4816896}], 'kwargs': {}}",,"[""torch.float32""]",,9633792,0.625,301,1.9941,5.365013,4.497881,8.969421,57.1,58.7,1800,2300,85,False,,
