t_ms,phase,window_id,I_A,V_V,P_W
4.5590179797727615,warmup,1,1.58061,0.9283507,1.467360399927
11.926381994271651,warmup,1,1.33057,0.8891322,1.1830526313540002
38.14568297821097,warmup,1,1.33057,0.888595,1.18233784915
46.53600198798813,warmup,1,2.25036,0.8888636,2.000263090896
79.92579898564145,warmup,1,3.22373,0.8638819,2.7849219974870003
85.57619698694907,warmup,1,7.29581,0.9280821,6.771110666001
90.03119697445072,warmup,1,4.70611,0.9294252,4.3739772279719995
95.40978199220262,warmup,1,4.50965,0.9294252,4.19138235318
101.07788298046216,warmup,1,3.77739,0.9184118,3.469199549202
105.66860399558209,warmup,1,4.59895,0.918949,4.22620050355
110.34637998091057,warmup,1,3.61665,0.9192177,3.324488694705
114.8478239774704,warmup,1,4.20603,0.9194863,3.8673869623890003
119.35726797673851,warmup,1,4.70611,0.9197549,4.328467732439
127.08149998798035,warmup,1,2.83081,0.9294252,2.631026150412
131.8670529872179,warmup,1,5.50088,0.9291566,5.111178957808001
136.65577297797427,warmup,1,4.89364,0.9291566,4.5469579040240005
140.9540519816801,warmup,1,4.13459,0.9286194,3.839460485046
145.2136089792475,warmup,1,4.34891,0.9280821,4.036145525511
152.38210497773252,warmup,1,4.72397,0.9229784,4.360122272248
157.0787139935419,warmup,1,4.48286,0.9194863,4.1219283548179995
163.54912298265845,warmup,1,3.56307,0.9304997,3.3154355660790005
170.38791798404418,warmup,1,2.66114,0.918949,2.44545194186
175.25578499771655,warmup,1,2.67007,0.9181431,2.4515063470169998
183.8167509995401,warmup,1,2.52719,0.9022946,2.280269890174
192.18699698103592,warmup,1,2.52719,0.9280821,2.345439802299
201.31845798459835,warmup,1,2.59863,0.9184118,2.386612455834
208.7235079961829,warmup,1,2.81295,0.9294252,2.61442661634
213.17848897888325,warmup,1,5.74199,0.928888,5.33366560712
219.3952889938373,warmup,1,9.001439,0.9192177,8.2742820542703
223.69958698982373,warmup,1,4.76862,0.9186804,4.380837729048
228.6358609853778,warmup,1,3.572,0.9192177,3.2834456244
233.84246599744074,warmup,1,3.05406,0.9286194,2.836059364764
239.35067898128182,warmup,1,4.87578,0.9286194,4.527743898132
244.72522697760724,warmup,1,1.94674,0.7225879,1.406690768446
253.42437697690912,warmup,1,4.60788,0.9299625,4.2851556045
263.3569239987992,warmup,1,4.67932,0.9202922,4.306341697304
275.38349098176695,warmup,1,4.49179,0.9326486,4.1892616549940005
283.74388499651104,warmup,1,7.572639,0.9296938,7.0402355279382
288.31132798222825,warmup,1,4.20603,0.9299625,3.911450173875
297.480862995144,warmup,1,4.43821,0.9291566,4.123792113686
307.53594599082135,warmup,1,4.80434,0.9259331,4.448497429653999
314.57773997681215,warmup,1,5.15261,0.928888,4.78619759768
322.891614981927,warmup,1,4.76862,0.9221726,4.397490703812
330.5382370017469,warmup,1,5.34014,0.9286194,4.958957602716
335.781064000912,warmup,1,6.47425,0.9291566,6.01559211755
341.42283198889345,warmup,1,4.74183,0.9294252,4.407176296116
347.39874498336576,warmup,1,2.03604,0.7223192,1.470670783968
354.5175009930972,warmup,1,7.04577,0.9294252,6.5485161914039995
358.9388349791989,warmup,1,5.01866,0.9294252,4.664469074232
363.26705798273906,warmup,1,5.29549,0.9291566,4.920339483734
368.11024000053294,warmup,1,5.0901,0.9296938,4.7322344113799995
376.2744499836117,warmup,1,4.39356,0.9168001,4.028016247356
384.8827669862658,warmup,1,4.32212,0.9291566,4.015926323992
389.7133379941806,warmup,1,4.41142,0.9294252,4.100084915784
396.2620429811068,warmup,1,3.35768,0.9280821,3.1162027055280004
407.6726709899958,warmup,1,7.68873,0.9280821,7.135772684732999
412.1136519825086,warmup,1,4.77755,0.931037,4.44807581935
421.49568497552536,warmup,1,4.42035,0.9304997,4.1131343488950005
429.1255669959355,warmup,1,5.43837,0.9296938,5.056018871106
433.8162869971711,warmup,1,4.88471,0.928888,4.53734850248
439.55664697568864,warmup,1,5.50088,0.9280821,5.105268262248001
446.50971898227,warmup,1,5.02759,0.9296938,4.674119251942
454.43344899103977,warmup,1,6.97433,0.918949,6.40905357917
459.5931469812058,warmup,1,4.67039,0.9200235,4.296868554165
467.12989898514934,warmup,1,5.18833,0.9283507,4.816589787331
471.6011579730548,warmup,1,5.88487,0.9275449,5.458481155663001
477.18994499882683,warmup,1,5.358,0.9291566,4.9784210628
481.8140739807859,warmup,1,4.92043,0.9291566,4.571850009337999
486.6517929767724,warmup,1,4.9115,0.9294252,4.5648718698
491.0550889908336,warmup,1,4.88471,0.9294252,4.539972568692
495.82232799730264,warmup,1,5.04545,0.9280821,4.6825918314449995
503.12824797583744,warmup,1,8.17095,0.9259331,7.565753063444999
507.65661799232475,warmup,1,5.38479,0.928888,5.00186681352
516.1451959866099,warmup,1,4.34891,0.9291566,4.040818429306
527.1492159808986,warmup,1,4.12566,0.9299625,3.83670908775
531.9630649755709,warmup,1,4.99187,0.9291566,4.638228956841999
537.076040985994,warmup,1,4.07208,0.9291566,3.783600007728
542.5865129800513,warmup,1,4.59002,0.9294252,4.266080256504
550.2410419867374,warmup,1,5.31335,0.9294252,4.9383613864199996
554.8653739970177,warmup,1,4.96508,0.9296938,4.616004092504
560.5046609998681,warmup,1,6.06347,0.9283507,5.629026618928999
565.3997309855185,warmup,1,5.67055,0.9186804,5.20942314222
570.3596719831694,warmup,1,4.75969,0.9184118,4.371355460342
575.5477209750097,warmup,1,3.01834,0.9192177,2.7745115526179998
582.4936819844879,warmup,1,7.02791,0.928888,6.52814126408
591.775234992383,warmup,1,5.32228,0.9377524,4.990980843472
597.4268169957213,warmup,1,5.27763,0.9302311,4.9094155602930005
603.8034679950215,warmup,1,7.01005,0.9194863,6.4456449373149995
608.2195059861988,warmup,1,5.01866,0.9194863,4.614589114358
615.1233189739287,warmup,1,4.8222,0.918949,4.4313558678
619.7041139821522,warmup,1,4.57216,0.9299625,4.251937344
625.0124769867398,warmup,1,4.36677,0.928888,4.05624025176
629.6456049894914,warmup,1,5.75092,0.9296938,5.3465946682959995
638.2503299973905,warmup,1,4.80434,0.9270077,4.453660173418
644.6282959950622,warmup,1,5.65269,0.9194863,5.197571013147
651.284814986866,warmup,1,4.63467,0.9294252,4.3075790916839996
657.0916369964834,warmup,1,4.12566,0.9280821,3.828951196686
666.2191349896602,warmup,1,4.94722,0.9304997,4.6033867258339995
672.8523389901966,warmup,1,8.287039,0.9256646,7.6710186411193995
677.3112469818443,warmup,1,5.90273,0.9304997,5.492488494181
688.5959859937429,warmup,1,3.00048,0.9184118,2.755676237664
695.9377589810174,warmup,1,4.99187,0.9291566,4.638228956841999
704.4890580000356,warmup,1,6.29565,0.9286194,5.84626272561
711.1628729908261,warmup,1,3.85776,0.9186804,3.5440484999039996
719.533858995419,warmup,1,4.69718,0.9286194,4.361892473292
726.4984869980253,warmup,1,2.39324,0.9294252,2.224337565648
730.730858980678,warmup,1,4.90257,0.9315742,4.567107725694
737.0631019875873,warmup,1,9.31399,0.9272762,8.636641254038
741.47543599247,warmup,1,8.733539,0.9296938,8.1195170603582
749.3826479767449,warmup,1,4.89364,0.928888,4.545643472320001
753.8525189738721,warmup,1,1.50024,0.9283507,1.392748854168
768.0908079782967,warmup,1,1.47345,0.9286194,1.36827425493
775.8034849830437,idle,2,1.32164,0.9286194,1.2273005438159998
782.4856879888102,idle,2,1.27699,0.9294252,1.186866686148
790.2988269925117,idle,2,0.9108599,0.7223192,0.65793159428008
797.3877679905854,idle,2,1.14304,0.8329906,0.9521415754240001
804.3917839822825,idle,2,0.90193,0.723125,0.65220813125
808.5177129833028,idle,2,0.8929999,0.7223192,0.64503097336808
812.6453269796912,idle,2,0.9108599,0.7220506,0.65768693731094
819.9292289791629,idle,2,1.08053,0.8184852,0.884397813156
827.0116889907513,idle,2,0.90193,0.7225879,0.6517237046469999
831.1885989969596,idle,2,0.8929999,0.7225879,0.6452709224412099
835.299304977525,idle,2,0.87514,0.7223192,0.6321304246880001
839.4593819975853,idle,2,0.8929999,0.7228564,0.6455106929143599
846.803487977013,idle,2,1.06267,0.8184852,0.869779667484
850.9846749948338,idle,2,1.06267,0.8184852,0.869779667484
855.1295299839694,idle,2,1.05374,0.8184852,0.8624705946479999
862.575819977792,idle,2,0.8929999,0.7223192,0.64503097336808
866.6587299958337,idle,2,0.90193,0.7228564,0.6519658728519999
870.7388259936124,idle,2,0.88407,0.7225879,0.638818284753
874.805754981935,idle,2,0.88407,0.7228564,0.639055657548
878.892813983839,idle,2,0.88407,0.7223192,0.638580735144
882.9984089825302,idle,2,0.87514,0.7223192,0.6321304246880001
890.3666439873632,idle,2,1.06267,0.8182165,0.869494128055
894.5160539878998,idle,2,1.05374,0.8184852,0.8624705946479999
898.6970009864308,idle,2,1.04481,0.8184852,0.855161521812
902.8430589823984,idle,2,1.05374,0.8187538,0.8627536292119999
909.6997799933888,idle,2,0.88407,0.7225879,0.638818284753
913.7807090010028,idle,2,0.8929999,0.7225879,0.6452709224412099
917.8830829914659,idle,2,0.8662101,0.7223192,0.62568018646392
921.9847339845728,idle,2,0.87514,0.7223192,0.6321304246880001
926.0627740004566,idle,2,0.8929999,0.7228564,0.6455106929143599
930.1278329803608,idle,2,0.8662101,0.7223192,0.62568018646392
934.2042619828135,idle,2,0.88407,0.7225879,0.638818284753
938.2924319943413,idle,2,0.8929999,0.7225879,0.6452709224412099
942.365750001045,idle,2,0.8929999,0.7225879,0.6452709224412099
946.4277719962411,idle,2,0.88407,0.7228564,0.639055657548
950.5045529804192,idle,2,0.8929999,0.7225879,0.6452709224412099
954.5803149812855,idle,2,0.8929999,0.7225879,0.6452709224412099
958.6294109758455,idle,2,0.8662101,0.7225879,0.62591293711779
962.6825439918321,idle,2,0.88407,0.7228564,0.639055657548
966.7419549950864,idle,2,0.8662101,0.7225879,0.62591293711779
970.8392729808111,idle,2,0.87514,0.7228564,0.632600549896
974.9496639997233,idle,2,0.8662101,0.7223192,0.62568018646392
981.2500569969416,idle,2,1.03588,0.8184852,0.847852448976
985.9760729887057,idle,2,1.04481,0.8187538,0.855442157778
993.0117549956776,idle,2,0.87514,0.7223192,0.6321304246880001
997.1313689893577,idle,2,1.11625,0.7220506,0.8059889822499999
1001.2165949738119,idle,2,0.88407,0.7223192,0.638580735144
1008.5159229929559,idle,2,1.04481,0.8182165,0.854880781365
1015.5951599881519,idle,2,0.88407,0.7225879,0.638818284753
1019.6709599986207,idle,2,0.88407,0.7223192,0.638580735144
1023.7577039806638,idle,2,0.87514,0.7223192,0.6321304246880001
1027.8425589785911,idle,2,0.87514,0.7223192,0.6321304246880001
1035.125831986079,idle,2,1.04481,0.8179479,0.854600145399
1039.3176859943196,idle,2,1.04481,0.8187538,0.855442157778
1043.513502983842,idle,2,1.04481,0.8187538,0.855442157778
1047.690078994492,idle,2,1.04481,0.8184852,0.855161521812
1051.8613409949467,idle,2,1.03588,0.8179479,0.8472958706519998
1058.9187819859944,idle,2,0.87514,0.7223192,0.6321304246880001
1063.0095439846627,idle,2,0.88407,0.7223192,0.638580735144
1067.1309549943544,idle,2,0.8662101,0.7225879,0.62591293711779
1071.2596979865339,idle,2,0.87514,0.7228564,0.632600549896
1078.621155989822,idle,2,1.04481,0.8182165,0.854880781365
1082.7673619787674,idle,2,1.03588,0.8182165,0.84757410802
