path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
tok,c3e6e3b38b352ca5,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","[[1, 64]]","[""torch.int64""]","[[1, 64, 64]]",tok,prefill,True,16384,,16896,,3,0.3465,0.3465,0.0
tok,d908ade19db0c477,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","[[1, 1]]","[""torch.int64""]","[[1, 1, 64]]",tok,decode,True,16384,,264,,3,0.1197,0.1197,0.0
blocks.0,e3441241ac09eda8,_Block,"{""class"": ""_Block""}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",blocks.0,prefill,False,16896,,32768,,3,1.4369,1.4369,0.0
blocks.0,ce5c7624c0bb6cb1,_Block,"{""class"": ""_Block""}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",blocks.0,decode,False,16896,,512,,3,0.8968,0.8968,0.0
blocks.0.norm1,084b234ef507e9fb,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",blocks.0.norm1,prefill,True,128,,32768,,3,0.0738,0.0738,0.0
blocks.0.norm1,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",blocks.0.norm1,decode,True,128,,512,,3,0.0521,0.0521,0.0
blocks.0.attn,346610358dbd52bb,MultiheadAttention,"{""batch_first"": true, ""class"": ""MultiheadAttention"", ""dropout"": 0.0, ""embed_dim"": 64, ""num_heads"": 4}","[[1, 64, 64], [1, 64, 64], [1, 64, 64]]","[""torch.float32""]","[[1, 64, 64], [1, 64, 64]]",blocks.0.attn,prefill,False,16640,,81920,,3,1.1419,1.1419,0.0
blocks.0.attn,2320d793679beae0,MultiheadAttention,"{""batch_first"": true, ""class"": ""MultiheadAttention"", ""dropout"": 0.0, ""embed_dim"": 64, ""num_heads"": 4}","[[1, 1, 64], [1, 1, 64], [1, 1, 64]]","[""torch.float32""]","[[1, 1, 64], [1, 1, 1]]",blocks.0.attn,decode,False,16640,,1028,,3,0.6561,0.6561,0.0
blocks.0.norm2,084b234ef507e9fb,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",blocks.0.norm2,prefill,True,128,,32768,,3,0.0394,0.0394,0.0
blocks.0.norm2,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",blocks.0.norm2,decode,True,128,,512,,3,0.0305,0.0305,0.0
blocks.1,e3441241ac09eda8,_Block,"{""class"": ""_Block""}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",blocks.1,prefill,False,16896,,32768,,3,1.1435,1.1435,0.0
blocks.1,ce5c7624c0bb6cb1,_Block,"{""class"": ""_Block""}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",blocks.1,decode,False,16896,,512,,3,0.6206,0.6206,0.0
blocks.1.norm1,084b234ef507e9fb,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",blocks.1.norm1,prefill,True,128,,32768,,3,0.0247,0.0247,0.0
blocks.1.norm1,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",blocks.1.norm1,decode,True,128,,512,,3,0.019,0.019,0.0
blocks.1.attn,346610358dbd52bb,MultiheadAttention,"{""batch_first"": true, ""class"": ""MultiheadAttention"", ""dropout"": 0.0, ""embed_dim"": 64, ""num_heads"": 4}","[[1, 64, 64], [1, 64, 64], [1, 64, 64]]","[""torch.float32""]","[[1, 64, 64], [1, 64, 64]]",blocks.1.attn,prefill,False,16640,,81920,,3,0.9306,0.9306,0.0
blocks.1.attn,2320d793679beae0,MultiheadAttention,"{""batch_first"": true, ""class"": ""MultiheadAttention"", ""dropout"": 0.0, ""embed_dim"": 64, ""num_heads"": 4}","[[1, 1, 64], [1, 1, 64], [1, 1, 64]]","[""torch.float32""]","[[1, 1, 64], [1, 1, 1]]",blocks.1.attn,decode,False,16640,,1028,,3,0.4503,0.4503,0.0
