op,mode,count,self_total_us,self_mean_us,input_shapes
aten::randint,prefill,1,27.87,27.87,[]
aten::empty,prefill,34,72.89,2.14,[]
aten::random_,prefill,1,17.93,17.93,[]
aten::embedding,prefill,1,15.52,15.52,[]
aten::reshape,prefill,3,22.52,7.51,[]
aten::view,prefill,28,75.81,2.71,[]
aten::index_select,prefill,1,30.8,30.8,[]
aten::select,prefill,56,179.26,3.2,[]
aten::as_strided,prefill,89,114.13,1.28,[]
aten::mul,prefill,3,50.02,16.67,[]
aten::to,prefill,5,10.82,2.16,[]
aten::_to_copy,prefill,5,30.91,6.18,[]
aten::empty_strided,prefill,5,16.31,3.26,[]
aten::copy_,prefill,30,183.13,6.1,[]
aten::slice,prefill,1,11.81,11.81,[]
aten::add,prefill,5,47.46,9.49,[]
aten::layer_norm,prefill,4,22.68,5.67,[]
aten::native_layer_norm,prefill,4,119.59,29.9,[]
aten::transpose,prefill,21,108.16,5.15,[]
aten::linear,prefill,5,56.33,11.27,[]
aten::t,prefill,5,17.96,3.59,[]
aten::addmm,prefill,5,719.29,143.86,[]
aten::expand,prefill,5,17.76,3.55,[]
aten::resolve_conj,prefill,58,14.19,0.24,[]
aten::unflatten,prefill,2,9.41,4.7,[]
aten::unsqueeze,prefill,2,13.59,6.8,[]
aten::squeeze,prefill,2,15.07,7.54,[]
aten::contiguous,prefill,18,25.28,1.4,[]
aten::clone,prefill,20,75.39,3.77,[]
aten::empty_like,prefill,20,44.74,2.24,[]
aten::bmm,prefill,4,2803.75,700.94,[]
aten::softmax,prefill,2,16.7,8.35,[]
aten::_softmax,prefill,2,507.26,253.63,[]
aten::_unsafe_view,prefill,2,6.43,3.21,[]
aten::mean,prefill,2,25.93,12.96,[]
aten::sum,prefill,2,53.63,26.81,[]
aten::fill_,prefill,2,7.85,3.93,[]
aten::div_,prefill,2,36.03,18.02,[]
aten::randint,decode,1,24.13,24.13,[]
aten::empty,decode,14,26.84,1.92,[]
aten::random_,decode,1,15.57,15.57,[]
aten::embedding,decode,1,18.07,18.07,[]
aten::reshape,decode,3,9.31,3.1,[]
aten::view,decode,30,75.41,2.51,[]
aten::index_select,decode,1,22.89,22.89,[]
aten::select,decode,8,41.46,5.18,[]
aten::as_strided,decode,41,52.72,1.29,[]
aten::mul,decode,3,41.44,13.81,[]
aten::to,decode,5,8.71,1.74,[]
aten::_to_copy,decode,5,29.8,5.96,[]
aten::empty_strided,decode,5,12.33,2.47,[]
aten::copy_,decode,10,36.09,3.61,[]
aten::slice,decode,1,12.11,12.11,[]
aten::add,decode,5,29.06,5.81,[]
aten::layer_norm,decode,4,14.65,3.66,[]
aten::native_layer_norm,decode,4,60.18,15.05,[]
aten::transpose,decode,21,98.02,4.67,[]
aten::linear,decode,5,49.41,9.88,[]
aten::t,decode,5,14.93,2.99,[]
aten::addmm,decode,5,673.49,134.7,[]
aten::expand,decode,5,17.65,3.53,[]
aten::resolve_conj,decode,18,5.11,0.28,[]
aten::unflatten,decode,2,9.52,4.76,[]
aten::unsqueeze,decode,2,13.07,6.54,[]
aten::squeeze,decode,2,13.24,6.62,[]
aten::bmm,decode,4,29.94,7.49,[]
aten::softmax,decode,2,8.81,4.41,[]
aten::_softmax,decode,2,22.22,11.11,[]
aten::mean,decode,2,21.67,10.83,[]
aten::sum,decode,2,29.98,14.99,[]
aten::fill_,decode,2,2.33,1.17,[]
aten::div_,decode,2,22.98,11.49,[]
