op,mode,count,self_total_us,self_mean_us,input_shapes
aten::randint,prefill,1,28.28,28.28,[]
aten::empty,prefill,34,71.76,2.11,[]
aten::random_,prefill,1,18.87,18.87,[]
aten::embedding,prefill,1,16.66,16.66,[]
aten::reshape,prefill,3,22.43,7.48,[]
aten::view,prefill,28,76.5,2.73,[]
aten::index_select,prefill,1,33.76,33.76,[]
aten::select,prefill,56,174.9,3.12,[]
aten::as_strided,prefill,89,112.66,1.27,[]
aten::mul,prefill,3,57.85,19.28,[]
aten::to,prefill,5,10.65,2.13,[]
aten::_to_copy,prefill,5,32.65,6.53,[]
aten::empty_strided,prefill,5,19.44,3.89,[]
aten::copy_,prefill,30,152.91,5.1,[]
aten::slice,prefill,1,14.81,14.81,[]
aten::add,prefill,5,48.81,9.76,[]
aten::layer_norm,prefill,4,22.13,5.53,[]
aten::native_layer_norm,prefill,4,626.35,156.59,[]
aten::transpose,prefill,21,105.0,5.0,[]
aten::linear,prefill,5,55.2,11.04,[]
aten::t,prefill,5,19.46,3.89,[]
aten::addmm,prefill,5,741.66,148.33,[]
aten::expand,prefill,5,18.22,3.64,[]
aten::resolve_conj,prefill,58,11.98,0.21,[]
aten::unflatten,prefill,2,10.11,5.06,[]
aten::unsqueeze,prefill,2,13.58,6.79,[]
aten::squeeze,prefill,2,13.52,6.76,[]
aten::contiguous,prefill,18,21.08,1.17,[]
aten::clone,prefill,20,62.72,3.14,[]
aten::empty_like,prefill,20,39.33,1.97,[]
aten::bmm,prefill,4,1959.36,489.84,[]
aten::softmax,prefill,2,15.8,7.9,[]
aten::_softmax,prefill,2,57.37,28.68,[]
aten::_unsafe_view,prefill,2,5.98,2.99,[]
aten::mean,prefill,2,25.96,12.98,[]
aten::sum,prefill,2,55.37,27.68,[]
aten::fill_,prefill,2,8.3,4.15,[]
aten::div_,prefill,2,34.65,17.32,[]
aten::randint,decode,1,29.09,29.09,[]
aten::empty,decode,14,36.96,2.64,[]
aten::random_,decode,1,65.33,65.33,[]
aten::embedding,decode,1,20.39,20.39,[]
aten::reshape,decode,3,11.63,3.88,[]
aten::view,decode,30,103.55,3.45,[]
aten::index_select,decode,1,29.15,29.15,[]
aten::select,decode,8,50.22,6.28,[]
aten::as_strided,decode,41,69.3,1.69,[]
aten::mul,decode,3,66.98,22.33,[]
aten::to,decode,5,12.58,2.52,[]
aten::_to_copy,decode,5,45.04,9.01,[]
aten::empty_strided,decode,5,20.53,4.11,[]
aten::copy_,decode,10,61.7,6.17,[]
aten::slice,decode,1,14.39,14.39,[]
aten::add,decode,5,46.55,9.31,[]
aten::layer_norm,decode,4,20.13,5.03,[]
aten::native_layer_norm,decode,4,81.22,20.31,[]
aten::transpose,decode,21,129.61,6.17,[]
aten::linear,decode,5,75.58,15.12,[]
aten::t,decode,5,21.35,4.27,[]
aten::addmm,decode,5,2400.55,480.11,[]
aten::expand,decode,5,25.21,5.04,[]
aten::resolve_conj,decode,18,6.87,0.38,[]
aten::unflatten,decode,2,15.32,7.66,[]
aten::unsqueeze,decode,2,18.02,9.01,[]
aten::squeeze,decode,2,17.07,8.54,[]
aten::bmm,decode,4,42.09,10.52,[]
aten::softmax,decode,2,11.04,5.52,[]
aten::_softmax,decode,2,37.32,18.66,[]
aten::mean,decode,2,62.28,31.14,[]
aten::sum,decode,2,43.46,21.73,[]
aten::fill_,decode,2,3.11,1.56,[]
aten::div_,decode,2,53.31,26.66,[]
