path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
tok,c3e6e3b38b352ca5,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","[[1, 64]]","[""torch.int64""]","[[1, 64, 64]]",tok,prefill,True,16384,,16896,,28,0.0492,0.0459,0.0165
tok,d908ade19db0c477,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","[[1, 1]]","[""torch.int64""]","[[1, 1, 64]]",tok,decode,True,16384,,264,,28,0.0432,0.0397,0.0151
blocks.0,e3441241ac09eda8,_Block,"{""class"": ""_Block""}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",blocks.0,prefill,False,16896,,32768,,28,2.0427,1.9106,1.1323
blocks.0,ce5c7624c0bb6cb1,_Block,"{""class"": ""_Block""}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",blocks.0,decode,False,16896,,512,,28,1.5526,0.8663,1.1684
blocks.0.norm1,2c9590523055fe71,LayerNorm,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""normalized_shape"": [64]}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",blocks.0.norm1,prefill,True,128,,32768,,28,0.149,0.0452,0.2315
blocks.0.norm1,63a0f7989a7e8866,LayerNorm,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",blocks.0.norm1,decode,True,128,,512,,28,0.0313,0.0288,0.0115
blocks.0.attn,1f13e0bc34c7ca19,MultiheadAttention,"{""batch_first"": true, ""class"": ""MultiheadAttention"", ""dropout"": 0.0, ""embed_dim"": 64, ""head_dim"": 16, ""num_heads"": 4}","[[1, 64, 64], [1, 64, 64], [1, 64, 64]]","[""torch.float32""]","[[1, 64, 64], [1, 64, 64]]",blocks.0.attn,prefill,False,16640,,81920,,28,1.5868,1.0951,1.0991
blocks.0.attn,197495a8b054315a,MultiheadAttention,"{""batch_first"": true, ""class"": ""MultiheadAttention"", ""dropout"": 0.0, ""embed_dim"": 64, ""head_dim"": 16, ""num_heads"": 4}","[[1, 1, 64], [1, 1, 64], [1, 1, 64]]","[""torch.float32""]","[[1, 1, 64], [1, 1, 1]]",blocks.0.attn,decode,False,16640,,1028,,28,1.3465,0.5473,1.1587
blocks.0.norm2,2c9590523055fe71,LayerNorm,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""normalized_shape"": [64]}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",blocks.0.norm2,prefill,True,128,,32768,,28,0.1208,0.0396,0.2243
blocks.0.norm2,63a0f7989a7e8866,LayerNorm,"{""bias"": ""Parameter containing:\ntensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,\n        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.],\n       requires_grad=True)"", ""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",blocks.0.norm2,decode,True,128,,512,,28,0.0269,0.0261,0.0044
