op,mode,count,self_total_us,self_mean_us,input_shapes
aten::randint,prefill,1,25.46,25.46,[]
aten::empty,prefill,34,90.6,2.66,[]
aten::random_,prefill,1,17.22,17.22,[]
aten::embedding,prefill,1,16.81,16.81,[]
aten::reshape,prefill,3,23.33,7.78,[]
aten::view,prefill,28,92.24,3.29,[]
aten::index_select,prefill,1,34.04,34.04,[]
aten::select,prefill,56,196.07,3.5,[]
aten::as_strided,prefill,89,121.24,1.36,[]
aten::mul,prefill,3,77.79,25.93,[]
aten::to,prefill,5,10.98,2.2,[]
aten::_to_copy,prefill,5,36.28,7.26,[]
aten::empty_strided,prefill,5,20.0,4.0,[]
aten::copy_,prefill,30,189.33,6.31,[]
aten::slice,prefill,1,13.94,13.94,[]
aten::add,prefill,5,55.52,11.1,[]
aten::layer_norm,prefill,4,23.15,5.79,[]
aten::native_layer_norm,prefill,4,735.8,183.95,[]
aten::transpose,prefill,21,117.32,5.59,[]
aten::linear,prefill,5,68.46,13.69,[]
aten::t,prefill,5,19.82,3.96,[]
aten::addmm,prefill,5,2925.57,585.11,[]
aten::expand,prefill,5,19.96,3.99,[]
aten::resolve_conj,prefill,58,14.96,0.26,[]
aten::unflatten,prefill,2,10.92,5.46,[]
aten::unsqueeze,prefill,2,14.74,7.37,[]
aten::squeeze,prefill,2,14.44,7.22,[]
aten::contiguous,prefill,18,25.52,1.42,[]
aten::clone,prefill,20,71.07,3.55,[]
aten::empty_like,prefill,20,43.85,2.19,[]
aten::bmm,prefill,4,4599.06,1149.77,[]
aten::softmax,prefill,2,16.46,8.23,[]
aten::_softmax,prefill,2,537.92,268.96,[]
aten::_unsafe_view,prefill,2,6.76,3.38,[]
aten::mean,prefill,2,26.98,13.49,[]
aten::sum,prefill,2,61.31,30.66,[]
aten::fill_,prefill,2,8.67,4.33,[]
aten::div_,prefill,2,36.57,18.29,[]
aten::randint,decode,1,19.63,19.63,[]
aten::empty,decode,14,23.98,1.71,[]
aten::random_,decode,1,10.89,10.89,[]
aten::embedding,decode,1,12.48,12.48,[]
aten::reshape,decode,3,9.61,3.2,[]
aten::view,decode,30,75.74,2.52,[]
aten::index_select,decode,1,16.35,16.35,[]
aten::select,decode,8,37.55,4.69,[]
aten::as_strided,decode,41,66.59,1.62,[]
aten::mul,decode,3,40.91,13.64,[]
aten::to,decode,5,9.71,1.94,[]
aten::_to_copy,decode,5,34.28,6.86,[]
aten::empty_strided,decode,5,16.69,3.34,[]
aten::copy_,decode,10,45.54,4.55,[]
aten::slice,decode,1,9.8,9.8,[]
aten::add,decode,5,31.65,6.33,[]
aten::layer_norm,decode,4,15.59,3.9,[]
aten::native_layer_norm,decode,4,59.78,14.94,[]
aten::transpose,decode,21,110.54,5.26,[]
aten::linear,decode,5,51.74,10.35,[]
aten::t,decode,5,17.54,3.51,[]
aten::addmm,decode,5,3568.81,713.76,[]
aten::expand,decode,5,18.24,3.65,[]
aten::resolve_conj,decode,18,5.76,0.32,[]
aten::unflatten,decode,2,9.04,4.52,[]
aten::unsqueeze,decode,2,12.83,6.42,[]
aten::squeeze,decode,2,13.02,6.51,[]
aten::bmm,decode,4,38.02,9.5,[]
aten::softmax,decode,2,12.82,6.41,[]
aten::_softmax,decode,2,626.31,313.15,[]
aten::mean,decode,2,25.85,12.93,[]
aten::sum,decode,2,37.41,18.7,[]
aten::fill_,decode,2,2.61,1.31,[]
aten::div_,decode,2,29.44,14.72,[]
