t_ms,temp_C,arm_MHz,throttle_bits
0.3226450062356889,50.5,2400,327680
5063.024971997947,52.1,2400,327680
10112.073379001231,58.2,2400,327680
15167.007996002212,62.0,2400,327680
20223.178442000062,61.5,2400,327680
25283.561668999027,63.1,2400,327680
30338.28321499459,65.3,2400,327680
35392.57638300478,66.4,2400,327680
40452.09613800398,67.0,2400,327680
45510.56877900555,66.4,2400,327680
50564.251304997015,66.4,2400,327680
55617.341268996825,66.4,2400,327680
60666.169723001076,68.1,2400,327680
65720.64648200467,62.0,2400,327680
70970.27106699534,67.5,2400,327680
76030.20397100772,60.9,2400,327680
81078.08455200575,66.4,2400,327680
86133.38377099717,63.7,2400,327680
91189.59713600634,64.8,2400,327680
96262.948788004,68.6,2400,327680
101319.93073099875,69.2,2400,327680
106369.41689900414,68.6,2400,327680
111422.60687000817,68.1,2400,327680
116481.48942300759,66.4,2400,327680
121544.9700110039,65.9,2400,327680
126609.5670950017,69.2,2400,327680
131671.58489300346,68.1,2400,327680
136721.60868000356,68.6,2400,327680
141782.32050899533,69.2,2400,327680
146841.29343100358,67.0,2400,327680
151894.39820000553,67.5,2400,327680
156952.22780300537,69.2,2400,327680
162005.30527300725,67.5,2400,327680
167062.31676999596,67.5,2400,327680
172130.2727500006,68.1,2400,327680
177186.67298200307,67.0,2400,327680
182245.29349400837,68.1,2400,327680
187300.6663450069,69.2,2400,327680
192349.16858900397,67.5,2400,327680
197405.92606000428,68.6,2400,327680
202457.94947599643,69.2,2400,327680
207505.33315399662,68.6,2400,327680
212558.38807599503,67.0,2400,327680
217609.72316100379,67.5,2400,327680
222678.151539003,69.2,2400,327680
227742.010632006,68.6,2400,327680
232792.07903800125,67.0,2400,327680
237843.9150470076,69.2,2400,327680
242904.95190600632,69.2,2400,327680
247957.60967400565,68.6,2400,327680
253022.1732659993,68.6,2400,327680
258074.2179939989,68.6,2400,327680
263138.36630800506,65.3,2400,327680
268337.4225059961,66.4,2400,327680
273390.46749900444,65.9,2400,327680
278445.4490909993,67.5,2400,327680
283496.0574059951,67.5,2400,327680
288543.3476830076,66.4,2400,327680
293594.0093740064,67.0,2400,327680
298649.1738080076,68.6,2400,327680
303696.4308239985,67.0,2400,327680
308753.3260259952,69.2,2400,327680
313804.81213500025,69.7,2400,327680
318857.8533969994,67.5,2400,327680
323910.66547199443,67.5,2400,327680
328965.64581200073,67.5,2400,327680
334025.0186310004,69.2,2400,327680
339076.0794740054,69.7,2400,327680
344128.44599899836,67.5,2400,327680
349185.0711010047,69.2,2400,327680
354250.171592008,68.6,2400,327680
359305.27886499476,69.7,2400,327680
364358.7969719956,68.6,2400,327680
369406.7716760037,69.7,2400,327680
374477.73942099593,69.2,2400,327680
379536.7289840069,69.2,2400,327680
384592.2072319954,68.1,2400,327680
389649.22826900147,67.5,2400,327680
394710.3148409951,69.2,2400,327680
399769.4511669979,69.7,2400,327680
404820.79926399456,68.1,2400,327680
409873.0351779959,71.4,2400,327680
414925.3406920034,70.8,2400,327680
419973.3257040061,69.7,2400,327680
425029.0994620009,69.7,2400,327680
430076.2879859976,68.6,2400,327680
435130.27407800837,67.0,2400,327680
440199.604488007,67.5,2400,327680
445254.7445149976,68.6,2400,327680
450316.11071000225,68.6,2400,327680
455377.13285299833,69.2,2400,327680
460422.081110999,68.6,2400,327680
465478.3790680085,69.2,2400,327680
470532.85176299687,69.7,2400,327680
475582.1668480057,68.6,2400,327680
480645.12336300686,69.2,2400,327680
485701.2227420055,68.1,2400,327680
490758.55892300024,68.1,2400,327680
495821.0514740058,70.8,2400,327680
500882.4752490036,69.2,2400,327680
505950.3045570018,69.2,2400,327680
511007.0233190054,68.6,2400,327680
516078.4259170032,69.2,2400,327680
