op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,32.22,32.22,[]
aten::empty,forward,758,3033.33,4.0,[]
aten::uniform_,forward,1,9393.34,9393.34,[]
aten::conv2d,forward,88,766.32,8.71,[]
aten::convolution,forward,88,1185.38,13.47,[]
aten::_convolution,forward,88,1227.8,13.95,[]
aten::mkldnn_convolution,forward,88,181864.59,2066.64,[]
aten::as_strided_,forward,88,624.59,7.1,[]
aten::contiguous,forward,90,286.56,3.18,[]
aten::clone,forward,91,625.55,6.87,[]
aten::empty_like,forward,172,554.1,3.22,[]
aten::copy_,forward,94,65156.28,693.15,[]
aten::resize_,forward,88,216.22,2.46,[]
aten::batch_norm,forward,81,496.66,6.13,[]
aten::_batch_norm_impl_index,forward,81,1335.33,16.49,[]
aten::native_batch_norm,forward,81,21889.82,270.24,[]
aten::silu_,forward,77,26382.51,342.63,[]
aten::chunk,forward,9,54.56,6.06,[]
aten::split,forward,9,123.96,13.77,[]
aten::narrow,forward,64,314.23,4.91,[]
aten::slice,forward,64,425.46,6.65,[]
aten::as_strided,forward,90,221.29,2.46,[]
aten::add,forward,16,2222.77,138.92,[]
aten::cat,forward,21,9611.73,457.7,[]
aten::max_pool2d,forward,3,28.67,9.56,[]
aten::max_pool2d_with_indices,forward,3,3396.58,1132.19,[]
aten::split_with_sizes,forward,2,34.28,17.14,[]
aten::view,forward,10,101.63,10.16,[]
aten::mul,forward,2,95.37,47.68,[]
aten::to,forward,2,4.7,2.35,[]
aten::_to_copy,forward,2,17.83,8.92,[]
aten::empty_strided,forward,2,7.02,3.51,[]
aten::transpose,forward,3,31.28,10.43,[]
aten::matmul,forward,2,54.85,27.43,[]
aten::expand,forward,4,24.67,6.17,[]
aten::reshape,forward,5,31.61,6.32,[]
aten::_reshape_alias,forward,4,9.89,2.47,[]
aten::bmm,forward,2,1442.11,721.06,[]
aten::resolve_conj,forward,12,2.8,0.23,[]
aten::select,forward,12,45.28,3.77,[]
aten::_unsafe_view,forward,3,12.8,4.27,[]
aten::softmax,forward,2,32.92,16.46,[]
aten::_softmax,forward,2,1935.02,967.51,[]
aten::upsample_nearest2d,forward,2,1376.23,688.11,[]
aten::ones,forward,2,18.63,9.32,[]
aten::fill_,forward,2,9.72,4.86,[]
aten::unsqueeze,forward,1,10.61,10.61,[]
aten::sub,forward,2,89.72,44.86,[]
aten::div,forward,1,27.11,27.11,[]
aten::sigmoid,forward,1,659.59,659.59,[]
