config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
e9e80e79ce809963,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",multi,"[[1, 3, 640, 640]]",,44236800,11468800,3.024,182,16.3772,4.379733,2.898124,47.463186,61.5,61.5,2400033792,2400020480,346,False,,
7b266a86ec72acea,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([  1.7520,   0.5181,   1.6357,   6.7773, -12.7578,   1.7305,   0.1722,   1.4639,   6.9062,   1.1943,   1.5625,   2.0078,   0.1019,  -1.8320,  -0.1451,   1.7871])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 16, 320, 320]]",,,13107200,3.021,3211,0.9281,5.648145,4.166535,3.866779,60.4,63.7,2400027136,2400023808,446,False,,
4db31c995deacda7,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 16, 320, 320]]",,,13107200,3.023,1094,2.7247,5.578224,4.096614,11.162163,63.1,65.3,2400033792,2400030464,419,False,,
1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 32, 160, 160]]",,,6553600,3.026,2295,1.2986,5.431715,3.950105,5.129803,63.1,64.8,2400020480,2400033792,462,False,,
3e456fe6cbcdb92a,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 8, 160, 160]]",,,1638400,3.022,9106,0.3272,5.728017,4.246407,1.389374,64.2,65.3,2400017408,2400030464,486,False,,
b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 16, 160, 160]]",,,3276800,3.022,4896,0.6086,6.049572,4.567962,2.780257,65.3,65.9,2400023808,2400020480,500,False,,
52a7efe60d82b70f,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 64, 160, 160]]",,,13107200,3.023,1094,2.7239,5.700552,4.218942,11.492025,65.3,66.4,2400033792,2400020480,416,False,,
6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 64, 80, 80]]",,,3276800,3.023,4901,0.6083,6.049374,4.567764,2.778517,65.3,67.0,2400017408,2400033792,496,False,,
31b67e23e5e6b3ec,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 16, 80, 80]]",,,819200,3.023,15088,0.1972,5.376408,3.894798,0.768057,67.0,67.5,2400030464,2400027136,500,False,,
00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 32, 80, 80]]",,,1638400,3.022,9422,0.3161,5.921027,4.439417,1.403198,65.3,68.6,2400023808,2400020480,464,False,,
09681dfeb8452f7b,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 128, 80, 80]]",,,6553600,3.024,2366,1.2599,5.824191,4.342582,5.471311,66.4,67.0,2400017408,2400017408,470,False,,
dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 128, 40, 40]]",,,1638400,3.024,8312,0.3582,5.46432,3.98271,1.426499,65.9,65.9,2400030464,2400023808,513,False,,
