t_ms,temp_C,arm_MHz,throttle_bits
0.33744200482033193,50.5,2400,327680
5062.710850004805,54.3,2400,327680
10111.253972005215,60.9,2400,327680
15165.203611002653,63.7,2400,327680
20225.824444001773,64.2,2400,327680
25288.882206004928,64.2,2400,327680
30344.75978500268,65.3,2400,327680
35396.912784999586,67.0,2400,327680
40460.4107060004,68.1,2400,327680
45523.801707007806,68.6,2400,327680
50584.8145110067,69.7,2400,327680
55637.258718998055,69.2,2400,327680
60695.73639000009,69.7,2400,327680
65756.6414400062,69.2,2400,327680
70813.17442101135,69.2,2400,327680
75865.39322300814,68.6,2400,327680
80920.44323599839,60.9,2400,327680
85968.85192100308,68.6,2400,327680
91032.16291300487,68.1,2400,327680
96084.59896199929,60.4,2400,327680
101132.72141000198,64.8,2400,327680
106195.93790300132,67.0,2400,327680
111253.70017500245,65.3,2400,327680
116314.95347199962,69.2,2400,327680
121367.77023800823,65.9,2400,327680
126420.47896501026,69.2,2400,327680
131476.92234600254,67.0,2400,327680
136535.79505901143,70.8,2400,327680
141596.98193900113,70.3,2400,327680
146648.33013500902,69.2,2400,327680
151702.75358500658,69.7,2400,327680
156755.39486399794,65.9,2400,327680
161808.5171040002,69.7,2400,327680
166864.34554800508,68.6,2400,327680
171928.3606329991,69.7,2400,327680
176984.64670700196,70.3,2400,327680
182040.91823000635,70.8,2400,327680
187100.83641200617,70.8,2400,327680
192155.21068000817,70.8,2400,327680
197205.01313700515,71.4,2400,327680
202251.89626999781,70.8,2400,327680
207305.2880059986,70.8,2400,327680
212377.9886340053,68.6,2400,327680
217435.4285740119,70.3,2400,327680
222508.87254200643,69.7,2400,327680
227562.761210007,70.3,2400,327680
232616.66507201153,72.5,2400,327680
237680.45280801016,71.9,2400,327680
242736.45856000076,70.3,2400,327680
247805.0049989979,70.8,2400,327680
252873.94685301115,70.3,2400,327680
257926.37183000625,69.7,2400,327680
262986.30733200116,69.2,2400,327680
268044.4663600065,69.7,2400,327680
273100.67521101155,69.7,2400,327680
278146.7943410098,69.7,2400,327680
283196.6169360094,70.8,2400,327680
288248.4411020123,70.8,2400,327680
293304.1404539981,69.7,2400,327680
298358.0736490112,70.3,2400,327680
303411.5761950088,69.7,2400,327680
308460.64023701183,69.7,2400,327680
313514.54523600114,70.3,2400,327680
318570.48654901155,69.7,2400,327680
323624.8055580072,70.8,2400,327680
328677.7596690081,67.5,2400,327680
333740.8204920066,68.1,2400,327680
338796.48320699926,68.6,2400,327680
343860.6387410109,69.7,2400,327680
348913.36175700417,69.2,2400,327680
353971.3087850105,69.7,2400,327680
359028.8248160068,69.7,2400,327680
364088.62631100055,71.4,2400,327680
369157.0638109988,69.7,2400,327680
374211.6380350053,68.6,2400,327680
379260.70241800335,68.6,2400,327680
384307.63928301167,69.7,2400,327680
389364.85214000277,69.7,2400,327680
394424.69251500734,70.3,2400,327680
399474.88954600703,69.7,2400,327680
404527.6180040091,70.8,2400,327680
409577.3603800044,71.9,2400,327680
414630.8919870062,70.8,2400,327680
419687.03800300136,70.3,2400,327680
424743.52887300483,69.7,2400,327680
429796.66740501125,70.8,2400,327680
434855.0176400022,71.4,2400,327680
439906.4792889985,70.8,2400,327680
444963.083309005,71.9,2400,327680
450012.8315220063,68.6,2400,327680
455067.75658699917,69.7,2400,327680
460116.8744470051,71.4,2400,327680
465175.4300140019,70.8,2400,327680
470229.0025560069,70.3,2400,327680
475301.0549160099,70.8,2400,327680
480354.5352700021,70.8,2400,327680
485416.4969330013,70.8,2400,327680
490467.22164200037,70.8,2400,327680
495519.77225100563,70.3,2400,327680
500580.8807249996,71.9,2400,327680
505650.8650970063,71.4,2400,327680
510704.7967240069,70.8,2400,327680
515757.005337,71.4,2400,327680
520812.38689699967,71.9,2400,327680
525864.4524400006,70.8,2400,327680
530916.3495880057,71.4,2400,327680
535972.598747001,69.7,2400,327680
541020.3253030049,70.8,2400,327680
546073.6836200085,71.4,2400,327680
551123.7729390123,73.0,2400,327680
556180.5804920004,71.9,2400,327680
561235.8869210002,71.9,2400,327680
566293.3310850058,71.9,2400,327680
571344.0892260114,70.8,2400,327680
576420.6071630033,71.9,2400,327680
581476.5727490012,73.0,2400,327680
586528.6847140087,71.4,2400,327680
591581.0326350038,71.4,2400,327680
596637.3803510069,72.5,2400,327680
601686.7698069982,71.9,2400,327680
606740.4481660051,71.9,2400,327680
611803.4024070075,70.8,2400,327680
616856.8949449982,69.2,2400,327680
