path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
0,42e23db398da4558,Conv,"{""class"": ""Conv""}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0,forward,False,464,,11468800,,52,21.332,21.4011,1.2425
0.conv,e9e80e79ce809963,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.conv,forward,True,432,44236800,11468800,3.8571,52,16.1299,16.081,1.1002
0.bn,01ffe7a213de96ba,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([  1.3652, -10.9375,   0.8311,   1.5381,   6.6172,   1.5811,   4.4141,  -1.1455,   1.7510,   1.1084,  -7.4453,   2.1777,  -0.8311,   1.3730,  -0.2401,   1.8193])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.bn,forward,True,32,,13107200,,52,2.2922,2.1733,0.2802
0.act,4db31c995deacda7,SiLU,"{""class"": ""SiLU""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.act,forward,True,0,,13107200,,52,2.5297,2.4066,0.4594
0.act,1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}","[[1, 32, 160, 160]]","[""torch.float32""]","[[1, 32, 160, 160]]",0.act,forward,True,0,,6553600,,156,1.1971,1.0141,0.418
0.act,b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}","[[1, 16, 160, 160]]","[""torch.float32""]","[[1, 16, 160, 160]]",0.act,forward,True,0,,3276800,,104,0.6347,0.5144,0.2828
0.act,6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",0.act,forward,True,0,,3276800,,364,0.6407,0.5149,0.2902
0.act,00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}","[[1, 32, 80, 80]]","[""torch.float32""]","[[1, 32, 80, 80]]",0.act,forward,True,0,,1638400,,312,0.3457,0.2713,0.1937
0.act,dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 128, 40, 40]]",0.act,forward,True,0,,1638400,,364,0.34,0.269,0.2162
0.act,4ea83264d9ea3f5c,SiLU,"{""class"": ""SiLU""}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",0.act,forward,True,0,,819200,,572,0.1956,0.1462,0.171
0.act,a44d02841d8ceadb,SiLU,"{""class"": ""SiLU""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",0.act,forward,True,0,,819200,,312,0.2015,0.1473,0.167
0.act,0da1c08a8fae32e5,SiLU,"{""class"": ""SiLU""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",0.act,forward,True,0,,409600,,312,0.1783,0.1433,0.1509
0.act,9dd2d8c74af91af8,SiLU,"{""class"": ""SiLU""}","[[1, 64, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",0.act,forward,True,0,,204800,,104,0.1432,0.1278,0.0844
0.act,65418290bafe418a,SiLU,"{""class"": ""SiLU""}","[[1, 80, 80, 80]]","[""torch.float32""]","[[1, 80, 80, 80]]",0.act,forward,True,0,,4096000,,104,0.7158,0.6381,0.2476
0.act,70499828149a886f,SiLU,"{""class"": ""SiLU""}","[[1, 80, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",0.act,forward,True,0,,1024000,,104,0.2422,0.1816,0.1658
0.act,4e53e2f3fa50e788,SiLU,"{""class"": ""SiLU""}","[[1, 80, 20, 20]]","[""torch.float32""]","[[1, 80, 20, 20]]",0.act,forward,True,0,,256000,,104,0.1595,0.1535,0.024
1,e2cf841038d442ab,Conv,"{""class"": ""Conv""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 32, 160, 160]]",1,forward,False,4672,,9830400,,52,14.624,14.0685,1.6577
1.conv,052d8e402cda395d,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 32, 160, 160]]",1.conv,forward,True,4608,117964800,9830400,12.0,52,12.1124,11.5532,1.4251
1.bn,3944d5f5827ee1c4,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.4314, -0.3035,  2.6133, -0.2959, -0.2568, -0.2137,  0.2969, -0.8545,  0.0465,  2.5039,  2.8008,  1.8418,  2.1406, -0.2720, -0.3606,  2.2598,  1.4834, -0.5190,  1.4531, -0.4299,  1.1895,  0.0609, -0.4204, -0.4275, -0.2207,  2.7832,  1.7207, -0.2227,  1.7764,  1.9424,  5.4414,  3.0215])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 32, 160, 160]]","[""torch.float32""]","[[1, 32, 160, 160]]",1.bn,forward,True,64,,6553600,,52,1.0448,0.9021,0.295
2,82c9d69c141b9cb8,C2f,"{""class"": ""C2f""}","[[1, 32, 160, 160]]","[""torch.float32""]","[[1, 32, 160, 160]]",2,forward,False,7360,,6553600,,52,37.7892,36.9762,3.241
