op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,34.17,34.17,[]
aten::empty,forward,541,2234.0,4.13,[]
aten::uniform_,forward,1,9442.86,9442.86,[]
aten::conv2d,forward,64,535.92,8.37,[]
aten::convolution,forward,64,920.6,14.38,[]
aten::_convolution,forward,64,1011.95,15.81,[]
aten::mkldnn_convolution,forward,64,176484.29,2757.57,[]
aten::as_strided_,forward,64,446.83,6.98,[]
aten::contiguous,forward,66,202.45,3.07,[]
aten::clone,forward,66,471.11,7.14,[]
aten::empty_like,forward,123,369.78,3.01,[]
aten::copy_,forward,68,47780.35,702.65,[]
aten::resize_,forward,64,168.72,2.64,[]
aten::batch_norm,forward,57,360.46,6.32,[]
aten::_batch_norm_impl_index,forward,57,988.78,17.35,[]
aten::native_batch_norm,forward,57,19454.3,341.3,[]
aten::silu_,forward,57,21082.4,369.87,[]
aten::chunk,forward,9,53.5,5.94,[]
aten::split,forward,9,123.85,13.76,[]
aten::narrow,forward,62,295.56,4.77,[]
aten::slice,forward,62,471.4,7.6,[]
aten::as_strided,forward,65,175.15,2.69,[]
aten::add,forward,8,1882.3,235.29,[]
aten::cat,forward,17,11156.5,656.26,[]
aten::max_pool2d,forward,3,20.5,6.83,[]
aten::max_pool2d_with_indices,forward,3,2535.74,845.25,[]
aten::upsample_nearest2d,forward,2,804.63,402.31,[]
aten::ones,forward,2,22.69,11.34,[]
aten::fill_,forward,2,6.04,3.02,[]
aten::view,forward,8,83.15,10.39,[]
aten::transpose,forward,1,8.54,8.54,[]
aten::softmax,forward,1,27.89,27.89,[]
aten::_softmax,forward,1,1389.64,1389.64,[]
aten::unsqueeze,forward,1,9.98,9.98,[]
aten::sub,forward,2,94.26,47.13,[]
aten::div,forward,1,35.5,35.5,[]
aten::to,forward,1,2.74,2.74,[]
aten::_to_copy,forward,1,10.74,10.74,[]
aten::empty_strided,forward,1,4.24,4.24,[]
aten::mul,forward,1,143.54,143.54,[]
aten::sigmoid,forward,1,923.6,923.6,[]
