config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
e9e80e79ce809963,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}",multi,"[[1, 3, 640, 640]]",,44236800,11468800,5.025,298,16.7233,4.483739,2.976786,49.781751,63.1,62.6,2400020480,2400030464,572,False,,
01ffe7a213de96ba,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([  1.3652, -10.9375,   0.8311,   1.5381,   6.6172,   1.5811,   4.4141,  -1.1455,   1.7510,   1.1084,  -7.4453,   2.1777,  -0.8311,   1.3730,  -0.2401,   1.8193])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 16, 320, 320]]",,,13107200,5.022,4346,1.1453,5.379739,3.872786,4.435565,62.6,66.4,2400020480,2400027136,759,False,,
4db31c995deacda7,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 16, 320, 320]]",,,13107200,5.023,1826,2.7279,5.713999,4.207046,11.476469,63.7,65.9,2400033792,2400030464,704,False,,
1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 32, 160, 160]]",,,6553600,5.023,3825,1.3017,5.498369,3.991416,5.195465,66.4,67.0,2400023808,2400020480,753,False,,
b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 16, 160, 160]]",,,3276800,5.025,8092,0.6154,6.016229,4.509276,2.775117,67.5,68.6,2400020480,2400023808,844,False,,
6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 64, 80, 80]]",,,3276800,5.024,8127,0.6129,6.040704,4.53375,2.778603,67.5,69.2,2400020480,2400023808,855,False,,
00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 32, 80, 80]]",,,1638400,5.023,15080,0.3302,5.691024,4.184071,1.381627,69.2,68.6,2400017408,2400017408,807,False,,
dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 128, 40, 40]]",,,1638400,5.023,15261,0.3263,5.854258,4.347305,1.418632,67.5,69.2,2400033792,2400027136,802,False,,
4ea83264d9ea3f5c,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 64, 40, 40]]",,,819200,5.023,26253,0.1897,5.518508,4.011555,0.760834,67.5,68.6,2400023808,2400027136,807,False,,
a44d02841d8ceadb,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 256, 20, 20]]",,,819200,5.023,26902,0.1851,5.586683,4.07973,0.755115,66.4,68.6,2400027136,2400030464,791,False,,
0da1c08a8fae32e5,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 128, 20, 20]]",,,409600,5.023,30390,0.1638,5.320383,3.81343,0.624757,67.5,68.1,2400027136,2400027136,783,False,,
9dd2d8c74af91af8,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 64, 20, 20]]",,,204800,5.023,33656,0.1479,2.843128,1.336174,0.197657,67.0,60.9,2400020480,2400020480,1251,False,,
65418290bafe418a,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 80, 80, 80]]",,,4096000,5.024,6407,0.7774,5.764881,4.257928,3.310039,60.4,68.1,2400020480,2400020480,812,False,,
70499828149a886f,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 80, 40, 40]]",,,1024000,5.024,21649,0.23,5.464537,3.957584,0.91021,67.0,67.5,2400023808,2400020480,830,False,,
4e53e2f3fa50e788,SiLU,"{""class"": ""SiLU""}",multi,"[[1, 80, 20, 20]]",,,256000,5.024,28677,0.1736,2.845987,1.339034,0.232481,67.5,61.5,2400023808,2400027136,1263,False,,
052d8e402cda395d,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}",multi,"[[1, 16, 320, 320]]",,117964800,9830400,5.033,501,9.9445,4.770469,3.263516,32.454097,61.5,64.2,2400030464,2400030464,692,False,,
3944d5f5827ee1c4,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.4314, -0.3035,  2.6133, -0.2959, -0.2568, -0.2137,  0.2969, -0.8545,  0.0465,  2.5039,  2.8008,  1.8418,  2.1406, -0.2720, -0.3606,  2.2598,  1.4834, -0.5190,  1.4531, -0.4299,  1.1895,  0.0609, -0.4204, -0.4275, -0.2207,  2.7832,  1.7207, -0.2227,  1.7764,  1.9424,  5.4414,  3.0215])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 32, 160, 160]]",,,6553600,5.024,4758,1.0467,5.079772,3.572818,3.739581,63.1,67.5,2400027136,2400023808,727,False,,
f98c3bd3e95e4191,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",multi,"[[1, 32, 160, 160]]",,26214400,6553600,5.028,666,7.4819,4.323951,2.816998,21.076435,65.9,64.8,2400023808,2400023808,671,False,,
cb173b91e5dd7796,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.3604e+00, -5.0586e-01,  1.5049e+00,  2.4277e+00,  2.5520e-03,  2.3613e+00,  2.8047e+00,  1.8350e+00, -1.7834e-01,  2.0938e+00,  7.7002e-01, -2.2229e-01, -9.3066e-01,  2.3945e+00, -5.9131e-01, -2.2773e+00,  2.6641e+00, -1.6475e+00,  2.9419e-01,  7.1338e-01,  1.4033e+00,  1.0781e+00, -2.6245e-01,  8.8330e-01,\n         7.3914e-02,  1.5928e+00,  7.4463e-01,  1.5947e+00,  1.9189e-01,  1.6289e+00, -1.3809e+00,  3.2363e+00])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 32, 160, 160]]",,,6553600,5.025,10731,0.4639,5.849078,4.342125,2.014456,65.3,68.1,2400033792,2400033792,721,False,,
7b61872bd0c94d98,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",multi,"[[1, 48, 160, 160]]",,39321600,8192000,5.034,601,8.2913,4.335879,2.828925,23.455432,67.5,65.3,2400020480,2400027136,683,False,,
102fd5f97d14fb16,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.6836,  0.3135,  1.9443,  0.4663,  2.7812,  1.0850,  0.1935,  0.6245,  1.2139,  0.8794,  1.3506, -0.5425,  1.5371,  1.7021,  0.5547, -0.9473,  1.3115,  0.1874,  0.7871,  0.2720, -0.4426,  2.3281, -1.8584,  0.6328, -1.6230,  1.9473,  0.6323,  0.4407, -0.4758,  0.2981, -0.3950, -1.4756])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 32, 160, 160]]",,,6553600,5.025,11065,0.4501,5.888739,4.381785,1.972192,65.9,68.6,2400017408,2400023808,743,False,,
a96e8bd5065c8d15,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}",multi,"[[1, 16, 160, 160]]",,58982400,3276800,5.028,1295,3.8481,4.791101,3.284148,12.637786,69.2,67.5,2400033792,2400020480,811,False,,
1deab2ccafdf2d22,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.6006e+00,  2.7637e+00,  1.2852e+00,  1.3652e+00,  3.1465e+00,  2.3965e+00,  7.8857e-01, -1.4087e-01, -5.2295e-01,  5.1465e-01, -6.5137e-01,  4.1351e-03, -1.0449e+00, -9.4360e-02, -3.1006e-01,  5.3086e+00])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 16, 160, 160]]",,,3276800,5.025,18835,0.2643,5.491028,3.984075,1.052949,68.1,68.6,2400037120,2400023808,763,False,,
b674d2582ff75707,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.6514,  3.0371,  3.9199, -0.1841,  2.5762, -0.5186, -0.0791, -0.1650,  0.1323, -0.6177, -0.5483, -0.7793,  4.4766,  0.2402,  0.1410,  3.7305])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 16, 160, 160]]",,,3276800,5.025,19929,0.2499,5.767866,4.260913,1.064631,68.1,71.9,2400023808,2400023808,690,False,,
51b2579a85bc3f80,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [2, 2]}",multi,"[[1, 32, 160, 160]]",,117964800,4915200,5.03,900,5.535,5.738004,4.231051,23.418973,70.3,68.6,2400023808,2400023808,755,False,,
3fc6b020132eeaf9,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.5293, -0.7974,  2.5430,  0.6675, -0.1099,  0.9126, -0.7612, -0.4153,  0.5596,  1.7100, -0.5103,  0.3435, -0.7915, -0.6226, -0.1201, -0.5264,  0.2883,  1.4785, -0.5391,  0.2476, -0.0364, -0.6157, -0.1730,  0.3179,  1.5459,  1.5088,  0.8188,  2.0742, -0.5063, -0.7422,  0.4070,  0.4854,  0.7793,  0.3862,\n        -0.6099,  0.7759, -0.0856, -0.4136, -0.4951,  2.0859, -0.3586,  1.0273,  0.5781, -0.1620, -0.4397,  2.6855,  1.5801, -0.4421,  1.1133, -0.4343, -0.2966, -0.4812, -0.4607,  1.7158, -0.0734, -0.4434, -0.8940,  1.7188, -0.0916, -0.5054, -0.6987, -0.4363, -0.3547, -0.2795])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 64, 80, 80]]",,,3276800,5.026,18954,0.2627,5.648133,4.14118,1.087985,68.1,69.2,2400033792,2400030464,741,False,,
16ab8f219b28b293,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",multi,"[[1, 64, 80, 80]]",,26214400,3276800,5.029,1364,3.6521,4.312298,2.805345,10.245521,68.6,67.0,2400020480,2400033792,761,False,,
baf3d0b9389a270a,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.3384, -0.8857,  0.7466, -0.6748,  0.1693, -0.8984, -0.2510, -0.8389, -0.9761,  0.2156,  0.4878,  0.5894, -0.9990, -0.2411,  0.6216, -0.2367, -0.2341, -0.8398, -0.7915, -0.4744, -1.1484,  0.1027, -0.3833,  0.2024,  0.4675,  0.3569,  1.2588, -0.8027, -0.0249,  0.9927,  0.8809, -0.8101,  0.6494,  0.4890,\n         1.0850,  1.0850,  1.4619, -0.3914, -0.0608,  1.5371,  1.0332,  1.1836,  1.1348, -0.4343,  0.0886,  1.4873,  0.7407,  1.0820,  1.1094,  0.8335,  0.1276, -0.0972,  0.8857,  0.2061, -0.6289, -0.3193,  1.2764, -0.3784,  1.2852,  1.3428,  1.2803,  1.2969,  0.4233,  0.6621])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 64, 80, 80]]",,,3276800,5.029,18555,0.2684,5.706154,4.199201,1.126898,66.4,69.2,2400023808,2400030464,699,False,,
40c5984f27a8edbe,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",multi,"[[1, 128, 80, 80]]",,52428800,4915200,5.029,1112,4.4814,4.361904,2.854951,12.794297,69.2,67.5,2400033792,2400027136,764,False,,
b599800676e84457,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 0.0901,  0.9902,  0.2634, -1.9346,  0.1299, -0.6748, -0.6646,  1.0430,  0.5190, -0.1586, -0.2319, -0.6138,  0.1658,  0.8081,  0.0083, -0.3801, -0.0614,  1.1787, -0.4736,  0.4041, -0.6855,  1.0283, -0.4871, -0.3701, -0.8999, -0.2910, -0.8750,  0.3267,  0.7607,  0.9233,  0.9077,  0.1738,  0.5605,  0.0763,\n        -0.9912, -1.0059,  0.5767, -0.2637,  1.2109, -0.0383,  0.4485,  0.3833,  0.4304, -0.9971, -0.4939,  0.9141, -0.5967,  0.3745, -1.1133, -0.9053, -0.4221, -0.3936,  0.2576,  0.8154,  0.0315, -2.5664, -0.1650,  0.6016,  0.4592,  0.5483, -0.2625, -0.5591, -1.2188,  0.0359])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}",multi,"[[1, 64, 80, 80]]",,,3276800,5.028,19899,0.2503,5.726515,4.219562,1.055995,67.5,70.3,2400017408,2400030464,707,False,,
a56f708ca00677f8,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",multi,"[[1, 32, 80, 80]]",,58982400,1638400,5.027,2218,2.2454,5.198839,3.691885,8.28978,69.7,69.7,2400027136,2400027136,882,False,,
