t_ms,temp_C,arm_MHz,throttle_bits
0.326293011312373,51.0,2400,327680
5066.029083012836,57.6,2400,327680
10118.939820007654,60.4,2400,327680
15175.07419901085,62.6,2400,327680
20234.928974008653,64.2,2400,327680
25289.98609900009,63.1,2400,327680
30362.181712000165,65.9,2400,327680
35426.67599901324,67.5,2400,327680
40489.73897199903,68.1,2400,327680
45550.59637900558,68.1,2400,327680
50606.010770003195,70.3,2400,327680
55661.31701901031,69.2,2400,327680
60721.39863400662,70.8,2400,327680
65770.04623399989,70.8,2400,327680
70821.49138599925,70.8,2400,327680
75871.09041200893,68.6,2400,327680
80932.67491800361,71.4,2400,327680
85980.58372701053,70.3,2400,327680
91036.26174200326,68.1,2400,327680
96089.82353900501,68.6,2400,327680
101145.360377006,64.8,2400,327680
106197.65904400265,67.0,2400,327680
111263.93448800081,69.7,2400,327680
116321.65899701067,69.7,2400,327680
121381.79546700849,63.7,2400,327680
126432.23462501192,64.8,2400,327680
131494.5689849992,68.1,2400,327680
136546.32342900732,67.0,2400,327680
141611.32619300042,68.1,2400,327680
146665.79309600638,65.9,2400,327680
151725.0113980117,68.1,2400,327680
156781.58354200423,68.6,2400,327680
161835.3872870066,68.1,2400,327680
166889.04340400768,67.5,2400,327680
171950.93253500818,69.2,2400,327680
177006.0868790024,69.7,2400,327680
182071.4389400091,69.7,2400,327680
187129.92319600016,67.5,2400,327680
192185.7919210015,68.6,2400,327680
197241.4424810122,67.0,2400,327680
202297.5834050012,69.2,2400,327680
207353.12987100042,69.7,2400,327680
212409.6985310025,69.2,2400,327680
217460.81300001242,68.6,2400,327680
222511.7285610031,69.2,2400,327680
227573.18902100087,71.9,2400,327680
232628.85522001307,70.8,2400,327680
237677.04172800586,68.6,2400,327680
242729.6745620115,70.3,2400,327680
247789.1639770096,69.2,2400,327680
252844.71444500377,69.7,2400,327680
257913.86781800247,68.6,2400,327680
262966.3099400059,69.7,2400,327680
268020.7735209988,69.2,2400,327680
273076.09894301277,68.6,2400,327680
278133.9186710102,68.1,2400,327680
283189.56591600727,69.7,2400,327680
288240.97067900584,68.6,2400,327680
293295.87475801236,68.6,2400,327680
298346.9221100095,69.7,2400,327680
303412.6743550005,68.6,2400,327680
308468.38411800854,70.8,2400,327680
313517.66428801056,70.8,2400,327680
318573.11711901275,70.3,2400,327680
323619.29408799915,69.7,2400,327680
328673.24003401154,70.3,2400,327680
333725.30029001064,69.2,2400,327680
338776.2369580014,69.2,2400,327680
343828.87151300383,68.1,2400,327680
348881.6851720039,67.5,2400,327680
353936.05660700996,68.6,2400,327680
358989.26415901224,68.1,2400,327680
364050.75673801184,69.7,2400,327680
369109.89813000197,67.0,2400,327680
374161.98219300713,68.1,2400,327680
379221.2409430067,68.1,2400,327680
384278.79979400313,68.6,2400,327680
389341.96905000135,68.6,2400,327680
394400.91785701225,68.1,2400,327680
399456.6142630065,70.3,2400,327680
404511.19343200116,70.3,2400,327680
409561.90161200357,69.7,2400,327680
414614.06438300037,69.7,2400,327680
419674.2108670005,70.3,2400,327680
424734.2403090006,69.7,2400,327680
429796.8133680115,69.7,2400,327680
434870.6664620113,63.7,2400,327680
440057.69692700414,67.5,2400,327680
445116.0762440122,62.0,2400,327680
450296.32872200455,66.4,2400,327680
455345.0110600097,67.5,2400,327680
460392.51258601143,68.6,2400,327680
465441.25950000307,68.6,2400,327680
470492.7587320126,65.9,2400,327680
475553.1194089999,65.9,2400,327680
480613.9317410125,67.5,2400,327680
485664.89134200674,69.2,2400,327680
490713.75223201176,69.7,2400,327680
495767.3622910079,70.3,2400,327680
500830.11081100267,68.6,2400,327680
505881.96125801187,71.4,2400,327680
510938.0733600119,70.8,2400,327680
516000.47137599904,69.2,2400,327680
521062.0262970042,67.0,2400,327680
526117.2220480075,68.1,2400,327680
531172.9399320029,69.7,2400,327680
536237.8339060087,68.6,2400,327680
541293.6728630011,70.3,2400,327680
546348.7885020004,69.2,2400,327680
551396.3744620123,69.7,2400,327680
556464.723476005,70.8,2400,327680
561518.3069900086,70.3,2400,327680
566573.2100919995,68.6,2400,327680
571637.6693180064,70.3,2400,327680
576688.7496030104,69.7,2400,327680
581748.3862230001,69.2,2400,327680
586801.1518240091,69.7,2400,327680
591869.8420990113,70.8,2400,327680
596921.9118530018,69.7,2400,327680
601973.924003003,68.6,2400,327680
607025.8074410085,69.7,2400,327680
612081.9433470024,70.3,2400,327680
617144.4158689992,69.7,2400,327680
622193.9534450066,68.6,2400,327680
627244.0787820087,69.2,2400,327680
632293.6907060066,68.1,2400,327680
637354.3181640125,70.3,2400,327680
642417.8001219989,69.7,2400,327680
647474.2393750057,69.7,2400,327680
652530.7415230054,70.3,2400,327680
657588.8469980127,70.8,2400,327680
662645.7164160092,71.4,2400,327680
667712.8025620041,67.5,2400,327680
672764.3466190057,71.4,2400,327680
677822.0310330071,70.8,2400,327680
682877.5922880013,73.0,2400,327680
687931.7837109993,70.8,2400,327680
692984.2885270045,70.8,2400,327680
698051.3626590109,71.9,2400,327680
703112.7272390004,69.7,2400,327680
708169.9232160026,69.2,2400,327680
713237.6826020045,69.2,2400,327680
718289.9267130124,67.0,2400,327680
723341.8102040014,71.4,2400,327680
728388.9354490093,68.6,2400,327680
733446.8943030079,70.3,2400,327680
738514.3284270016,68.1,2400,327680
743573.7181690056,72.5,2400,327680
748621.0990290128,68.1,2400,327680
