op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,33.7,33.7,[]
aten::empty,forward,758,3123.28,4.12,[]
aten::uniform_,forward,1,9394.15,9394.15,[]
aten::conv2d,forward,88,744.96,8.47,[]
aten::convolution,forward,88,1180.34,13.41,[]
aten::_convolution,forward,88,1904.14,21.64,[]
aten::mkldnn_convolution,forward,88,183077.77,2080.43,[]
aten::as_strided_,forward,88,612.88,6.96,[]
aten::contiguous,forward,90,318.53,3.54,[]
aten::clone,forward,91,624.25,6.86,[]
aten::empty_like,forward,172,544.84,3.17,[]
aten::copy_,forward,94,73187.63,778.59,[]
aten::resize_,forward,88,224.21,2.55,[]
aten::batch_norm,forward,81,496.72,6.13,[]
aten::_batch_norm_impl_index,forward,81,1230.6,15.19,[]
aten::native_batch_norm,forward,81,21539.52,265.92,[]
aten::silu_,forward,77,29420.4,382.08,[]
aten::chunk,forward,9,58.98,6.55,[]
aten::split,forward,9,134.04,14.89,[]
aten::narrow,forward,64,327.48,5.12,[]
aten::slice,forward,64,435.84,6.81,[]
aten::as_strided,forward,90,236.78,2.63,[]
aten::add,forward,16,2944.44,184.03,[]
aten::cat,forward,21,11110.41,529.07,[]
aten::max_pool2d,forward,3,21.57,7.19,[]
aten::max_pool2d_with_indices,forward,3,3402.93,1134.31,[]
aten::split_with_sizes,forward,2,36.85,18.43,[]
aten::view,forward,10,106.65,10.66,[]
aten::mul,forward,2,625.03,312.52,[]
aten::to,forward,2,6.89,3.44,[]
aten::_to_copy,forward,2,22.42,11.21,[]
aten::empty_strided,forward,2,8.04,4.02,[]
aten::transpose,forward,3,43.22,14.41,[]
aten::matmul,forward,2,73.68,36.84,[]
aten::expand,forward,4,34.0,8.5,[]
aten::reshape,forward,5,42.85,8.57,[]
aten::_reshape_alias,forward,4,13.58,3.39,[]
aten::bmm,forward,2,4182.72,2091.36,[]
aten::resolve_conj,forward,12,4.44,0.37,[]
aten::select,forward,12,55.5,4.62,[]
aten::_unsafe_view,forward,3,18.26,6.09,[]
aten::softmax,forward,2,40.11,20.06,[]
aten::_softmax,forward,2,2617.9,1308.95,[]
aten::upsample_nearest2d,forward,2,852.4,426.2,[]
aten::ones,forward,2,21.55,10.78,[]
aten::fill_,forward,2,8.09,4.05,[]
aten::unsqueeze,forward,1,10.0,10.0,[]
aten::sub,forward,2,89.07,44.54,[]
aten::div,forward,1,36.29,36.29,[]
aten::sigmoid,forward,1,778.21,778.21,[]
