t_ms,temp_C,arm_MHz,throttle_bits
0.32727599318604916,52.1,2400,327680
5063.176600000588,54.3,2400,327680
10135.786578000989,62.0,2400,327680
15187.016063006013,64.2,2400,327680
20240.04168600368,64.8,2400,327680
25295.03192899574,67.0,2400,327680
30358.08313600137,63.1,2400,327680
35416.0337929934,63.1,2400,327680
40471.93056100514,66.4,2400,327680
45524.076955000055,65.9,2400,327680
50574.92649399501,67.5,2400,327680
55631.902866007295,67.0,2400,327680
60684.58029499743,67.0,2400,327680
65750.85461500566,68.1,2400,327680
70805.54080399452,67.0,2400,327680
75857.35570799443,66.4,2400,327680
80912.42554099881,67.0,2400,327680
85963.89892899606,68.1,2400,327680
91012.17436899606,65.3,2400,327680
96223.17257500254,62.6,2400,327680
101271.61566300492,63.7,2400,327680
106327.95681600692,67.0,2400,327680
111391.7378890037,65.9,2400,327680
116447.0529800019,67.5,2400,327680
121500.05187900388,67.0,2400,327680
126555.20936699759,68.6,2400,327680
131607.7567589964,67.0,2400,327680
136672.0395029988,67.0,2400,327680
141727.9226200044,69.7,2400,327680
146782.7646490041,68.1,2400,327680
151835.59109599446,65.3,2400,327680
156896.05389100325,68.6,2400,327680
161959.74241899967,68.1,2400,327680
167013.56792400475,67.5,2400,327680
172071.33089899435,68.1,2400,327680
177122.029036007,68.1,2400,327680
182175.96553600742,68.6,2400,327680
187231.60574499343,68.1,2400,327680
192285.8884640009,70.3,2400,327680
197344.9917770049,66.4,2400,327680
