path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
0,42e23db398da4558,Conv,"{""class"": ""Conv""}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0,forward,False,464,,11468800,,5,27.1411,27.1411,0.0
0.conv,e9e80e79ce809963,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.conv,forward,True,432,44236800,11468800,3.8571,5,19.0425,19.0425,0.0
0.bn,a7c239d6fd6f7222,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([  6.6641,   0.4097,  -0.2455,   1.5957,  -0.7925,   1.0166,   1.6953,   1.4199,   1.6562,   5.8047,  -0.4468,   1.6592,   2.1133, -12.7109,  -0.1356,   1.9062])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.bn,forward,True,32,,13107200,,5,3.1621,3.1621,0.0
0.act,4db31c995deacda7,SiLU,"{""class"": ""SiLU""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.act,forward,True,0,,13107200,,5,4.5906,4.5906,0.0
0.act,1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}","[[1, 32, 160, 160]]","[""torch.float32""]","[[1, 32, 160, 160]]",0.act,forward,True,0,,6553600,,15,1.5725,1.8942,0.4969
0.act,3e456fe6cbcdb92a,SiLU,"{""class"": ""SiLU""}","[[1, 8, 160, 160]]","[""torch.float32""]","[[1, 8, 160, 160]]",0.act,forward,True,0,,1638400,,5,0.2758,0.2758,0.0
0.act,b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}","[[1, 16, 160, 160]]","[""torch.float32""]","[[1, 16, 160, 160]]",0.act,forward,True,0,,3276800,,5,0.5081,0.5081,0.0
0.act,52a7efe60d82b70f,SiLU,"{""class"": ""SiLU""}","[[1, 64, 160, 160]]","[""torch.float32""]","[[1, 64, 160, 160]]",0.act,forward,True,0,,13107200,,10,2.0559,2.0559,0.0041
0.act,6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",0.act,forward,True,0,,3276800,,40,0.8403,0.6308,0.3806
0.act,31b67e23e5e6b3ec,SiLU,"{""class"": ""SiLU""}","[[1, 16, 80, 80]]","[""torch.float32""]","[[1, 16, 80, 80]]",0.act,forward,True,0,,819200,,10,0.1602,0.1602,0.0325
0.act,00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}","[[1, 32, 80, 80]]","[""torch.float32""]","[[1, 32, 80, 80]]",0.act,forward,True,0,,1638400,,20,0.2347,0.2346,0.0027
0.act,09681dfeb8452f7b,SiLU,"{""class"": ""SiLU""}","[[1, 128, 80, 80]]","[""torch.float32""]","[[1, 128, 80, 80]]",0.act,forward,True,0,,6553600,,5,1.6238,1.6238,0.0
0.act,dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 128, 40, 40]]",0.act,forward,True,0,,1638400,,40,0.3633,0.2671,0.243
0.act,08d9785d759dac51,SiLU,"{""class"": ""SiLU""}","[[1, 32, 40, 40]]","[""torch.float32""]","[[1, 32, 40, 40]]",0.act,forward,True,0,,409600,,50,0.1919,0.1313,0.1855
0.act,4ea83264d9ea3f5c,SiLU,"{""class"": ""SiLU""}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",0.act,forward,True,0,,819200,,30,0.1934,0.1366,0.1317
0.act,a44d02841d8ceadb,SiLU,"{""class"": ""SiLU""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",0.act,forward,True,0,,819200,,50,0.3209,0.1421,0.2897
0.act,9dd2d8c74af91af8,SiLU,"{""class"": ""SiLU""}","[[1, 64, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",0.act,forward,True,0,,204800,,70,0.1539,0.1237,0.1016
0.act,0da1c08a8fae32e5,SiLU,"{""class"": ""SiLU""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",0.act,forward,True,0,,409600,,20,0.1277,0.126,0.0084
