op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,32.44,32.44,[]
aten::empty,forward,848,3149.44,3.71,[]
aten::uniform_,forward,1,9370.53,9370.53,[]
aten::conv2d,forward,100,797.18,7.97,[]
aten::convolution,forward,101,1264.58,12.52,[]
aten::_convolution,forward,101,17625.05,174.51,[]
aten::mkldnn_convolution,forward,98,204752.59,2089.31,[]
aten::as_strided_,forward,99,666.46,6.73,[]
aten::contiguous,forward,101,315.35,3.12,[]
aten::clone,forward,102,680.7,6.67,[]
aten::empty_like,forward,192,569.29,2.97,[]
aten::copy_,forward,106,94569.36,892.16,[]
aten::resize_,forward,101,247.21,2.45,[]
aten::batch_norm,forward,90,505.57,5.62,[]
aten::_batch_norm_impl_index,forward,90,1346.88,14.97,[]
aten::native_batch_norm,forward,90,25439.23,282.66,[]
aten::silu_,forward,86,31563.81,367.02,[]
aten::chunk,forward,9,52.87,5.87,[]
aten::split,forward,9,119.15,13.24,[]
aten::narrow,forward,69,326.87,4.74,[]
aten::slice,forward,69,459.31,6.66,[]
aten::as_strided,forward,95,234.04,2.46,[]
aten::add,forward,16,2145.02,134.06,[]
aten::cat,forward,23,12464.02,541.91,[]
aten::max_pool2d,forward,3,22.0,7.33,[]
aten::max_pool2d_with_indices,forward,3,3376.35,1125.45,[]
aten::split_with_sizes,forward,2,31.05,15.53,[]
aten::view,forward,17,136.11,8.01,[]
aten::mul,forward,2,84.81,42.41,[]
aten::to,forward,2,5.2,2.6,[]
aten::_to_copy,forward,2,17.04,8.52,[]
aten::empty_strided,forward,2,6.74,3.37,[]
aten::transpose,forward,3,31.32,10.44,[]
aten::matmul,forward,2,55.13,27.56,[]
aten::expand,forward,4,23.98,5.99,[]
aten::reshape,forward,6,34.56,5.76,[]
aten::_reshape_alias,forward,4,9.83,2.46,[]
aten::bmm,forward,2,1344.53,672.27,[]
aten::resolve_conj,forward,12,3.35,0.28,[]
aten::select,forward,12,42.57,3.55,[]
aten::_unsafe_view,forward,3,13.44,4.48,[]
aten::softmax,forward,2,35.43,17.71,[]
aten::_softmax,forward,2,2634.8,1317.4,[]
aten::upsample_nearest2d,forward,2,1167.64,583.82,[]
aten::ones,forward,2,21.39,10.69,[]
aten::fill_,forward,2,6.17,3.08,[]
aten::_nnpack_available,forward,2,1.78,0.89,[]
aten::thnn_conv2d,forward,2,9.33,4.67,[]
aten::_slow_conv2d_forward,forward,2,341.61,170.8,[]
aten::detach,forward,1,2.5,2.5,[]
aten::unsqueeze,forward,1,10.46,10.46,[]
aten::sub,forward,2,76.7,38.35,[]
aten::div,forward,1,29.72,29.72,[]
aten::sigmoid,forward,1,807.07,807.07,[]
aten::conv_transpose2d,forward,1,8.78,8.78,[]
