t_ms,phase,window_id,I_A,V_V,P_W
5.421609996119514,warmup,1,2.25036,0.9286194,2.089727952984
20.50928000244312,warmup,1,1.56275,0.9286194,1.45119996735
35.610395003459416,warmup,1,1.56275,0.928888,1.4516197220000002
67.28533700515982,warmup,1,5.81343,0.9304997,5.409394870971001
75.17222499882337,warmup,1,3.10764,0.9291566,2.8874842164239998
83.3421669958625,warmup,1,8.50136,0.9264704,7.8762583997440005
89.1714960016543,warmup,1,7.95663,0.9304997,7.403641828011
95.63370900286827,warmup,1,4.89364,0.9294252,4.548272335728
102.80699099530466,warmup,1,7.840539,0.9294252,7.287194528182799
108.29754499718547,warmup,1,5.04545,0.9291566,4.688013167469999
113.35628699453082,warmup,1,4.96508,0.9326486,4.6306749108880005
118.70036000618711,warmup,1,4.3757,0.9291566,4.06571053462
128.17066299612634,warmup,1,4.30426,0.928888,3.9981754628800004
133.90486300340854,warmup,1,4.33998,0.928888,4.03135534224
139.84613500360865,warmup,1,5.41158,0.9275449,5.0194834299419995
147.9255779995583,warmup,1,4.0185,0.928888,3.7327364280000004
152.62809999694582,warmup,1,4.59895,0.9307683,4.280556873285001
159.89693699521013,warmup,1,5.18833,0.9304997,4.827739508501
164.79892100323923,warmup,1,8.70675,0.9291566,8.08993422705
170.333825997659,warmup,1,2.60756,0.9291566,2.422831583896
180.12162600643933,warmup,1,8.08165,0.9270077,7.491751778705
184.76609300705604,warmup,1,5.67055,0.9326486,5.288630518730001
190.79679099377245,warmup,1,9.08181,0.9313055,8.457939602955001
195.58883100398816,warmup,1,2.52719,0.9291566,2.348155267954
200.8203860023059,warmup,1,4.61681,0.9294252,4.290979557612
205.1867809932446,warmup,1,5.01866,0.9326486,4.680646222876
209.61682399502024,warmup,1,2.67007,0.9304997,2.484499333979
213.9611629972933,warmup,1,2.71472,0.9283507,2.5202122123039996
218.97294200607575,warmup,1,4.52751,0.9326486,4.222575862986001
223.4888920065714,warmup,1,4.75076,0.9270077,4.403991100851999
228.76139100117143,warmup,1,3.01834,0.9286194,2.8028890797959995
233.7303740059724,warmup,1,2.68793,0.9304997,2.5011180586210005
239.42488900502212,warmup,1,2.67007,0.9286194,2.479478801358
244.34974300675094,warmup,1,3.10764,0.9291566,2.8874842164239998
248.71554599667434,warmup,1,2.78616,0.928888,2.5880305900800002
253.09394000214525,warmup,1,2.55398,0.9294252,2.373733372296
257.3888729966711,warmup,1,4.90257,0.9294252,4.556572102764
261.92595199972857,warmup,1,4.24175,0.9286194,3.9389713399499997
266.44941899576224,warmup,1,2.70579,0.928888,2.51337586152
275.6437609932618,warmup,1,3.46484,0.9286194,3.217517641896
280.1593220065115,warmup,1,5.22405,0.9280821,4.848347294505
284.409403000609,warmup,1,4.74183,0.928888,4.40462898504
289.4974039954832,warmup,1,2.95583,0.9280821,2.7432529136430004
294.5561079977779,warmup,1,2.7683,0.9291566,2.57218421578
300.99517399503384,warmup,1,2.61649,0.9286194,2.429723373906
305.2491429989459,warmup,1,4.78648,0.9283507,4.443532058536
309.50513199786656,warmup,1,4.94722,0.9291566,4.596742114652
313.79667500732467,warmup,1,2.81295,0.9294252,2.61442661634
320.58871899789665,warmup,1,2.7683,0.9283507,2.56995324281
325.41712900274433,warmup,1,9.430079,0.9280821,8.7518875214859
329.8696720012231,warmup,1,4.88471,0.9294252,4.539972568692
334.3053440039512,warmup,1,9.27827,0.931037,8.63841266599
338.6193869955605,warmup,1,5.13475,0.931037,4.78064223575
344.9135830014711,warmup,1,5.78664,0.9280821,5.370477003144
349.7875860048225,warmup,1,2.75937,0.928888,2.5631456805600004
354.52223700121976,warmup,1,3.27731,0.9280821,3.041612747151
359.1921850020299,warmup,1,5.4473,0.9294252,5.06285789196
363.53609900106676,warmup,1,4.02743,0.9294252,3.7431949332359995
367.83536500297487,warmup,1,4.04529,0.928888,3.75762133752
372.3034440045012,warmup,1,2.77723,0.9280821,2.577497450583
378.94445199344773,warmup,1,3.98278,0.9307683,3.707045369874
384.4835799973225,warmup,1,4.87578,0.9294252,4.531672801656
389.5855989976553,warmup,1,4.08101,0.9302311,3.796282421411
393.8350870012073,warmup,1,4.95615,0.9304997,4.611696088155
398.8605509948684,warmup,1,4.75076,0.9304997,4.420580754772
403.3321680035442,warmup,1,3.83097,0.9294252,3.560600058444
407.6328410010319,warmup,1,4.99187,0.9286194,4.635547324278
412.4353439983679,warmup,1,4.99187,0.9294252,4.639569773123999
416.8881270015845,warmup,1,4.11673,0.9296938,3.8272983572739996
421.3466689980123,warmup,1,2.8576,0.928888,2.6543903488000002
425.7333419955103,warmup,1,4.02743,0.928888,3.74103139784
430.42977100412827,warmup,1,4.67039,0.9286194,4.337014759566
435.0737009954173,warmup,1,4.68825,0.9278135,4.349821641375
439.6462610020535,warmup,1,2.53612,0.9286194,2.355090232728
443.97260100231506,warmup,1,4.50965,0.928888,4.1889597692
448.19044100586325,warmup,1,2.73258,0.9291566,2.538994742028
455.9262380062137,warmup,1,4.60788,0.9304997,4.287630957636
465.05324699683115,warmup,1,4.42035,0.9283507,4.103635016745
469.5902700041188,warmup,1,7.64408,0.9294252,7.1046005828159995
477.14206800446846,warmup,1,4.88471,0.9291566,4.538660535586
481.4895559975412,warmup,1,9.60868,0.9280821,8.917643912628
487.5043460051529,warmup,1,2.66114,0.9304997,2.476189971658
491.7113349947613,warmup,1,4.89364,0.9331858,4.5666753583120006
498.37052800285164,warmup,1,4.78648,0.9294252,4.448675131296
505.78106800094247,warmup,1,4.88471,0.9294252,4.539972568692
513.9276400004746,warmup,1,7.572639,0.9294252,7.0382015171028
521.9183050066931,warmup,1,7.751239,0.9291566,7.2021148750274
526.2561260024086,warmup,1,7.42083,0.9294252,6.8971064069159995
535.4758750036126,warmup,1,4.45607,0.9291566,4.140386850562001
540.2805079938844,warmup,1,4.05422,0.9296938,3.769183197836
544.7007360053249,warmup,1,4.17031,0.9291566,3.874871060546
549.107297003502,warmup,1,2.5897,0.9280821,2.40345421437
553.5668390075443,warmup,1,7.00112,0.928888,6.50325635456
558.2933609985048,warmup,1,2.679,0.9286194,2.4877713725999997
562.6974600018002,warmup,1,2.8576,0.9286194,2.65362279744
567.0130399957998,warmup,1,6.9654,0.928888,6.4700764752
571.2060469959397,warmup,1,2.69686,0.9286194,2.504356515084
575.3099620051216,warmup,1,4.02743,0.9283507,3.738867459701
579.5021920057479,warmup,1,2.91118,0.928888,2.70416016784
583.9297530037584,warmup,1,3.33982,0.9291566,3.103215795812
588.1657599966275,warmup,1,7.33153,0.9286194,6.808200989682
592.7063389972318,warmup,1,3.50056,0.9278135,3.24786682556
597.3290279944194,warmup,1,3.4827,0.928888,3.2350382376
601.683941000374,warmup,1,4.71504,0.9286194,4.378477615776
608.5767629992915,warmup,1,8.179879,0.9304997,7.6113749555363
613.4376730042277,warmup,1,6.47425,0.928888,6.013853134
617.8308639937313,warmup,1,2.91118,0.9286194,2.703378224892
623.858727994957,warmup,1,6.3403,0.9296938,5.8945376001400005
