t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
0.4077370394952595,56.0,1800,327680,0.00195186,0.05367615,0.1717637,0.02537418,0.0,0.1893304,0.3464552,1.83065,0.0,0.0,0.0032967,0.013431,3.696993,3.320241,1.803173,1.109889,0.6032961,1.104394,0.7996329,0.8190223,3.321425,3.313183,0.8005854,4.9111,4.96068,0.0
5081.311132002156,63.1,2400,327680,0.00292779,0.05465208,0.2039694,0.06733918,0.0083334,0.1912823,0.4713742,6.152769,0.0,0.0,0.0031746,0.0129426,3.624612,3.322097,1.805126,1.107691,0.6036624,1.107325,0.802197,0.9286194,3.317762,3.312268,0.8002922,4.7637,4.79854,0.0
10145.554929040372,57.1,1600,327680,0.0097593,0.05270022,0.166884,0.0097593,0.0,0.1883545,0.3474311,0.9912299,0.0,0.0002442,0.0034188,0.0135531,3.7072,3.318385,1.80415,1.10586,0.6058602,1.110622,0.8003655,0.7225879,3.319594,3.312268,0.8008783,5.02634,5.03036,0.0
15203.10171705205,63.1,2400,327680,0.00097593,0.05465208,0.1893304,0.2683808,0.051471,0.1893304,0.4782057,5.22405,6.105e-05,0.0,0.00335775,0.0135531,3.631107,3.317457,1.803661,1.107325,0.6054939,1.107691,0.8007318,0.9304997,3.316846,3.313183,0.8011714,4.84544,4.75298,0.0
20275.753214024007,64.8,2300,327680,0.01659081,0.06245952,0.195186,0.250814,0.0200982,0.1873786,0.4713742,4.75076,0.0,0.0002442,0.0034188,0.0129426,3.629252,3.319313,1.802684,1.106592,0.6040287,1.110622,0.8003655,0.9291566,3.317762,3.311352,0.8017574,4.8709,4.8709,0.0
25334.40705004614,57.1,1600,327680,0.097593,0.05074836,0.1688359,0.0097593,0.0,0.1883545,0.3445033,0.9822999,0.0,0.0,0.00311355,0.0131868,3.688641,3.318385,1.803173,1.112087,0.6109884,1.107325,0.8025633,0.7225879,3.318678,3.311352,0.8008783,5.01696,5.01562,0.0
30392.365079023875,64.2,2400,327680,0.1093042,0.05465208,0.1864026,0.097593,0.0,0.1903064,0.390372,6.68857,0.0001221,6.105e-05,0.0032967,0.0128205,3.593989,3.317457,1.805126,1.107325,0.6040287,1.109156,0.8018308,0.9294252,3.318678,3.311352,0.8017574,4.81328,4.81864,0.0
35445.65504405182,60.4,1600,327680,0.00097593,0.06245952,0.166884,0.00683151,0.0,0.1883545,0.3425514,1.00016,0.0,0.0,0.00299145,0.0131868,3.7072,3.318385,1.805126,1.110622,0.6040287,1.104394,0.8058601,0.723125,3.317762,3.313183,0.8011714,5.03438,5.03036,0.0
40500.405311002396,64.2,2400,327680,0.0,0.05465208,0.1756674,0.01171116,0.0,0.1922582,0.348407,7.93877,6.105e-05,0.0,0.00323565,0.0136752,3.593061,3.313745,1.804638,1.114285,0.6058602,1.110622,0.8010981,0.9280821,3.320509,3.306773,0.8017574,4.76906,4.7637,0.0
45550.97515601665,58.7,2300,327680,0.0,0.05074836,0.1766433,0.0195186,0.0,0.1893304,0.3464552,2.9469,0.0,6.105e-05,0.0029304,0.0136752,3.673794,3.321169,1.805126,1.112453,0.6021972,1.109156,0.8087904,0.9294252,3.318678,3.312268,0.8008783,4.96202,4.96336,0.0
