path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
features,dcd6682ae05f2862,Sequential,"{""class"": ""Sequential""}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 1280, 20, 20]]",features,forward,False,4007548,,22993392,,1,1,25,836.5319,834.8335,7.1951
features.0,f517dbab8b81babe,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 32, 320, 320]]",features.0,forward,False,928,,18026112,,1,1,25,40.6051,40.7257,2.2837
features.0.0,a9bb1e98ac88ec03,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 32, 320, 320]]",features.0.0,forward,True,864,88473600,18025856,4.9081,409600,409600,25,30.9484,30.8933,2.0041
features.0.1,c6602be82708be8e,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","[[1, 32, 320, 320]]","[""torch.float32""]","[[1, 32, 320, 320]]",features.0.1,forward,True,64,6553600,26214656,0.25,102400,102400,25,4.2869,4.2887,0.1689
features.0.2,2afadff0d2cee965,SiLU,"{""class"": ""SiLU""}","[[1, 32, 320, 320]]","[""torch.float32""]","[[1, 32, 320, 320]]",features.0.2,forward,True,0,3276800,26214400,0.125,102400,102400,25,5.1251,4.808,1.0445
features.1,91e75a4a733e3b2c,Sequential,"{""class"": ""Sequential""}","[[1, 32, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",features.1,forward,False,1448,,19666592,,1,1,25,74.5957,74.6382,2.2209
features.1.0,07678f2fde8c0a20,MBConv,"{""class"": ""MBConv""}","[[1, 32, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",features.1.0,forward,False,1448,,19666592,,1,1,25,74.5582,74.602,2.2206
features.1.0.block,91e75a4a733e3b2c,Sequential,"{""class"": ""Sequential""}","[[1, 32, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",features.1.0.block,forward,False,1448,,19666592,,1,1,25,74.5224,74.5605,2.2199
features.1.0.block.0,baeeaded243cac2b,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 32, 320, 320]]","[""torch.float32""]","[[1, 32, 320, 320]]",features.1.0.block.0,forward,False,352,,26215808,,1,1,25,46.0781,46.119,2.0038
features.1.0.block.0.0,d0271fdeca2794c6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 32, ""has_bias"": false, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 32, 320, 320]]","[""torch.float32""]","[[1, 32, 320, 320]]",features.1.0.block.0.0,forward,True,288,29491200,26215552,1.125,102400,102400,25,36.8037,36.9375,1.8024
