op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,43.37,43.37,[]
aten::empty,forward,474,3287.47,6.94,[]
aten::uniform_,forward,1,14006.72,14006.72,[]
aten::conv2d,forward,81,684.82,8.45,[]
aten::convolution,forward,81,1225.26,15.13,[]
aten::_convolution,forward,81,1260.39,15.56,[]
aten::mkldnn_convolution,forward,49,339326.67,6925.03,[]
aten::as_strided_,forward,49,432.61,8.83,[]
aten::contiguous,forward,49,188.89,3.85,[]
aten::clone,forward,49,526.59,10.75,[]
aten::empty_like,forward,98,362.95,3.7,[]
aten::copy_,forward,99,271687.82,2744.32,[]
aten::resize_,forward,81,304.71,3.76,[]
aten::batch_norm,forward,49,364.53,7.44,[]
aten::_batch_norm_impl_index,forward,49,999.55,20.4,[]
aten::native_batch_norm,forward,49,70203.67,1432.73,[]
aten::silu_,forward,49,72059.62,1470.6,[]
aten::adaptive_avg_pool2d,forward,17,170.04,10.0,[]
aten::mean,forward,17,609.73,35.87,[]
aten::sum,forward,17,10881.97,640.12,[]
aten::fill_,forward,17,211.18,12.42,[]
aten::div_,forward,17,495.48,29.15,[]
aten::to,forward,17,55.11,3.24,[]
aten::_to_copy,forward,17,234.98,13.82,[]
aten::empty_strided,forward,17,84.61,4.98,[]
aten::_nnpack_available,forward,32,30.5,0.95,[]
aten::thnn_conv2d,forward,32,148.25,4.63,[]
aten::_slow_conv2d_forward,forward,32,1289.12,40.28,[]
aten::view,forward,97,169.18,1.74,[]
aten::detach,forward,32,82.48,2.58,[]
aten::reshape,forward,32,83.16,2.6,[]
aten::sigmoid,forward,16,202.55,12.66,[]
aten::mul,forward,16,23333.53,1458.35,[]
aten::add_,forward,9,3799.54,422.17,[]
aten::flatten,forward,1,6.56,6.56,[]
aten::dropout_,forward,1,1.02,1.02,[]
aten::linear,forward,1,10.92,10.92,[]
aten::t,forward,1,6.85,6.85,[]
aten::transpose,forward,1,6.43,6.43,[]
aten::as_strided,forward,2,4.72,2.36,[]
aten::addmm,forward,1,2686.94,2686.94,[]
aten::expand,forward,1,3.93,3.93,[]
aten::resolve_conj,forward,2,0.85,0.43,[]
