config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,t_eff,seq_len,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,baseline_interp_W,P_delta_ABAB_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
a9bb1e98ac88ec03,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 3, 640, 640], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4915200}], 'kwargs': {}}","[[1, 3, 640, 640]]","[""torch.float32""]",88473600,18025856,409600,409600,2.54,68,29.6278,4.172634,3.317073,0.820747,3.351888,98.27769,61.5,59.8,2400,1500,231,False,,
c6602be82708be8e,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","{'args': [{'k': 'tensor', 'shape': [1, 32, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 13107200}], 'kwargs': {}}","[[1, 32, 320, 320]]","[""torch.float32""]",6553600,26214656,102400,102400,2.532,1225,1.6335,5.659368,4.803807,0.831172,4.828196,7.846882,59.3,59.3,1700,1600,278,False,,
2afadff0d2cee965,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 13107200}], 'kwargs': {}}","[[1, 32, 320, 320]]","[""torch.float32""]",3276800,26214400,102400,102400,2.529,385,5.2017,5.861894,5.006332,0.852903,5.008991,26.04135,62.0,60.4,2400,1500,255,False,,
d0271fdeca2794c6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 32, ""has_bias"": false, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 13107200}], 'kwargs': {}}","[[1, 32, 320, 320]]","[""torch.float32""]",29491200,26215552,102400,102400,2.529,60,33.3638,4.034378,3.178816,0.87115,3.163228,106.057333,62.0,60.4,2400,1600,223,False,,
6d0c67d272b90ac4,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 13107200}], 'kwargs': {}}","[[1, 32, 320, 320]]","[""torch.float32""]",,13107328,1,1,2.526,10807,0.1851,5.426627,4.571065,0.880361,4.546266,0.845968,58.7,59.3,1700,1500,348,False,,
28b323632a346b5b,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 8, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 128}], 'kwargs': {}}","[[1, 32, 1, 1]]","[""torch.float32""]",256,1216,1,1,2.527,33832,0.0591,2.714247,1.858685,0.832724,1.881522,0.109878,60.4,57.6,1800,1600,453,False,,
cf667f53a4b0d63c,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 8, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 8, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 32}], 'kwargs': {}}","[[1, 8, 1, 1]]","[""torch.float32""]",256,1312,1,1,2.531,34020,0.0588,2.692347,1.836785,0.845192,1.847155,0.107981,58.2,56.5,1800,1700,440,False,,
316475918a723cf1,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 8, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 32}], 'kwargs': {}}","[[1, 8, 1, 1]]","[""torch.float32""]",8,64,1,1,2.549,53457,0.0374,2.582415,1.726853,0.816764,1.765651,0.064607,56.5,56.5,1600,1600,432,False,,
ae8d15f59a43e60a,Sigmoid,"{""class"": ""Sigmoid""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 128}], 'kwargs': {}}","[[1, 32, 1, 1]]","[""torch.float32""]",,256,1,1,2.531,51835,0.0386,2.589788,1.734226,0.801051,1.788737,0.066917,55.4,56.5,1500,1700,443,False,,
f77192efdad9267c,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 16, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 13107200}], 'kwargs': {}}","[[1, 32, 320, 320]]","[""torch.float32""]",52428800,19662848,102400,102400,2.537,119,16.8477,4.260498,3.404936,0.832809,3.427688,57.365305,56.5,58.2,1900,1800,221,False,,
