op,mode,count,self_total_us,self_mean_us,input_shapes
aten::randint,prefill,1,26.7,26.7,[]
aten::empty,prefill,20,36.33,1.82,[]
aten::random_,prefill,1,17.09,17.09,[]
aten::embedding,prefill,1,16.3,16.3,[]
aten::reshape,prefill,3,9.26,3.09,[]
aten::view,prefill,28,70.74,2.53,[]
aten::index_select,prefill,1,26.44,26.44,[]
aten::select,prefill,2,15.54,7.77,[]
aten::as_strided,prefill,39,46.28,1.19,[]
aten::mul,prefill,1,19.87,19.87,[]
aten::to,prefill,1,2.68,2.68,[]
aten::_to_copy,prefill,1,7.96,7.96,[]
aten::empty_strided,prefill,3,12.87,4.29,[]
aten::copy_,prefill,6,35.09,5.85,[]
aten::slice,prefill,7,33.92,4.85,[]
aten::add,prefill,5,38.81,7.76,[]
aten::layer_norm,prefill,4,18.09,4.52,[]
aten::native_layer_norm,prefill,4,90.44,22.61,[]
aten::linear,prefill,5,66.3,13.26,[]
aten::t,prefill,5,17.41,3.48,[]
aten::transpose,prefill,25,82.61,3.3,[]
aten::addmm,prefill,5,641.48,128.3,[]
aten::expand,prefill,5,16.0,3.2,[]
aten::resolve_conj,prefill,10,3.26,0.33,[]
aten::chunk,prefill,2,9.56,4.78,[]
aten::split,prefill,2,23.82,11.91,[]
aten::narrow,prefill,6,21.7,3.62,[]
aten::scaled_dot_product_attention,prefill,2,16.83,8.42,[]
aten::_scaled_dot_product_flash_attention_for_cpu,prefill,2,84.28,42.14,[]
aten::empty_like,prefill,2,8.46,4.23,[]
aten::randint,decode,1,19.45,19.45,[]
aten::empty,decode,20,34.67,1.73,[]
aten::random_,decode,1,11.11,11.11,[]
aten::embedding,decode,1,12.72,12.72,[]
aten::reshape,decode,3,7.83,2.61,[]
aten::view,decode,28,68.61,2.45,[]
aten::index_select,decode,1,15.72,15.72,[]
aten::select,decode,2,9.56,4.78,[]
aten::as_strided,decode,39,44.65,1.14,[]
aten::mul,decode,1,15.35,15.35,[]
aten::to,decode,1,2.78,2.78,[]
aten::_to_copy,decode,1,7.04,7.04,[]
aten::empty_strided,decode,3,17.35,5.78,[]
aten::copy_,decode,6,39.31,6.55,[]
aten::slice,decode,7,38.07,5.44,[]
aten::add,decode,5,35.57,7.11,[]
aten::layer_norm,decode,4,14.7,3.68,[]
aten::native_layer_norm,decode,4,57.46,14.37,[]
aten::linear,decode,5,76.44,15.29,[]
aten::t,decode,5,18.68,3.74,[]
aten::transpose,decode,25,83.02,3.32,[]
aten::addmm,decode,5,3977.94,795.59,[]
aten::expand,decode,5,16.65,3.33,[]
aten::resolve_conj,decode,10,4.17,0.42,[]
aten::chunk,decode,2,11.28,5.64,[]
aten::split,decode,2,28.26,14.13,[]
aten::narrow,decode,6,25.57,4.26,[]
aten::scaled_dot_product_attention,decode,2,20.2,10.1,[]
aten::_scaled_dot_product_flash_attention_for_cpu,decode,2,357.66,178.83,[]
aten::empty_like,decode,2,9.06,4.53,[]
