path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
tok,c3e6e3b38b352ca5,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","[[1, 64]]","[""torch.int64""]","[[1, 64, 64]]",tok,prefill,True,16384,4096,82432,0.0497,1,1,25,0.0511,0.0455,0.0204
tok,d908ade19db0c477,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","[[1, 1]]","[""torch.int64""]","[[1, 1, 64]]",tok,decode,True,16384,64,65800,0.001,1,1,25,0.0436,0.0362,0.0175
qkv.0,0aee563acf6fbb92,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 192]]",qkv.0,prefill,True,12480,786432,115456,6.8115,64,64,25,0.2386,0.159,0.2255
qkv.0,92de7645560e2e7c,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 192]]",qkv.0,decode,True,12480,12288,50944,0.2412,1,1,25,0.4348,0.1434,0.4867
qkv.1,0aee563acf6fbb92,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 192]]",qkv.1,prefill,True,12480,786432,115456,6.8115,64,64,25,0.2078,0.1426,0.2297
qkv.1,92de7645560e2e7c,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 192]]",qkv.1,decode,True,12480,12288,50944,0.2412,1,1,25,0.314,0.1193,0.4544
proj.0,d90a26c2eb5ca493,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",proj.0,prefill,True,4160,262144,49408,5.3057,64,64,25,0.1981,0.1315,0.2224
proj.0,890b0c604eb5ed51,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",proj.0,decode,True,4160,4096,17152,0.2388,1,1,25,0.2454,0.1178,0.3011
proj.1,d90a26c2eb5ca493,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",proj.1,prefill,True,4160,262144,49408,5.3057,64,64,25,0.1325,0.1226,0.025
proj.1,890b0c604eb5ed51,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",proj.1,decode,True,4160,4096,17152,0.2388,1,1,25,0.1789,0.1112,0.2225
n1.0,084b234ef507e9fb,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",n1.0,prefill,True,128,8192,33280,0.2462,64,64,25,0.2384,0.0466,0.3068
n1.0,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",n1.0,decode,True,128,128,1024,0.125,1,1,25,0.0264,0.0227,0.0089
n1.1,084b234ef507e9fb,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",n1.1,prefill,True,128,8192,33280,0.2462,64,64,25,0.0552,0.0244,0.1118
n1.1,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",n1.1,decode,True,128,128,1024,0.125,1,1,25,0.0176,0.0174,0.0008
n2.0,084b234ef507e9fb,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",n2.0,prefill,True,128,8192,33280,0.2462,64,64,25,0.0639,0.0334,0.1063
n2.0,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",n2.0,decode,True,128,128,1024,0.125,1,1,25,0.028,0.0248,0.0047
n2.1,084b234ef507e9fb,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 64]]",n2.1,prefill,True,128,8192,33280,0.2462,64,64,25,0.0831,0.0315,0.1813
n2.1,4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 64]]",n2.1,decode,True,128,128,1024,0.125,1,1,25,0.0255,0.0242,0.0043
head,88f33552a20f1f19,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 256}","[[1, 64, 64]]","[""torch.float32""]","[[1, 64, 256]]",head,prefill,True,16640,1048576,148480,7.0621,64,64,25,0.2286,0.1642,0.2261
head,264d4c26cb15a7ab,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 256}","[[1, 1, 64]]","[""torch.float32""]","[[1, 1, 256]]",head,decode,True,16640,16384,67840,0.2415,1,1,25,0.2133,0.1205,0.3303
