config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,t_eff,seq_len,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,baseline_interp_W,P_delta_ABAB_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
c3e6e3b38b352ca5,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","{'args': [{'k': 'tensor', 'shape': [1, 64], 'dtype': 'torch.int64', 'value': 'zeros', 'bytes': 512}], 'kwargs': {}}","[[1, 64]]","[""torch.int64""]",4096,82432,1,1,1.525,15458,0.0647,2.60127,1.848574,0.765494,1.835776,0.119587,52.7,53.2,2200,1500,187,False,,
d908ade19db0c477,Embedding,"{""class"": ""Embedding"", ""embedding_dim"": 64, ""num_embeddings"": 256, ""padding_idx"": null}","{'args': [{'k': 'tensor', 'shape': [1, 1], 'dtype': 'torch.int64', 'value': 'zeros', 'bytes': 8}], 'kwargs': {}}","[[1, 1]]","[""torch.int64""]",64,65800,1,1,1.526,18983,0.0527,2.573171,1.820475,0.743835,1.829336,0.095898,53.2,53.8,1600,1600,215,False,,
0aee563acf6fbb92,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","{'args': [{'k': 'tensor', 'shape': [1, 64, 64], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 16384}], 'kwargs': {}}","[[1, 64, 64]]","[""torch.float32""]",786432,115456,64,64,1.525,4311,0.232,4.713473,3.960777,0.763427,3.950046,0.918825,52.1,53.2,1700,1600,169,False,,
92de7645560e2e7c,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 192}","{'args': [{'k': 'tensor', 'shape': [1, 1, 64], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 256}], 'kwargs': {}}","[[1, 1, 64]]","[""torch.float32""]",12288,50944,1,1,1.529,3460,0.2893,4.236868,3.484172,0.781535,3.455333,1.007867,54.9,54.3,1900,1600,189,False,,
d90a26c2eb5ca493,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","{'args': [{'k': 'tensor', 'shape': [1, 64, 64], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 16384}], 'kwargs': {}}","[[1, 64, 64]]","[""torch.float32""]",262144,49408,64,64,1.53,3206,0.3119,4.135179,3.382484,0.774375,3.360804,1.055066,54.3,54.3,1600,1600,194,False,,
890b0c604eb5ed51,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 64}","{'args': [{'k': 'tensor', 'shape': [1, 1, 64], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 256}], 'kwargs': {}}","[[1, 1, 64]]","[""torch.float32""]",4096,17152,1,1,1.526,3770,0.2654,4.206767,3.454071,0.774802,3.431965,0.916616,54.3,54.9,1800,1500,190,False,,
084b234ef507e9fb,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","{'args': [{'k': 'tensor', 'shape': [1, 64, 64], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 16384}], 'kwargs': {}}","[[1, 64, 64]]","[""torch.float32""]",8192,33280,64,64,1.53,11262,0.0888,4.326559,3.573864,0.807483,3.519077,0.317369,55.4,54.9,1700,1600,183,False,,
4086332912da2667,LayerNorm,"{""class"": ""LayerNorm"", ""elementwise_affine"": true, ""eps"": 1e-05, ""has_bias"": true, ""normalized_shape"": [64]}","{'args': [{'k': 'tensor', 'shape': [1, 1, 64], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 256}], 'kwargs': {}}","[[1, 1, 64]]","[""torch.float32""]",128,1024,1,1,1.534,30834,0.0324,2.612752,1.860056,0.794591,1.818161,0.060325,54.9,53.8,1600,1700,221,False,,
88f33552a20f1f19,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 256}","{'args': [{'k': 'tensor', 'shape': [1, 64, 64], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 16384}], 'kwargs': {}}","[[1, 64, 64]]","[""torch.float32""]",1048576,148480,64,64,1.527,4599,0.2174,5.030838,4.278142,0.808325,4.222513,0.930255,53.8,55.4,1500,1500,153,False,,
264d4c26cb15a7ab,Linear,"{""class"": ""Linear"", ""has_bias"": true, ""in_features"": 64, ""out_features"": 256}","{'args': [{'k': 'tensor', 'shape': [1, 1, 64], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 256}], 'kwargs': {}}","[[1, 1, 64]]","[""torch.float32""]",16384,67840,1,1,1.53,4913,0.2038,4.777992,4.025296,0.79201,3.985982,0.820267,54.3,56.0,1800,1700,169,False,,
