t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
0.6760299438610673,54.9,2000,327680,0.0,0.05562801,0.1737155,0.03220569,0.0,0.1893304,0.3435274,2.26822,0.0,0.0,0.0034188,0.0131868,3.662658,3.322097,1.80415,1.108058,0.6025635,1.107325,0.8043948,0.8754326,3.317762,3.315015,0.8005854,4.94192,4.90976,0.0
5072.4577909568325,58.7,2400,327680,0.01366302,0.05562801,0.1912823,0.3044902,0.068628,0.1981138,0.4674705,4.43821,0.0,6.105e-05,0.00323565,0.0129426,3.645955,3.317457,1.805126,1.107325,0.6054939,1.107325,0.8014644,0.9275449,3.316846,3.312268,0.8014645,4.88698,4.88832,0.0
10134.8542359774,58.2,2400,327680,0.0,0.05562801,0.1942101,0.2781401,0.0583338,0.1883545,0.4967484,4.52751,0.0,0.0,0.00311355,0.0137973,3.639459,3.321169,1.80415,1.107691,0.6040287,1.107325,0.7996329,0.9296938,3.317762,3.314099,0.8011714,4.89502,4.8776,0.0
15193.310181959532,57.1,1500,327680,0.00195186,0.05562801,0.1717637,0.00585558,0.0,0.1903064,0.3435274,1.38415,0.0,0.0,0.00335775,0.0131868,3.699776,3.318385,1.804638,1.110622,0.6062265,1.110622,0.8010981,0.9283507,3.317762,3.311352,0.8008783,5.01696,5.01026,0.0
20280.773423961364,60.9,2400,327680,0.00292779,0.05953173,0.1990897,0.2078731,0.007353,0.1873786,0.4381926,4.88471,0.0,0.0,0.00311355,0.0136752,3.642243,3.320241,1.802684,1.109156,0.6018309,1.107691,0.8018308,0.9243214,3.317762,3.312268,0.8008783,4.8441,4.8776,0.0
25345.203035976738,60.9,2400,327680,0.01268709,0.05367615,0.1990897,0.1932341,0.0078432,0.1883545,0.376709,5.08117,0.0,6.105e-05,0.0039072,0.0130647,3.634819,3.319313,1.80415,1.112087,0.6065928,1.110622,0.8010981,0.9291566,3.317762,3.314099,0.8011714,4.87626,4.86688,0.0
30411.83923895005,58.2,1600,327680,0.097593,0.05562801,0.1688359,0.00683151,0.0,0.1893304,0.3435274,0.9822999,0.0,0.0002442,0.0030525,0.0131868,3.692353,3.319313,1.80415,1.106959,0.6120873,1.107691,0.8032959,0.7223192,3.317762,3.312268,0.8017574,5.01562,5.01562,0.0
35469.726266979706,57.6,2300,327680,0.1044245,0.05172429,0.1805471,0.02439825,0.0,0.1893304,0.3532866,2.89332,0.0,0.0,0.00323565,0.0130647,3.659874,3.322097,1.80415,1.112453,0.6040287,1.110622,0.8087904,0.928888,3.318678,3.311352,0.8002922,4.9513,4.94728,0.0
40524.19599494897,56.5,2400,327680,0.01561488,0.0683151,0.1766433,0.04001313,0.0,0.1893304,0.3552385,2.83081,0.0,0.0,0.00335775,0.0129426,3.681217,3.317457,1.80415,1.109889,0.6036624,1.112087,0.8010981,0.9283507,3.317762,3.312268,0.8002922,4.96202,4.96336,0.0
45577.91467598872,56.5,1600,327680,0.0,0.09076149,0.2020175,0.01171116,0.0,0.1873786,0.3445033,0.9912299,0.0,0.0,0.0035409,0.0135531,3.709984,3.318385,1.803661,1.113552,0.6069591,1.107325,0.8043948,0.721782,3.317762,3.311352,0.8005854,5.02902,5.0317,0.0
50636.292479000986,61.5,2400,327680,0.01366302,0.05660394,0.181523,0.1434617,0.0,0.2010416,0.4255055,6.40281,0.0001221,6.105e-05,0.0032967,0.0136752,3.6209,3.320241,1.80415,1.109523,0.6036624,1.107691,0.8014644,0.9291566,3.317762,3.311352,0.8005854,4.83338,4.81596,0.0
55691.55488698743,56.5,1600,327680,0.00195186,0.05074836,0.166884,0.0097593,0.0,0.1903064,0.3435274,0.9912299,0.0,0.0,0.0039072,0.0135531,3.710912,3.319313,1.803661,1.113552,0.6131862,1.110622,0.8087904,0.7225879,3.317762,3.312268,0.8011714,5.03572,5.02768,0.0
60748.65503597539,63.1,2400,327680,0.0,0.05562801,0.1756674,0.01268709,0.0,0.1903064,0.3474311,4.33105,0.0001221,6.105e-05,0.00323565,0.0133089,3.614404,3.317457,1.805126,1.107325,0.6065928,1.109156,0.8014644,0.9286194,3.316846,3.311352,0.8011714,4.81864,4.83472,0.0
65804.77167799836,60.4,2400,327680,0.0,0.04977243,0.195186,0.01073523,0.0,0.2020175,0.3923238,3.96492,0.0,0.0002442,0.00299145,0.0131868,3.645955,3.318385,1.804638,1.108058,0.6036624,1.110622,0.8010981,0.9184118,3.317762,3.313183,0.8008783,4.89234,4.88564,0.0
70864.64506195625,57.1,1600,327680,0.1024727,0.05367615,0.16786,0.01073523,0.0,0.1883545,0.3415755,0.9912299,0.0,0.0,0.0034188,0.013431,3.690497,3.319313,1.80415,1.11282,0.608058,1.109156,0.8051274,0.7225879,3.318678,3.311352,0.8011714,5.01696,5.01428,0.0
75924.3705959525,63.1,2300,327680,0.01463895,0.05465208,0.1766433,0.04196499,0.0,0.1893304,0.4245296,6.45639,0.0,0.0,0.0034188,0.0136752,3.614404,3.321169,1.803173,1.109523,0.6062265,1.107691,0.8029296,0.9304997,3.318678,3.30952,0.8008783,4.82936,4.80256,0.0
80980.41788797127,61.5,2400,327680,0.00390372,0.05172429,0.1961619,0.2029934,0.0093138,0.2000657,0.4264814,4.36677,0.0,0.0,0.0035409,0.0131868,3.623684,3.319313,1.80415,1.110255,0.6032961,1.102929,0.8010981,0.9380211,3.318678,3.312268,0.8011714,4.87894,4.88028,0.0
86036.66330798296,57.1,1600,327680,0.00195186,0.05465208,0.1688359,0.00780744,0.0,0.1873786,0.3425514,1.16983,0.0,0.0,0.003663,0.013431,3.701632,3.319313,1.804638,1.107325,0.6018309,1.104761,0.8036622,0.8182165,3.317762,3.313183,0.8005854,5.02098,5.01696,0.0
