path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
features,dcd6682ae05f2862,Sequential,"{""class"": ""Sequential""}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 576, 20, 20]]",features,forward,False,927008,,9544832,,1,1,25,171.5404,164.6563,18.0303
features.0,f517dbab8b81babe,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",features.0,forward,False,464,,11470656,,1,1,25,20.2412,19.5476,2.7073
features.0.0,9cdad4ecc7ebcdf4,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",features.0.0,forward,True,432,44236800,11470528,3.8566,409600,409600,25,15.8523,15.385,2.1171
features.0.1,7324a73fccb9553a,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",features.0.1,forward,True,32,3276800,13107328,0.25,102400,102400,25,2.2729,2.1485,0.4518
features.0.2,ad7709de89f502c8,Hardswish,"{""class"": ""Hardswish""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",features.0.2,forward,True,0,,13107200,,1,1,25,1.8759,1.7612,0.3253
features.1,b43906aad7a6c1ed,InvertedResidual,"{""class"": ""InvertedResidual""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 160, 160]]",features.1,forward,False,744,,8194976,,1,1,25,14.7842,13.7572,3.1625
features.1.block,72c52f6836ab473c,Sequential,"{""class"": ""Sequential""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 160, 160]]",features.1.block,forward,False,744,,8194976,,1,1,25,14.748,13.7223,3.1617
features.1.block.0,ef7020fc350d178c,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 160, 160]]",features.1.block.0,forward,False,176,,8192704,,1,1,25,8.9105,8.1832,2.3407
features.1.block.0.0,2111f98fc6ac0c2a,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 16, ""has_bias"": false, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 160, 160]]",features.1.block.0.0,forward,True,144,3686400,8192576,0.45,102400,102400,25,7.7494,6.947,1.8935
features.1.block.0.1,77b302f5cfa9f3aa,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","[[1, 16, 160, 160]]","[""torch.float32""]","[[1, 16, 160, 160]]",features.1.block.0.1,forward,True,32,819200,3276928,0.25,25600,25600,25,0.549,0.4928,0.2824
