op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,41.18,41.18,[]
aten::empty,forward,325,1365.43,4.2,[]
aten::uniform_,forward,1,13570.04,13570.04,[]
aten::conv2d,forward,52,382.85,7.36,[]
aten::convolution,forward,52,622.41,11.97,[]
aten::_convolution,forward,52,714.12,13.73,[]
aten::mkldnn_convolution,forward,34,76906.17,2261.95,[]
aten::as_strided_,forward,34,254.52,7.49,[]
aten::contiguous,forward,34,120.39,3.54,[]
aten::clone,forward,34,270.75,7.96,[]
aten::empty_like,forward,68,221.12,3.25,[]
aten::copy_,forward,64,41215.71,644.0,[]
aten::resize_,forward,52,157.17,3.02,[]
aten::batch_norm,forward,34,224.32,6.6,[]
aten::_batch_norm_impl_index,forward,34,567.5,16.69,[]
aten::native_batch_norm,forward,34,15001.01,441.21,[]
aten::hardswish_,forward,19,4999.42,263.13,[]
aten::relu_,forward,5,65.91,13.18,[]
aten::clamp_min_,forward,5,3185.58,637.12,[]
aten::adaptive_avg_pool2d,forward,10,66.42,6.64,[]
aten::mean,forward,10,200.0,20.0,[]
aten::sum,forward,10,961.08,96.11,[]
aten::fill_,forward,10,39.87,3.99,[]
aten::div_,forward,10,221.29,22.13,[]
aten::to,forward,10,29.09,2.91,[]
aten::_to_copy,forward,10,95.59,9.56,[]
aten::empty_strided,forward,10,46.3,4.63,[]
aten::_nnpack_available,forward,18,14.39,0.8,[]
aten::thnn_conv2d,forward,18,124.74,6.93,[]
aten::_slow_conv2d_forward,forward,18,760.36,42.24,[]
aten::view,forward,55,93.77,1.7,[]
aten::detach,forward,18,44.48,2.47,[]
aten::reshape,forward,18,39.63,2.2,[]
aten::relu,forward,9,59.0,6.56,[]
aten::clamp_min,forward,9,78.02,8.67,[]
aten::hardsigmoid,forward,9,91.91,10.21,[]
aten::mul,forward,9,2834.71,314.97,[]
aten::add_,forward,6,518.44,86.41,[]
aten::flatten,forward,1,6.18,6.18,[]
aten::linear,forward,2,20.33,10.17,[]
aten::t,forward,2,14.85,7.43,[]
aten::transpose,forward,2,13.05,6.53,[]
aten::as_strided,forward,4,11.21,2.8,[]
aten::addmm,forward,2,3590.39,1795.2,[]
aten::expand,forward,2,7.74,3.87,[]
aten::resolve_conj,forward,4,1.74,0.44,[]
aten::dropout_,forward,1,0.91,0.91,[]
