config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,t_eff,seq_len,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,baseline_interp_W,P_delta_ABAB_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
9cdad4ecc7ebcdf4,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 3, 640, 640], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4915200}], 'kwargs': {}}","[[1, 3, 640, 640]]","[""torch.float32""]",44236800,11470528,409600,409600,2.531,128,15.6659,4.504694,3.709294,0.844037,3.660657,58.1095,56.0,56.5,2100,1500,223,False,,
7324a73fccb9553a,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 16, 320, 320]]","[""torch.float32""]",3276800,13107328,102400,102400,2.533,1095,1.8275,5.019474,4.224073,0.812141,4.207332,7.719657,56.5,58.2,2300,1600,273,False,,
ad7709de89f502c8,Hardswish,"{""class"": ""Hardswish""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 16, 320, 320]]","[""torch.float32""]",,13107200,1,1,2.525,1007,1.9869,4.153556,3.358155,0.831553,3.322002,6.672313,57.6,57.6,1600,1600,237,False,,
2111f98fc6ac0c2a,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 16, ""has_bias"": false, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 16, 320, 320]]","[""torch.float32""]",3686400,8192576,102400,102400,2.526,282,7.0929,4.407075,3.611674,0.849562,3.557513,25.617154,58.2,57.1,1600,1500,248,False,,
77b302f5cfa9f3aa,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.01}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 16, 160, 160]]","[""torch.float32""]",819200,3276928,25600,25600,2.525,8081,0.2475,5.373024,4.577623,0.843633,4.529391,1.132958,57.6,59.3,1500,1500,315,False,,
9b7114bddeeb3e37,ReLU,"{""class"": ""ReLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 16, 160, 160]]","[""torch.float32""]",409600,3276800,1,1,2.526,7230,0.2766,4.499336,3.703936,0.852838,3.646498,1.024604,58.7,58.2,1700,1500,295,False,,
55ca95d4bafe2865,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 16, 160, 160]]","[""torch.float32""]",,1638464,1,1,2.534,10417,0.192,4.850002,4.054602,0.837987,4.012015,0.778482,57.6,57.6,1700,1700,316,False,,
131676a322013376,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 16, ""kernel_size"": [1, 1], ""out_channels"": 8, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 16, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 64}], 'kwargs': {}}","[[1, 16, 1, 1]]","[""torch.float32""]",128,640,1,1,2.526,34085,0.0587,2.705241,1.90984,0.804969,1.900272,0.112063,57.6,56.5,1500,1500,461,False,,
d37228b847036d67,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 8, ""kernel_size"": [1, 1], ""out_channels"": 16, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 8, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 32}], 'kwargs': {}}","[[1, 8, 1, 1]]","[""torch.float32""]",128,672,1,1,2.532,34203,0.0585,2.673885,1.878484,0.779109,1.894776,0.109843,56.0,54.9,1700,1600,446,False,,
83382b3ba47f06c9,ReLU,"{""class"": ""ReLU""}","{'args': [{'k': 'tensor', 'shape': [1, 8, 1, 1], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 32}], 'kwargs': {}}","[[1, 8, 1, 1]]","[""torch.float32""]",8,64,1,1,2.531,45948,0.0435,2.587009,1.791608,0.7945,1.792508,0.077985,56.5,56.0,1700,1600,414,False,,
