t_ms,phase,window_id,I_A,V_V,P_W
4.445086990017444,warmup,1,1.64312,0.928888,1.52627445056
11.977921996731311,warmup,1,1.35736,0.8732836,1.185360227296
38.32361300010234,warmup,1,1.35736,0.8735522,1.1857248141919998
43.750579992774874,warmup,1,2.28608,0.8732836,1.9963961722880001
70.5458409502171,warmup,1,4.23282,0.8738209,3.698726581938
76.40839595114812,warmup,1,4.43821,0.9194863,4.080873291523
82.52244797768071,warmup,1,4.1078,0.9286194,3.81458277132
89.61841696873307,warmup,1,1.98246,0.9184118,1.8207146570280002
96.63936798460782,warmup,1,2.73258,0.9173373,2.506697559234
104.26575795281678,warmup,1,3.38447,0.8732836,2.955602145692
111.77074100123718,warmup,1,4.35784,0.9286194,4.046774766096
117.93947796104476,warmup,1,3.2148,0.9286194,2.98532564712
123.90545796370134,warmup,1,3.28624,0.9291566,3.0534315851839997
131.57429196871817,warmup,1,4.17031,0.9192177,3.8334227664869998
137.79626897303388,warmup,1,2.72365,0.9184118,2.50143229907
144.16467095725238,warmup,1,3.98278,0.9192177,3.661041871206
151.88013395527378,warmup,1,4.92043,0.9270077,4.561276497311
157.8091139672324,warmup,1,4.93829,0.9331858,4.608342104282
165.23904295172542,warmup,1,5.02759,0.9283507,4.667366695813
170.5961389816366,warmup,1,5.12582,0.9326486,4.780588846852
180.24804699234664,warmup,1,5.38479,0.9194863,4.951240633377
185.5653839884326,warmup,1,3.17015,0.9197549,2.915760996235
193.3915129629895,warmup,1,4.75969,0.9286194,4.419940471986
198.3355029951781,warmup,1,4.94722,0.9291566,4.596742114652
210.18024097429588,warmup,1,4.89364,0.9197549,4.500949368836
217.26120996754616,warmup,1,4.25961,0.9291566,3.957844744926
223.65477797575295,warmup,1,4.08994,0.9291566,3.8001947446040005
228.02549495827407,warmup,1,5.67055,0.9304997,5.276445073835001
235.25264795171097,warmup,1,5.822359,0.9294252,5.411447178046799
242.83979699248448,warmup,1,5.03652,0.9299625,4.683774730500001
249.12221898557618,warmup,1,9.14432,0.9291566,8.496505280512
256.0243560001254,warmup,1,4.5543,0.9291566,4.2316579033799995
260.2539449580945,warmup,1,2.79509,0.9286194,2.595574798746
264.3158869468607,warmup,1,2.79509,0.9283507,2.594823758063
271.0091379703954,warmup,1,4.75969,0.928888,4.42121892472
280.8288399828598,warmup,1,4.74183,0.928888,4.40462898504
292.7468179841526,warmup,1,4.8222,0.9296938,4.4831694423599995
300.56883598444983,warmup,1,4.79541,0.9197549,4.410601845009
310.0439109839499,warmup,1,4.52751,0.9304997,4.212846696747
320.6070509622805,warmup,1,4.61681,0.9294252,4.290979557612
327.7238339651376,warmup,1,4.40249,0.928888,4.089420131120001
333.1292269867845,warmup,1,5.51874,0.9291566,5.1277736946840005
340.75056097935885,warmup,1,5.33121,0.9294252,4.954960920492
346.57739399699494,warmup,1,4.24175,0.928888,3.940110674
351.51629097526893,warmup,1,4.75076,0.9294252,4.415476063151999
357.6571389567107,warmup,1,3.27731,0.9275449,3.039852176219
364.6499059977941,warmup,1,4.34891,0.9280821,4.036145525511
369.82124496717006,warmup,1,4.12566,0.9275449,3.826734892134
376.5916239935905,warmup,1,9.32292,0.9302311,8.672470126812
382.33727298211306,warmup,1,3.17015,0.9280821,2.942159469315
387.29252095799893,warmup,1,3.63451,0.928888,3.37605272488
391.7888299911283,warmup,1,4.04529,0.9326486,3.772834055094
397.22275896929204,warmup,1,3.02727,0.9291566,2.812807900482
404.42481997888535,warmup,1,4.54537,0.928888,4.222139648560001
411.2440689932555,warmup,1,3.67023,0.928888,3.40923260424
417.39556594984606,warmup,1,9.510449,0.9296938,8.8418054705162
422.1261869533919,warmup,1,5.07224,0.9286194,4.710180465456
428.63173596560955,warmup,1,5.65269,0.9304997,5.259826349193
433.14241396728903,warmup,1,5.10796,0.9275449,4.737862247404
437.5319459941238,warmup,1,5.09903,0.9296938,4.740536577014
444.5789899909869,warmup,1,5.18833,0.9307683,4.829133093938999
449.7443109867163,warmup,1,1.36629,0.7225879,0.987264621891
455.4232189548202,warmup,1,2.92011,0.9291566,2.7132394792260004
462.919924990274,warmup,1,5.04545,0.9286194,4.68530275173
473.50480494787917,warmup,1,4.92043,0.9294252,4.573171636835999
478.7821609643288,warmup,1,4.78648,0.9294252,4.448675131296
484.80030696373433,warmup,1,4.92936,0.9286194,4.577499325584
489.69533399213105,warmup,1,4.34891,0.9278135,4.034977408285
497.233668982517,warmup,1,5.8938,0.9270077,5.46359798226
506.24797196360305,warmup,1,4.59895,0.9294252,4.27438002354
517.0491089811549,warmup,1,5.33121,0.931037,4.963553764769999
524.0596339572221,warmup,1,4.31319,0.928888,4.00647043272
532.6062189997174,warmup,1,5.91166,0.9299625,5.49762211275
537.3585799825378,warmup,1,4.52751,0.9291566,4.206765798066001
542.6576779573224,warmup,1,5.00973,0.9369466,4.693849490418
548.537676979322,warmup,1,4.33105,0.9286194,4.02189705237
553.0690779560246,warmup,1,4.33998,0.9291566,4.0325210608679996
557.5003869598731,warmup,1,5.24191,0.9299625,4.874779728375
566.0526939900592,warmup,1,5.4473,0.9216352,5.020423424960001
570.6663529854268,warmup,1,5.90273,0.9294252,5.486146010795999
575.1113099977374,warmup,1,5.11689,0.928888,4.75301771832
580.5175179848447,warmup,1,5.11689,0.928888,4.75301771832
589.1365649877116,warmup,1,4.99187,0.9315742,4.650297301754
595.1201369753107,warmup,1,3.58986,0.9178746,3.295041311556
599.7004079981707,warmup,1,3.77739,0.9178746,3.467170335294
605.2144839777611,warmup,1,3.26838,0.9286194,3.035081074572
616.9125759624876,warmup,1,4.67932,0.928888,4.34656419616
624.4582629879005,warmup,1,4.32212,0.9283507,4.012443127484
629.6988049871288,warmup,1,4.75076,0.9291566,4.414200009016
634.7811079467647,warmup,1,4.26854,0.9270077,3.956969447758
639.4547849777155,warmup,1,5.15261,0.9278135,4.780661118235
644.0768699976616,warmup,1,4.69718,0.9294252,4.365677460936
648.9587869727984,warmup,1,4.75076,0.9286194,4.411647900744
653.9227389730513,warmup,1,3.9292,0.9259331,3.6381763365199995
662.4601199873723,warmup,1,5.45623,0.9280821,5.0638293964829995
668.6363749904558,warmup,1,4.974009,0.9280821,4.616288718138899
673.5851979465224,warmup,1,3.52735,0.9294252,3.27840797922
678.9575729635544,warmup,1,3.85776,0.9304997,3.589644522672
684.9982179701328,warmup,1,4.79541,0.9275449,4.447958088909
697.4201729753986,warmup,1,5.143679,0.9294252,4.780664883310799
705.1804499933496,warmup,1,5.67948,0.9304997,5.284754436156
713.1286149960943,warmup,1,5.474089,0.9291566,5.0862859233374005
720.1546769938432,warmup,1,5.02759,0.9304997,4.678170986723
726.4214319875464,warmup,1,4.58109,0.9304997,4.2627028706729995
732.3052269639447,warmup,1,4.67932,0.9291566,4.347821061512
740.5009999638423,warmup,1,4.61681,0.931037,4.29842093197
752.9508809675463,warmup,1,4.59895,0.9291566,4.273144745570001
760.2420139592141,warmup,1,4.54537,0.928888,4.222139648560001
766.8437659740448,warmup,1,3.41126,0.9291566,3.169594743316
772.9768549907021,warmup,1,3.8399,0.928888,3.5668370312000004
778.823131986428,warmup,1,3.89348,0.9278135,3.6124233059799997
784.7180009703152,warmup,1,4.95615,0.9286194,4.60237703931
791.0569959785789,warmup,1,3.82204,0.9283507,3.5481935094279997
795.7803579629399,warmup,1,4.13459,0.9283507,3.8383495207130003
801.0988439782523,warmup,1,2.37538,0.9296938,2.2083760586439998
808.7213819962926,warmup,1,4.29533,0.9291566,3.9910342186779997
