t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
0.3140339977107942,56.5,2400,327680,0.1063764,0.05465208,0.1737155,0.02049453,0.0,0.1873786,0.3493829,1.79493,0.0,0.0,0.0039072,0.013431,3.681217,3.318385,1.805126,1.116482,0.6032961,1.107691,0.8018308,0.8187538,3.316846,3.310436,0.8017574,4.90574,4.93924,0.0
5070.658634009305,56.5,1600,327680,0.00195186,0.05367615,0.1707878,0.01073523,0.0,0.1893304,0.3415755,1.16983,0.0,0.0002442,0.00311355,0.0130647,3.703488,3.319313,1.804638,1.110622,0.6142851,1.104394,0.8043948,0.8182165,3.317762,3.311352,0.8008783,5.0183,5.02634,0.0
10129.28520096466,62.6,2400,327680,0.00195186,0.05172429,0.1746915,0.1268709,0.0,0.1990897,0.3474311,7.072559,0.0,0.0,0.0029304,0.0130647,3.639459,3.319313,1.80415,1.109889,0.6040287,1.107691,0.802197,0.9291566,3.317762,3.311352,0.8011714,4.67392,4.6766,0.0
15185.153594007716,59.8,1500,327680,0.00292779,0.05660394,0.1688359,0.00585558,0.0,0.1873786,0.3445033,1.18769,0.0,0.0,0.00299145,0.0133089,3.700704,3.318385,1.802684,1.113552,0.6091569,1.110622,0.8025633,0.8182165,3.317762,3.313183,0.8005854,5.02232,5.01696,0.0
20237.794260960072,57.1,1600,327680,0.09466522,0.05562801,0.166884,0.00683151,0.0,0.1883545,0.3454792,0.9912299,0.0,0.0,0.0034188,0.0139194,3.689569,3.319313,1.80415,1.113552,0.6095232,1.102197,0.8007318,0.7225879,3.319594,3.313183,0.8011714,5.01696,5.01562,0.0
25292.576873966027,65.9,2400,327680,0.1005208,0.05757987,0.1893304,0.1483414,0.0,0.2049453,0.4137943,5.27763,0.0,0.0,0.0030525,0.0128205,3.643171,3.319313,1.803173,1.113552,0.6032961,1.110622,0.8014644,0.9304997,3.319594,3.312268,0.8008783,4.76906,4.7637,0.0
30349.612652964424,65.3,2400,327680,0.1063764,0.05562801,0.1795711,0.01171116,0.0,0.1981138,0.3464552,4.18817,0.0,0.0,0.00311355,0.0128205,3.632963,3.320241,1.80415,1.106959,0.600732,1.102929,0.8010981,0.928888,3.317762,3.310436,0.8002922,4.86554,4.8441,0.0
35408.66669197567,59.3,1600,327680,0.00097593,0.05757987,0.1717637,0.00487965,0.0,0.1873786,0.3425514,1.17876,0.0,0.0,0.00311355,0.0128205,3.703488,3.318385,1.80415,1.115017,0.6084243,1.11172,0.802197,0.8179479,3.317762,3.313183,0.8008783,5.02098,5.01696,0.0
40465.270016982686,66.4,2400,327680,0.00487965,0.05367615,0.1766433,0.03220569,0.0,0.2108009,0.375733,7.19758,0.0,0.0,0.0034188,0.0129426,3.621828,3.321169,1.80415,1.111354,0.6029298,1.109156,0.8025633,0.928888,3.318678,3.311352,0.8011714,4.8106,4.79452,0.0
45520.89227997931,63.1,2400,327680,0.00097593,0.05270022,0.1756674,0.02049453,0.0,0.1893304,0.3464552,6.8761,0.0001221,6.105e-05,0.0034188,0.0136752,3.60698,3.319313,1.80415,1.108058,0.6062265,1.104394,0.8029296,0.9294252,3.317762,3.307689,0.8008783,4.81328,4.81194,0.0
