path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
0,42e23db398da4558,Conv,"{""class"": ""Conv""}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0,forward,False,464,,11470656,,1,1,30,20.669,20.6306,0.9998
0.conv,9cdad4ecc7ebcdf4,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","[[1, 3, 640, 640]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.conv,forward,True,432,44236800,11470528,3.8566,409600,409600,30,15.5797,15.5688,1.0165
0.bn,4d16d3476d6bde56,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.bn,forward,True,32,3276800,13107328,0.25,102400,102400,30,2.1609,2.0973,0.2521
0.act,4db31c995deacda7,SiLU,"{""class"": ""SiLU""}","[[1, 16, 320, 320]]","[""torch.float32""]","[[1, 16, 320, 320]]",0.act,forward,True,0,1638400,13107200,0.125,102400,102400,30,2.6643,2.7563,0.5943
0.act,1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}","[[1, 32, 160, 160]]","[""torch.float32""]","[[1, 32, 160, 160]]",0.act,forward,True,0,819200,6553600,0.125,25600,25600,60,1.1287,1.0135,0.322
0.act,3e456fe6cbcdb92a,SiLU,"{""class"": ""SiLU""}","[[1, 8, 160, 160]]","[""torch.float32""]","[[1, 8, 160, 160]]",0.act,forward,True,0,204800,1638400,0.125,25600,25600,30,0.3294,0.2688,0.1617
0.act,b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}","[[1, 16, 160, 160]]","[""torch.float32""]","[[1, 16, 160, 160]]",0.act,forward,True,0,409600,3276800,0.125,25600,25600,30,0.5566,0.5166,0.1896
0.act,52a7efe60d82b70f,SiLU,"{""class"": ""SiLU""}","[[1, 64, 160, 160]]","[""torch.float32""]","[[1, 64, 160, 160]]",0.act,forward,True,0,1638400,13107200,0.125,25600,25600,30,2.498,2.1706,0.6686
0.act,6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}","[[1, 64, 80, 80]]","[""torch.float32""]","[[1, 64, 80, 80]]",0.act,forward,True,0,409600,3276800,0.125,6400,6400,210,0.6312,0.5151,0.2863
0.act,31b67e23e5e6b3ec,SiLU,"{""class"": ""SiLU""}","[[1, 16, 80, 80]]","[""torch.float32""]","[[1, 16, 80, 80]]",0.act,forward,True,0,102400,819200,0.125,6400,6400,60,0.2237,0.1466,0.194
