op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,30.72,30.72,[]
aten::empty,forward,758,2947.09,3.89,[]
aten::uniform_,forward,1,9842.13,9842.13,[]
aten::conv2d,forward,88,747.47,8.49,[]
aten::convolution,forward,88,1195.7,13.59,[]
aten::_convolution,forward,88,1251.91,14.23,[]
aten::mkldnn_convolution,forward,88,192924.81,2192.33,[]
aten::as_strided_,forward,88,607.12,6.9,[]
aten::contiguous,forward,90,291.44,3.24,[]
aten::clone,forward,91,634.92,6.98,[]
aten::empty_like,forward,172,534.17,3.11,[]
aten::copy_,forward,94,68600.04,729.79,[]
aten::resize_,forward,88,223.17,2.54,[]
aten::batch_norm,forward,81,478.87,5.91,[]
aten::_batch_norm_impl_index,forward,81,1203.88,14.86,[]
aten::native_batch_norm,forward,81,20947.58,258.61,[]
aten::silu_,forward,77,30229.46,392.59,[]
aten::chunk,forward,9,52.37,5.82,[]
aten::split,forward,9,122.35,13.59,[]
aten::narrow,forward,64,307.22,4.8,[]
aten::slice,forward,64,419.42,6.55,[]
aten::as_strided,forward,90,273.81,3.04,[]
aten::add,forward,16,2117.41,132.34,[]
aten::cat,forward,21,11049.56,526.17,[]
aten::max_pool2d,forward,3,18.74,6.25,[]
aten::max_pool2d_with_indices,forward,3,2844.18,948.06,[]
aten::split_with_sizes,forward,2,58.72,29.36,[]
aten::view,forward,10,115.37,11.54,[]
aten::mul,forward,2,657.2,328.6,[]
aten::to,forward,2,8.26,4.13,[]
aten::_to_copy,forward,2,25.33,12.67,[]
aten::empty_strided,forward,2,11.57,5.79,[]
aten::transpose,forward,3,211.76,70.59,[]
aten::matmul,forward,2,91.55,45.78,[]
aten::expand,forward,4,47.63,11.91,[]
aten::reshape,forward,5,45.46,9.09,[]
aten::_reshape_alias,forward,4,17.28,4.32,[]
aten::bmm,forward,2,1765.92,882.96,[]
aten::resolve_conj,forward,12,5.82,0.48,[]
aten::select,forward,12,75.0,6.25,[]
aten::_unsafe_view,forward,3,17.06,5.69,[]
aten::softmax,forward,2,41.96,20.98,[]
aten::_softmax,forward,2,1978.52,989.26,[]
aten::upsample_nearest2d,forward,2,918.86,459.43,[]
aten::ones,forward,2,21.28,10.64,[]
aten::fill_,forward,2,6.46,3.23,[]
aten::unsqueeze,forward,1,9.5,9.5,[]
aten::sub,forward,2,80.68,40.34,[]
aten::div,forward,1,27.5,27.5,[]
aten::sigmoid,forward,1,1689.21,1689.21,[]
