config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,t_eff,seq_len,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,baseline_interp_W,P_delta_ABAB_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
9cdad4ecc7ebcdf4,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 3, 640, 640], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4915200}], 'kwargs': {}}","[[1, 3, 640, 640]]","[""torch.float32""]",44236800,11470528,409600,409600,2.538,128,15.7212,4.414705,3.565868,0.871123,3.543582,56.059796,59.8,57.6,2000,1500,232,False,,
4d16d3476d6bde56,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 16, 320, 320]]","[""torch.float32""]",3276800,13107328,102400,102400,2.527,2304,0.8684,5.673832,4.824995,0.883422,4.79041,4.189983,58.2,58.7,1700,1500,303,False,,
4db31c995deacda7,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 16, 320, 320]]","[""torch.float32""]",1638400,13107200,102400,102400,2.532,753,2.6566,5.531763,4.682926,0.877421,4.654342,12.440518,60.4,59.8,2400,1700,266,False,,
1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}","[[1, 32, 160, 160]]","[""torch.float32""]",819200,6553600,25600,25600,2.527,1465,1.3653,5.190652,4.341815,0.864479,4.326173,5.928035,58.7,59.8,2200,1600,292,False,,
3e456fe6cbcdb92a,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 8, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 8, 160, 160]]","[""torch.float32""]",204800,1638400,25600,25600,2.534,5675,0.3524,5.426304,4.577467,0.908876,4.517428,1.613259,60.4,59.8,1500,1700,330,False,,
b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 16, 160, 160]]","[""torch.float32""]",409600,3276800,25600,25600,2.526,3219,0.6213,5.924495,5.075658,0.886741,5.037754,3.15371,59.8,60.9,1800,1500,341,False,,
52a7efe60d82b70f,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 64, 160, 160]]","[""torch.float32""]",1638400,13107200,25600,25600,2.529,773,2.5898,5.613421,4.764584,0.906073,4.707348,12.339314,60.4,59.8,2000,1500,259,False,,
6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 64, 80, 80]]","[""torch.float32""]",409600,3276800,6400,6400,2.527,3232,0.6188,5.983985,5.135148,0.925071,5.058914,3.17767,59.8,60.4,2000,1500,344,False,,
31b67e23e5e6b3ec,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}","[[1, 16, 80, 80]]","[""torch.float32""]",102400,819200,6400,6400,2.529,9983,0.2004,5.254376,4.405538,0.875928,4.378448,0.882724,61.5,59.8,1800,1500,329,False,,
00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 32, 80, 80]]","[""torch.float32""]",204800,1638400,6400,6400,2.527,5945,0.3365,5.568688,4.719851,0.877203,4.691486,1.58825,61.5,59.8,1700,1500,324,False,,
09681dfeb8452f7b,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}","[[1, 128, 80, 80]]","[""torch.float32""]",819200,6553600,6400,6400,2.53,1472,1.3591,5.3131,4.464263,0.89011,4.42299,6.067511,60.4,59.8,1700,1700,297,False,,
dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 128, 40, 40]]","[""torch.float32""]",204800,1638400,1600,1600,2.531,5952,0.3361,5.653817,4.80498,0.95325,4.700568,1.615146,60.4,60.4,2300,1800,325,False,,
08d9785d759dac51,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}","[[1, 32, 40, 40]]","[""torch.float32""]",51200,409600,1600,1600,2.532,11611,0.1723,5.0652,4.216363,0.896198,4.169002,0.726294,61.5,60.9,1800,1500,315,False,,
4ea83264d9ea3f5c,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}","[[1, 64, 40, 40]]","[""torch.float32""]",102400,819200,1600,1600,2.535,9327,0.2144,5.099441,4.250604,0.890897,4.208545,0.911463,59.8,59.3,1800,1800,355,False,,
a44d02841d8ceadb,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 256, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}","[[1, 256, 20, 20]]","[""torch.float32""]",102400,819200,400,400,2.532,11018,0.1815,5.595045,4.746208,0.888271,4.706774,0.861548,59.8,59.8,1600,1800,290,False,,
9dd2d8c74af91af8,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 102400}], 'kwargs': {}}","[[1, 64, 20, 20]]","[""torch.float32""]",25600,204800,400,400,2.533,13519,0.1479,2.775918,1.927081,0.866335,1.909584,0.285101,60.4,58.2,1600,1800,496,False,,
0da1c08a8fae32e5,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}","[[1, 128, 20, 20]]","[""torch.float32""]",51200,409600,400,400,2.532,11470,0.1744,5.000739,4.151901,0.892969,4.107769,0.724108,57.6,58.7,1600,1500,334,False,,
65418290bafe418a,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 80, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 2048000}], 'kwargs': {}}","[[1, 80, 80, 80]]","[""torch.float32""]",512000,4096000,6400,6400,2.531,2533,0.7902,5.656129,4.807291,0.901608,4.75452,3.798555,59.8,60.9,1800,1500,315,False,,
70499828149a886f,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 80, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 512000}], 'kwargs': {}}","[[1, 80, 40, 40]]","[""torch.float32""]",128000,1024000,1600,1600,2.537,8319,0.2405,5.236795,4.387958,0.915844,4.320951,1.055308,59.3,59.8,1800,1800,333,False,,
4e53e2f3fa50e788,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 80, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 128000}], 'kwargs': {}}","[[1, 80, 20, 20]]","[""torch.float32""]",32000,256000,400,400,2.531,11506,0.1738,2.789153,1.940316,0.866161,1.922991,0.337282,61.5,57.1,1600,1600,495,False,,
2b623d1b1ee73297,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 16, 320, 320]]","[""torch.float32""]",117964800,9848832,102400,102400,2.543,209,9.5963,4.829156,3.980319,0.890155,3.939001,38.196174,58.7,58.2,2400,1800,279,False,,
3048f0eb678ef04e,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 32, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}","[[1, 32, 160, 160]]","[""torch.float32""]",1638400,6553856,25600,25600,2.536,4679,0.4275,5.7386,4.889763,0.913348,4.825252,2.090132,57.6,60.9,1600,1600,296,False,,
672813b148be80db,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}","[[1, 32, 160, 160]]","[""torch.float32""]",26214400,6557696,25600,25600,2.533,293,6.8378,4.473881,3.625043,0.887597,3.586284,24.787499,60.4,59.3,2400,1500,260,False,,
e873b28423e4bb1e,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 48, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4915200}], 'kwargs': {}}","[[1, 48, 160, 160]]","[""torch.float32""]",78643200,11481088,25600,25600,2.549,110,18.3169,4.24328,3.394443,0.859263,3.384017,62.175583,60.9,57.6,2000,1900,225,False,,
3a326e5cea3294ef,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 64, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 64, 160, 160]]","[""torch.float32""]",3276800,13107712,25600,25600,2.534,2307,0.867,5.809931,4.961094,0.871787,4.938144,4.301099,58.2,60.9,1600,1800,306,False,,
accd856cb8aa1154,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 8, ""padding"": [1, 1], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 16, 160, 160]]","[""torch.float32""]",29491200,2462208,25600,25600,2.533,771,2.5952,4.917511,4.068674,0.875716,4.041795,10.559117,59.3,58.7,2100,1600,342,False,,
03ffb795e03cff38,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 8, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 8, 160, 160]]","[""torch.float32""]",409600,1638464,25600,25600,2.53,13244,0.151,5.361174,4.512336,0.848084,4.51309,0.681429,58.7,59.8,1900,1500,298,False,,
