t_ms,temp_C,arm_MHz,throttle_bits,rail_3V7_WL_SW_A current(0),rail_3V3_SYS_A current(1),rail_1V8_SYS_A current(2),rail_DDR_VDD2_A current(3),rail_DDR_VDDQ_A current(4),rail_1V1_SYS_A current(5),rail_0V8_SW_A current(6),rail_VDD_CORE_A current(7),rail_3V3_DAC_A current(17),rail_3V3_ADC_A current(18),rail_0V8_AON_A current(16),rail_HDMI_A current(22),rail_3V7_WL_SW_V volt(8),rail_3V3_SYS_V volt(9),rail_1V8_SYS_V volt(10),rail_DDR_VDD2_V volt(11),rail_DDR_VDDQ_V volt(12),rail_1V1_SYS_V volt(13),rail_0V8_SW_V volt(14),rail_VDD_CORE_V volt(15),rail_3V3_DAC_V volt(20),rail_3V3_ADC_V volt(21),rail_0V8_AON_V volt(19),rail_HDMI_V volt(23),rail_EXT5V_V volt(24),rail_BATT_V volt(25)
0.6704380502924323,52.7,2200,327680,0.09661707,0.0585558,0.1756674,0.02147046,0.0,0.1873786,0.3806127,2.42003,0.0,0.0,0.00360195,0.0141636,3.651522,3.322097,1.802684,1.10586,0.6040287,1.11172,0.7996329,0.903369,3.316846,3.314099,0.8008783,4.891,4.89368,0.0
5067.927404015791,52.7,1600,327680,0.09466522,0.06929103,0.1688359,0.00585558,0.0,0.1864026,0.3396236,0.9108599,0.0,0.0,0.0029304,0.0131868,3.709056,3.318385,1.804638,1.110255,0.6128199,1.107691,0.8029296,0.7225879,3.318678,3.312268,0.8011714,5.02634,5.02232,0.0
10127.77638999978,60.9,2400,327680,0.00097593,0.05367615,0.1873786,0.2478862,0.078432,0.1893304,0.473326,4.17031,0.0,0.0,0.0035409,0.013431,3.636675,3.319313,1.804638,1.107691,0.604395,1.108058,0.7996329,0.9283507,3.317762,3.311352,0.8011714,4.88162,4.79988,0.0
15182.917167025153,55.4,1600,327680,0.1005208,0.05562801,0.16786,0.00390372,0.0,0.1883545,0.3435274,0.9733699,0.0,0.0,0.00311355,0.0133089,3.70256,3.319313,1.80415,1.112087,0.6113547,1.112087,0.8032959,0.7225879,3.318678,3.311352,0.8011714,5.02232,5.01696,0.0
20236.637537018396,60.4,2400,327680,0.00097593,0.07221882,0.1864026,0.08100219,0.0,0.1932341,0.4801576,2.75044,0.0,0.0,0.0031746,0.0130647,3.637603,3.322097,1.80415,1.109889,0.600732,1.112087,0.8029296,0.9280821,3.317762,3.311352,0.8017574,4.8441,4.84008,0.0
25302.672236051876,56.0,1500,327680,0.00585558,0.05270022,0.1688359,0.00585558,0.0,0.208849,0.3425514,1.12518,0.0,0.0,0.00323565,0.0135531,3.713696,3.317457,1.804638,1.112087,0.6076917,1.112087,0.8003655,0.8184852,3.317762,3.313183,0.8005854,5.01562,5.01562,0.0
30362.189114035573,63.7,2400,327680,0.097593,0.05074836,0.1737155,0.02635011,0.0,0.1883545,0.3464552,7.161859,0.0001221,0.0,0.0031746,0.0131868,3.593061,3.319313,1.80415,1.111354,0.6065928,1.107325,0.8025633,0.9294252,3.321425,3.310436,0.8005854,4.79988,4.80122,0.0
35414.3217340461,63.1,2300,327680,0.0,0.05757987,0.1727396,0.01171116,0.0,0.1903064,0.3493829,3.07192,0.0,0.0,0.00335775,0.0136752,3.691425,3.319313,1.80415,1.107325,0.6021972,1.110622,0.8025633,0.9291566,3.317762,3.314099,0.8005854,4.81864,4.81596,0.0
40476.540928008035,57.1,1600,327680,0.00097593,0.05172429,0.16786,0.00780744,0.0,0.1873786,0.3454792,0.93765,0.0,0.0,0.00299145,0.014652,3.710912,3.321169,1.80415,1.11172,0.6128199,1.109156,0.8058601,0.7225879,3.317762,3.313183,0.8014645,5.03572,5.02098,0.0
45534.13398505654,63.1,2400,327680,0.00878337,0.0585558,0.1737155,0.00390372,0.0,0.1873786,0.3445033,4.05422,0.0,0.0004884,0.00311355,0.0136752,3.659874,3.319313,1.803661,1.116482,0.6040287,1.111354,0.802197,0.9296938,3.317762,3.312268,0.8008783,4.82936,4.83874,0.0
