op,mode,count,self_total_us,self_mean_us,input_shapes
aten::rand,forward,1,31.89,31.89,[]
aten::empty,forward,541,2294.62,4.24,[]
aten::uniform_,forward,1,9397.48,9397.48,[]
aten::conv2d,forward,64,557.4,8.71,[]
aten::convolution,forward,64,966.31,15.1,[]
aten::_convolution,forward,64,906.95,14.17,[]
aten::mkldnn_convolution,forward,64,179528.25,2805.13,[]
aten::as_strided_,forward,64,485.12,7.58,[]
aten::contiguous,forward,66,211.09,3.2,[]
aten::clone,forward,66,480.96,7.29,[]
aten::empty_like,forward,123,378.58,3.08,[]
aten::copy_,forward,68,52680.29,774.71,[]
aten::resize_,forward,64,178.14,2.78,[]
aten::batch_norm,forward,57,402.26,7.06,[]
aten::_batch_norm_impl_index,forward,57,979.64,17.19,[]
aten::native_batch_norm,forward,57,20757.64,364.17,[]
aten::silu_,forward,57,26983.05,473.39,[]
aten::chunk,forward,9,52.22,5.8,[]
aten::split,forward,9,126.69,14.08,[]
aten::narrow,forward,62,299.36,4.83,[]
aten::slice,forward,62,413.78,6.67,[]
aten::as_strided,forward,65,188.55,2.9,[]
aten::add,forward,8,2238.0,279.75,[]
aten::cat,forward,17,12898.82,758.75,[]
aten::max_pool2d,forward,3,22.39,7.46,[]
aten::max_pool2d_with_indices,forward,3,2910.73,970.24,[]
aten::upsample_nearest2d,forward,2,733.77,366.89,[]
aten::ones,forward,2,24.22,12.11,[]
aten::fill_,forward,2,5.76,2.88,[]
aten::view,forward,8,85.98,10.75,[]
aten::transpose,forward,1,8.78,8.78,[]
aten::softmax,forward,1,26.91,26.91,[]
aten::_softmax,forward,1,1582.1,1582.1,[]
aten::unsqueeze,forward,1,12.13,12.13,[]
aten::sub,forward,2,106.92,53.46,[]
aten::div,forward,1,28.87,28.87,[]
aten::to,forward,1,2.89,2.89,[]
aten::_to_copy,forward,1,10.33,10.33,[]
aten::empty_strided,forward,1,2.91,2.91,[]
aten::mul,forward,1,63.2,63.2,[]
aten::sigmoid,forward,1,838.05,838.05,[]
