config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,t_eff,seq_len,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,baseline_interp_W,P_delta_ABAB_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
9cdad4ecc7ebcdf4,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 3, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 3, 640, 640], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4915200}], 'kwargs': {}}","[[1, 3, 640, 640]]","[""torch.float32""]",44236800,11470528,409600,409600,2.544,134,15.0156,4.523508,3.712596,0.850664,3.672843,55.746756,56.0,56.5,2400,1600,228,False,,
4d16d3476d6bde56,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 16, 320, 320]]","[""torch.float32""]",3276800,13107328,102400,102400,2.528,1917,1.0435,5.460501,4.64959,0.850795,4.609706,4.851753,54.3,56.5,2000,1500,283,False,,
4db31c995deacda7,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 16, 320, 320]]","[""torch.float32""]",1638400,13107200,102400,102400,2.531,755,2.6506,5.585081,4.774169,0.869232,4.715849,12.65429,57.6,58.2,1900,1600,267,False,,
1af6076372ad4ede,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}","[[1, 32, 160, 160]]","[""torch.float32""]",819200,6553600,25600,25600,2.529,1583,1.2642,5.550964,4.740052,0.870229,4.680734,5.992481,58.2,57.1,2400,1500,286,False,,
b52c7cb8ebd45185,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 16, 160, 160]]","[""torch.float32""]",409600,3276800,25600,25600,2.528,3410,0.5866,6.056624,5.245712,0.857127,5.199498,3.076886,58.7,58.2,1900,1500,331,False,,
6da5ee22b7e1d3cf,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 64, 80, 80]]","[""torch.float32""]",409600,3276800,6400,6400,2.533,3109,0.6433,5.637761,4.826849,0.86096,4.776801,3.105137,59.3,59.3,1900,1700,337,False,,
00936e39faf3f98f,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 32, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 32, 80, 80]]","[""torch.float32""]",204800,1638400,6400,6400,2.535,5792,0.3453,5.392067,4.581155,0.884915,4.507152,1.581896,59.3,58.7,1900,1700,329,False,,
dfa6db07a9cf4be1,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 128, 40, 40]]","[""torch.float32""]",204800,1638400,1600,1600,2.531,5901,0.3389,5.498239,4.687327,0.890065,4.608174,1.588762,57.6,59.3,1900,1700,328,False,,
4ea83264d9ea3f5c,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}","[[1, 64, 40, 40]]","[""torch.float32""]",102400,819200,1600,1600,2.53,10619,0.1883,5.362221,4.551309,0.878765,4.483456,0.857232,57.6,57.1,1600,1600,318,False,,
a44d02841d8ceadb,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 256, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}","[[1, 256, 20, 20]]","[""torch.float32""]",102400,819200,400,400,2.531,10691,0.1871,5.385553,4.574641,0.88997,4.495584,0.855786,58.2,58.2,1700,1800,321,False,,
0da1c08a8fae32e5,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}","[[1, 128, 20, 20]]","[""torch.float32""]",51200,409600,400,400,2.542,11656,0.1716,5.048083,4.237172,0.873686,4.174398,0.727149,58.2,58.2,1600,1800,337,False,,
9dd2d8c74af91af8,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 64, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 102400}], 'kwargs': {}}","[[1, 64, 20, 20]]","[""torch.float32""]",25600,204800,400,400,2.532,13640,0.1466,2.738766,1.927854,0.827158,1.911608,0.282689,58.2,55.4,1600,1500,486,False,,
65418290bafe418a,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 80, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 2048000}], 'kwargs': {}}","[[1, 80, 80, 80]]","[""torch.float32""]",512000,4096000,6400,6400,2.53,2548,0.7852,5.615158,4.804247,0.865004,4.750155,3.772453,57.1,57.6,2200,1600,336,False,,
70499828149a886f,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 80, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 512000}], 'kwargs': {}}","[[1, 80, 40, 40]]","[""torch.float32""]",128000,1024000,1600,1600,2.529,8954,0.2234,5.467843,4.656931,0.861034,4.606809,1.040225,57.6,57.1,1800,1500,324,False,,
4e53e2f3fa50e788,SiLU,"{""class"": ""SiLU""}","{'args': [{'k': 'tensor', 'shape': [1, 80, 20, 20], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 128000}], 'kwargs': {}}","[[1, 80, 20, 20]]","[""torch.float32""]",32000,256000,400,400,2.532,11497,0.174,2.760975,1.950064,0.841492,1.919484,0.339235,57.6,54.9,1800,1500,488,False,,
