t_ms,phase,window_id,I_A,V_V,P_W
4.437235009390861,warmup,1,1.56275,0.928888,1.4516197220000002
11.712127015925944,warmup,1,1.44666,0.9036377,1.3072565150820001
37.86974400281906,warmup,1,1.4288,0.903369,1.2907336272
43.12589700566605,warmup,1,2.4111,0.903369,2.1781129959
70.71435201214626,warmup,1,4.16138,0.903369,3.75926168922
81.65543200448155,warmup,1,5.55446,0.9294252,5.162455096392
86.38477500062436,warmup,1,4.17924,0.9280821,3.8786778356040004
94.68013903824612,warmup,1,7.56371,0.9299625,7.033966660875
100.55310104507953,warmup,1,6.01882,0.9280821,5.585959105122
105.09926005033776,warmup,1,6.92075,0.9291566,6.43046053945
112.55683604395017,warmup,1,5.03652,0.9304997,4.686480349044
122.9351990041323,warmup,1,3.99171,0.9192177,3.669250485267
129.55267203506082,warmup,1,4.89364,0.9302311,4.552216120204
134.0350360260345,warmup,1,4.1078,0.928888,3.8156861264
139.01583902770653,warmup,1,6.19742,0.928888,5.75670906896
143.66248005535454,warmup,1,4.05422,0.928888,3.76591630736
150.05630702944472,warmup,1,7.29581,0.9192177,6.706437687837001
154.83035304350778,warmup,1,4.56323,0.918949,4.19337564527
162.80677600298077,warmup,1,8.2156,0.921098,7.5673727288
169.29760202765465,warmup,1,4.33998,0.9291566,4.0325210608679996
177.2236360120587,warmup,1,2.60756,0.9186804,2.395514263824
187.18761403579265,warmup,1,6.22421,0.928888,5.78159397848
191.70151505386457,warmup,1,5.34907,0.9294252,4.971560454564
196.2900260114111,warmup,1,4.15245,0.9334545,3.8761231385249997
205.26138303102925,warmup,1,2.44682,0.9197549,2.250474684418
210.76344104949385,warmup,1,8.29597,0.9197549,7.630259057753001
218.31481205299497,warmup,1,4.95615,0.928888,4.6037082612
224.16457103099674,warmup,1,5.02759,0.9192177,4.621449716343
228.9603020180948,warmup,1,4.1971,0.9192177,3.85804860867
238.85257705114782,warmup,1,9.06395,0.9194863,8.334177848885
245.62875204719603,warmup,1,4.31319,0.928888,4.00647043272
251.90808001207188,warmup,1,4.25068,0.9294252,3.950689109136
256.2806300120428,warmup,1,2.74151,0.928888,2.54655574088
260.6199030415155,warmup,1,4.13459,0.931037,3.84945626983
265.6128920498304,warmup,1,4.86685,0.9294252,4.5233730346200005
270.53254802012816,warmup,1,4.18817,0.9304997,3.8970909285490007
278.76417204970494,warmup,1,2.56291,0.9192177,2.355872235507
284.51094904448837,warmup,1,9.67119,0.931037,9.00423572403
289.55364105058834,warmup,1,5.02759,0.9280821,4.666016285139
296.34487204020843,warmup,1,9.63547,0.9270077,8.932154883118999
302.45859001297504,warmup,1,6.34923,0.9291566,5.8994289594180005
306.7739380057901,warmup,1,7.38511,0.9296938,6.865890979318
318.67154501378536,warmup,1,4.90257,0.9291566,4.5552552724619995
323.3646470471285,warmup,1,8.34062,0.9304997,7.760944407814
330.467653053347,warmup,1,9.662259,0.9291566,8.9777517207594
334.7199450363405,warmup,1,9.79621,0.9280821,9.091687148841
342.3444270156324,warmup,1,4.40249,0.9291566,4.0906026399340005
348.6835500225425,warmup,1,4.33998,0.9291566,4.0325210608679996
354.52558600809425,warmup,1,9.72477,0.9307683,9.051507640791
360.87346903514117,warmup,1,4.43821,0.928888,4.12260001048
370.7117630401626,warmup,1,9.44794,0.9296938,8.783691240771999
375.98513800185174,warmup,1,5.96524,0.9291566,5.542642116584
382.50816700747237,warmup,1,4.86685,0.918949,4.472386940650001
389.7275420022197,warmup,1,5.04545,0.9331858,4.7083422946099995
394.2501090350561,warmup,1,2.8576,0.9291566,2.6551579001600003
398.34475505631417,warmup,1,2.86653,0.9299625,2.665765405125
406.93604201078415,warmup,1,2.88439,0.9294252,2.680824752628
416.748947056476,warmup,1,4.87578,0.9291566,4.530363167148
426.66916601592675,warmup,1,7.447619,0.9275449,6.9080010205931
438.16140602575615,warmup,1,4.08994,0.9205608,3.765038438352
444.98222903348505,warmup,1,4.90257,0.928888,4.55393844216
451.20313204824924,warmup,1,8.7514,0.928888,8.1290704432
458.0175100127235,warmup,1,5.05438,0.9194863,4.647433164994
470.6002780003473,warmup,1,5.25084,0.9272762,4.868978962008
475.0468090060167,warmup,1,7.66194,0.9307683,7.131490868502
484.1231100144796,warmup,1,4.75969,0.9294252,4.423775830188
494.42875100066885,warmup,1,4.86685,0.9294252,4.5233730346200005
502.59383802767843,warmup,1,4.89364,0.9304997,4.5535305519080005
507.4203470139764,warmup,1,9.662259,0.9275449,8.9621790579291
518.3024080470204,warmup,1,4.75076,0.9286194,4.411647900744
526.3422750285827,warmup,1,9.501519,0.9299625,8.8360563630375
530.6281040539034,warmup,1,9.65333,0.9302311,8.979827784563
538.3821580326185,warmup,1,2.60756,0.9296938,2.4242323651279998
543.6438670149073,warmup,1,4.75969,0.9291566,4.422497377454
550.5574290291406,warmup,1,4.75076,0.9280821,4.409095317396
556.4545760280453,warmup,1,8.95679,0.9270077,8.303013297283
562.5203880481422,warmup,1,4.88471,0.9294252,4.539972568692
568.3910350198857,warmup,1,5.00973,0.928888,4.65347808024
574.6280300081708,warmup,1,4.42928,0.9278135,4.10954577928
583.005189022515,warmup,1,8.68889,0.9299625,8.080341866625
588.8254110468552,warmup,1,5.2687,0.9270077,4.88412546899
595.4453100566752,warmup,1,9.03716,0.9272762,8.379943383592
603.9151170407422,warmup,1,5.39372,0.9294252,5.013059289744
608.2795740221627,warmup,1,5.75092,0.9294252,5.345049971183999
616.4792360505089,warmup,1,7.0547,0.9294252,6.55681595844
622.6183800026774,warmup,1,9.706909,0.9291566,9.019238562949399
628.0700310016982,warmup,1,2.39324,0.7241996,1.7331834507040003
635.8884920482524,warmup,1,4.41142,0.9294252,4.100084915784
642.4191700061783,warmup,1,4.2864,0.9291566,3.9827368502400002
648.9641060470603,warmup,1,9.32292,0.9291566,8.662452649272
658.5350320092402,warmup,1,4.49179,0.9294252,4.174782819108
666.5632880176418,warmup,1,6.01882,0.9280821,5.585959105122
674.5682840119116,warmup,1,3.74167,0.9315742,3.485643236914
685.1479230099358,warmup,1,9.63547,0.9286194,8.947684370117999
690.1294860290363,warmup,1,4.39356,0.9304997,4.088206261932
696.1254460038617,warmup,1,4.44714,0.9291566,4.132089482124
702.2360539995134,warmup,1,2.19678,0.7223192,1.586776372176
708.0432940274477,warmup,1,2.88439,0.9283507,2.677725475573
712.0257550268434,warmup,1,2.88439,0.9286194,2.678500511166
722.6821150397882,warmup,1,5.06331,0.9299625,4.708688425875001
731.6237880149856,warmup,1,4.77755,0.9275449,4.431392136995
736.0268750344403,warmup,1,3.51842,0.9291566,3.269163164572
746.7413450358436,warmup,1,3.24159,0.931037,3.01804022883
754.3802710133605,warmup,1,5.6259,0.9304997,5.23489826223
759.0385410003364,warmup,1,5.03652,0.928888,4.678362989760001
763.525701011531,warmup,1,3.18801,0.928888,2.96130423288
768.3375430060551,warmup,1,3.50949,0.9294252,3.2618084451479996
772.7458900189959,warmup,1,3.32196,0.9283507,3.083943891372
777.1232180530205,warmup,1,3.43805,0.9283507,3.191716124135
781.6758770495653,warmup,1,3.31303,0.9286194,3.076543930782
786.9491780293174,warmup,1,4.02743,0.9280821,3.737785692003
792.3051260295324,warmup,1,3.28624,0.928888,3.05254890112
799.0145060466602,warmup,1,5.83129,0.9307683,5.427579880107
804.1987890028395,warmup,1,4.93829,0.9194863,4.540690000427
813.4311810135841,warmup,1,3.17015,0.918949,2.9132061723500002
817.9839700460434,warmup,1,3.56307,0.928888,3.3096929661600005
822.3136130254716,warmup,1,3.37554,0.9299625,3.13912561725
826.4524990227073,warmup,1,3.31303,0.928888,3.07743381064
834.5226800302044,warmup,1,3.55414,0.9286194,3.3004433543159997
842.51128800679,warmup,1,4.76862,0.9304997,4.437199479414001
